#{"t_start": 1786364711.465195, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,episode_shell_outer_m,episode_target_tumble_scale
-62.331646,1598,10.971818,False,True,False,False,False,False,0.0,3.0,0.25
-64.206553,2000,19.349658,False,False,True,False,False,False,0.0,3.0,0.25
-75.679217,1861,27.030031,False,True,False,False,False,False,0.0,3.0,0.25
-71.121339,1878,34.838128,False,True,False,False,False,False,0.0,3.0,0.25
-47.211428,2000,43.292638,False,False,True,False,False,False,0.0,3.0,0.25
-72.2333,1850,50.991181,False,True,False,False,False,False,0.0,3.0,0.25
-73.635566,1916,59.277706,False,True,False,False,False,False,0.0,3.0,0.25
-68.042069,2000,68.815223,False,False,True,False,False,False,0.0,3.0,0.25
-53.31399,2000,77.161111,False,False,True,False,False,False,0.0,3.0,0.25
-57.693599,2000,85.452097,False,False,True,False,False,False,0.0,3.0,0.25
-55.401792,2000,107.481621,False,False,True,False,False,False,0.0,3.0,0.25
-62.501639,1659,134.168586,False,True,False,False,False,False,0.0,3.0,0.25
-50.410766,2000,166.395802,False,False,True,False,False,False,0.0,3.0,0.25
-65.431065,1949,197.71616,False,True,False,False,False,False,0.0,3.0,0.25
-34.430766,2000,229.984146,False,False,True,False,False,False,0.0,3.0,0.25
-61.290546,1787,259.240443,False,True,False,False,False,False,0.0,3.0,0.25
-42.683989,2000,291.391003,False,False,True,False,False,False,0.0,3.0,0.25
-44.463648,2000,323.294977,False,False,True,False,False,False,0.0,3.0,0.25
-54.822143,1541,348.280481,False,True,False,False,False,False,0.0,3.0,0.25
-46.125654,1029,364.770647,False,True,False,False,False,False,0.0,3.0,0.25
-61.701403,1915,396.019819,False,True,False,False,False,False,0.0,3.0,0.25
-63.10173,1783,424.782894,False,True,False,False,False,False,0.0,3.0,0.25
-37.438178,2000,456.773544,False,False,True,False,False,False,0.0,3.0,0.25
-51.971392,1292,477.892307,False,True,False,False,False,False,0.0,3.0,0.25
-64.715005,1817,506.892405,False,True,False,False,False,False,0.0,3.0,0.25
-31.440434,2000,538.574397,False,False,True,False,False,False,0.0,3.0,0.25
-32.227461,2000,570.506889,False,False,True,False,False,False,0.0,3.0,0.25
-28.487994,2000,603.590356,False,False,True,False,False,False,0.0,3.0,0.25
0.334599,353,609.178895,True,False,False,True,True,True,0.0,3.0,0.25
-23.720171,2000,641.18568,False,False,True,False,False,False,0.0,3.0,0.25
-31.250952,2000,673.130116,False,False,True,False,False,False,0.0,3.0,0.25
-43.524243,2000,704.769076,False,False,True,False,False,False,0.0,3.0,0.25
-19.343476,2000,737.833562,False,False,True,False,False,False,0.0,3.0,0.25
-66.437036,1920,768.88805,False,True,False,False,False,False,0.0,3.0,0.25
-34.035026,2000,801.043148,False,False,True,False,False,False,0.0,3.0,0.25
-11.900588,2000,833.34423,False,False,True,False,True,False,0.0,3.0,0.25
-45.474769,2000,866.673508,False,False,True,False,False,False,0.0,3.0,0.25
-18.601731,2000,898.737367,False,False,True,False,False,False,0.0,3.0,0.25
-14.927474,2000,930.491502,False,False,True,False,False,False,0.0,3.0,0.25
-41.018066,2000,962.735787,False,False,True,False,False,False,0.0,3.0,0.25
-10.771473,2000,994.651253,False,False,True,False,True,False,0.0,3.0,0.25
-32.646914,2000,1026.667273,False,False,True,False,False,False,0.0,3.0,0.25
-14.070302,2000,1058.48536,False,False,True,False,True,False,0.0,3.0,0.25
-25.093527,2000,1090.570841,False,False,True,False,False,False,0.0,3.0,0.25
-35.659903,2000,1122.805288,False,False,True,False,False,False,0.0,3.0,0.25
