#{"t_start": 1786375012.1393752, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,curriculum_ceiling,curriculum_rehearsal,episode_shell_outer_m,episode_target_tumble_scale
-52.703299,2000,11.149895,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-55.38771,2000,19.01,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-64.8261,2000,26.337763,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-53.368174,2000,33.697102,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-55.102605,2000,41.042622,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-45.243248,2000,48.471449,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-71.141708,1915,55.580074,False,True,False,False,False,False,0.0,0.0,False,3.0,0.25
-55.399395,2000,62.799571,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-60.908948,2000,70.584776,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-62.769803,2000,78.651584,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-37.787172,2000,122.336368,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-26.464831,2000,167.332818,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-15.564672,2000,214.038224,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-6.503631,2000,260.797558,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-18.295691,2000,304.584969,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-7.882913,2000,351.423651,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-1.081933,782,370.094187,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-6.503171,2000,415.35803,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-5.398267,2000,458.746185,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-4.945358,2000,502.299082,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-45.832998,2000,546.32608,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-0.691752,459,556.146712,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-2.653412,731,571.971357,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-4.939532,1091,595.923766,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
0.42955,705,611.361299,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-0.059789,414,620.422983,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-1.099345,766,637.358304,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-1.476251,673,652.284289,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-0.191023,495,662.969194,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
0.10132,395,671.772297,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-44.398798,2000,715.626815,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-17.905841,2000,761.344414,False,False,True,False,False,True,0.0,0.0,False,3.0,0.25
-1.513991,624,774.847576,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-40.550185,2000,821.440749,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-10.806827,2000,867.849542,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-8.752117,2000,913.86023,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-7.490556,2000,961.591552,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-46.538141,2000,1007.748566,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-8.889494,2000,1053.786885,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-0.795923,762,1071.296683,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-62.507965,1689,1110.645048,False,True,False,False,False,False,0.0,0.0,False,3.0,0.25
-1.26051,491,1121.908005,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-4.719511,2000,1168.437232,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-17.167964,2000,1214.594718,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-0.377231,455,1225.139983,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-9.683528,1556,1261.246573,True,False,False,True,True,True,0.0,0.0,False,3.0,0.25
-16.342144,2000,1307.377402,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-58.928965,2000,1353.586733,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-14.963651,2000,1399.91709,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-5.863796,2000,1445.868898,False,False,True,False,True,False,0.0,0.0,False,3.0,0.25
-51.424784,1560,1481.519827,False,True,False,False,False,False,0.0,0.0,False,3.0,0.25
-43.018,2000,1527.273246,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-55.966505,1812,1568.672986,False,True,False,False,False,False,0.0,0.0,False,3.0,0.25
-46.379241,2000,1614.375874,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-65.247843,1843,1656.689937,False,True,False,False,False,False,0.0,0.0,False,3.0,0.25
-58.963083,2000,1702.544784,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-26.481588,2000,1748.721221,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-73.247181,1726,1788.372269,False,True,False,False,False,False,0.0,0.0,False,3.0,0.25
-54.403834,2000,1834.66063,False,False,True,False,False,False,0.0,0.0,False,3.0,0.25
-75.99905,1964,1881.588141,False,True,False,False,False,False,0.0,0.0,False,3.0,0.25
-64.355637,1931,1926.171062,False,True,False,False,False,False,0.0,0.0,False,3.0,0.25
-40.893042,2000,1972.322865,False,False,True,False,False,False,0.0008477307537188367,0.001678,False,3.0059341152760317,0.25
-57.501205,2000,2018.380382,False,False,True,False,False,False,0.0001888469057374828,0.005678,False,3.0013219283401624,0.25
-38.829482,2000,2064.389279,False,False,True,False,False,False,0.0018996897313347967,0.009678,False,3.013297828119344,0.25
-15.322261,2000,2110.400899,False,False,True,False,True,False,0.009607210770746723,0.013678,False,3.0672504753952268,0.25
-11.772519,2000,2157.021883,False,False,True,False,True,False,0.0015897123828844774,0.017678,False,3.011127986680191,0.25
-10.793229,2000,2203.161131,False,False,True,False,True,False,0.016312640537403552,0.021678,False,3.1141884837618248,0.25
-3.65848,2000,2249.133886,False,False,True,False,True,False,0.01806001076390612,0.025678,False,3.126420075347343,0.25
-6.293635,2000,2295.073097,False,False,True,False,True,False,0.017235786090810605,0.029678,False,3.1206505026356743,0.25
-18.613255,2000,2341.346767,False,False,True,False,True,False,0.02809238063209731,0.033678,False,3.1966466644246814,0.25
-9.373771,1307,2371.573936,True,False,False,True,True,True,0.014442017735257849,0.037678,False,3.101094124146805,0.25
1.036799,491,2382.992387,True,False,False,True,True,True,0.015575966925105293,0.040292,False,3.109031768475737,0.25
-4.826794,967,2405.32276,True,False,False,True,True,True,0.03044183062428219,0.041274,True,3.213092814369975,0.25
-9.538247,1891,2448.891062,True,False,False,True,True,True,0.03648861000014559,0.043208,False,3.2554202700010193,0.25
-25.573769,2000,2495.255374,False,False,True,False,True,False,0.03552128417848676,0.04699,False,3.248648989249407,0.25
-0.174458,494,2506.654296,True,False,False,True,True,True,0.010632383416371802,0.05099,False,3.074426683914602,0.25
-0.346095,537,2518.959446,True,False,False,True,True,True,0.004483348119824627,0.051978,False,3.031383436838772,0.25
-1.128386,769,2536.696697,True,False,False,True,True,True,0.0201391048848565,0.053052,True,3.1409737341939956,0.25
0.99542,459,2547.253992,True,False,False,True,True,True,0.007052564624453678,0.05459,False,3.049367952371176,0.25
-62.151836,1708,2586.796767,False,True,False,False,False,False,0.041913132952804785,0.055508,False,3.2933919306696335,0.25
-14.54521,1755,2627.416711,True,False,False,True,True,True,0.04537666013684045,0.058924,False,3.3176366209578827,0.25
-3.77866,845,2646.876852,True,False,False,True,True,True,0.008893984596396277,0.062434,False,3.062257892174774,0.25
-3.009243,757,2664.529652,True,False,False,True,True,True,0.04374089465903428,0.064124,False,3.30618626261324,0.25
-2.178195,595,2678.518528,True,False,False,True,True,True,0.04302147775114076,0.065638,False,3.3011503442579855,0.25
-2.614526,966,2700.818527,True,False,False,True,True,True,0.0297978724079488,0.066828,True,3.2085851068556415,0.25
-3.767687,1066,2725.523572,True,False,False,True,True,True,0.021437175598999124,0.06876,False,3.1500602291929938,0.25
0.478996,212,2730.359353,True,False,False,True,True,True,0.024808297233534077,0.070892,False,3.1736580806347385,0.25
-3.006259,702,2747.886102,True,False,False,True,True,True,0.05877393060226894,0.071316,False,3.4114175142158825,0.25
-3.462881,849,2767.613481,True,False,False,True,True,True,0.002514918577907755,0.07272,False,3.0176044300453544,0.25
-2.156026,904,2788.439004,True,False,False,True,True,True,0.021871959294593724,0.074418,False,3.1531037150621564,0.25
-1.460527,1009,2811.828534,True,False,False,True,True,True,0.04135517764230124,0.076226,False,3.2894862434961087,0.25
-0.070621,573,2825.083135,True,False,False,True,True,True,0.0534681372326303,0.078244,True,3.374276960628412,0.25
-2.662273,996,2848.053815,True,False,False,True,True,True,0.0470279734158479,0.07939,False,3.3291958139109354,0.25
-0.164923,511,2859.908428,True,False,False,True,True,True,0.012553689913370497,0.081382,False,3.0878758293935937,0.25
-1.531642,1041,2883.97949,True,False,False,True,True,True,0.022219561868059255,0.082404,False,3.155536933076415,0.25
-1.606246,1043,2908.182693,True,False,False,True,True,True,0.04440260210414085,0.084486,False,3.310818214728986,0.25
0.905237,354,2916.359265,True,False,False,True,True,True,0.045263813241995694,0.086572,False,3.31684669269397,0.25
-32.46098,2000,2962.246621,False,False,True,False,False,False,0.07298030589054927,0.08728,False,3.5108621412338445,0.25
-2.367427,700,2978.42886,True,False,False,True,True,True,0.08758307030776837,0.09128,False,3.613081492154379,0.25
1.252539,260,2984.361604,True,False,False,True,True,True,0.02717581079047659,0.09268,False,3.190230675533336,0.25
-5.042646,1638,3022.161677,True,False,False,True,True,True,0.028816041648335823,0.0932,False,3.2017122915383505,0.25
-5.417407,1481,3056.550212,True,False,False,True,True,True,0.019466672086970078,0.096476,False,3.1362667046087904,0.25
0.605904,599,3070.370559,True,False,False,True,True,True,0.028635702361126048,0.099438,False,3.200449916527883,0.25
-5.759501,1077,3095.219369,True,False,False,True,True,True,0.023550437353720137,0.100636,True,3.164853061476041,0.25
-3.513771,1117,3120.835115,True,False,False,True,True,True,0.07976623957265516,0.10279,False,3.558363677008586,0.25
-0.504791,474,3131.735125,True,False,False,True,True,True,0.04733286508058948,0.105024,False,3.331330055564126,0.25
-59.804153,1641,3169.299657,False,True,False,False,False,False,0.03466736473056671,0.105972,False,3.2426715531139667,0.25
-0.684289,507,3181.068496,True,False,False,True,True,True,0.014539552955697053,0.109254,True,3.1017768706898794,0.25
-36.559673,2000,3233.548536,False,False,True,False,False,False,0.10809542137984637,0.110268,True,3.756667949658924,0.30000000000000004
-1.921636,632,3248.274702,True,False,False,True,True,True,0.0043590015607186654,0.114268,False,3.0305130109250307,0.25
-0.321759,448,3258.599539,True,False,False,True,True,True,0.012327952229813973,0.115532,False,3.0862956656086977,0.25
0.715563,379,3267.345557,True,False,False,True,True,True,0.11127669842331651,0.116428,False,3.778936888963216,0.30000000000000004
-7.413923,1485,3301.567195,True,False,False,True,True,True,0.019084146006940993,0.117186,True,3.133589022048587,0.25
-0.537003,527,3313.715369,True,False,False,True,True,True,0.01625066635104884,0.120156,False,3.1137546644573417,0.25
-0.631961,691,3329.726253,True,False,False,True,True,True,0.10115445220092312,0.12121,False,3.708081165406462,0.30000000000000004
-22.935593,1728,3369.53115,True,False,False,True,True,True,0.09469643306708253,0.122592,False,3.6628750314695777,0.25
-3.964508,1338,3400.478585,True,False,False,True,True,True,0.06308579393017479,0.126048,False,3.4416005575112236,0.25
-1.627263,661,3415.730875,True,False,False,True,True,True,0.04429420317301105,0.128724,False,3.3100594222110775,0.25
-53.770674,1150,3442.13179,False,True,False,False,False,False,0.12637130656235335,0.130046,False,3.8845991459364733,0.30000000000000004
-4.012292,1060,3466.586354,True,False,False,True,True,True,0.07556278066483746,0.132346,False,3.5289394646538623,0.25
-11.6095,1574,3502.9245,True,False,False,True,True,True,0.09761034480381622,0.134466,False,3.6832724136267134,0.25
-6.348188,1131,3529.031858,True,False,False,True,True,True,0.09376237750812175,0.137614,False,3.6563366425568518,0.25
-6.586618,977,3551.412544,True,False,False,True,True,True,0.07198297097977246,0.139876,False,3.5038807968584074,0.25
-21.454924,2000,3597.507678,False,False,True,False,True,False,0.07168224429817514,0.14183,False,3.5017757100872258,0.25
-16.279662,2000,3644.501139,False,False,True,False,False,False,0.012512334758494953,0.14583,False,3.0875863433094644,0.25
-57.332371,1774,3685.72735,False,True,False,False,False,False,0.027789400485121803,0.14983,False,3.1945258033958526,0.25
-3.12791,855,3705.397228,True,False,False,True,True,True,0.014806713994858205,0.153378,True,3.1036469979640073,0.25
-20.4427,2000,3751.638235,False,False,True,False,False,False,0.04810242137186205,0.155088,False,3.3367169496030344,0.25
-1.310192,524,3763.826725,True,False,False,True,True,True,0.07475760290833805,0.159088,False,3.5233032203583665,0.25
-27.754121,2000,3809.89876,False,False,True,False,False,False,0.15187357932169768,0.160136,True,4.063115055251884,0.30000000000000004
0.108161,324,3817.269667,True,False,False,True,True,True,0.00621770280017262,0.164136,True,3.0435239196012085,0.25
-3.722614,761,3834.793023,True,False,False,True,True,True,0.10396579392712596,0.164784,False,3.7277605574898818,0.30000000000000004
-54.807736,2000,3880.482972,False,False,True,False,False,False,0.09776580467095757,0.166306,False,3.684360632696703,0.25
-1.156952,804,3898.853866,True,False,False,True,True,True,0.09936872672546633,0.170306,False,3.6955810870782644,0.25
-12.222578,1763,3939.579114,True,False,False,True,True,True,0.05795457658484734,0.171914,False,3.4056820360939315,0.25
-6.321109,1520,3974.528211,True,False,False,True,True,True,0.07132969209169403,0.17544,False,3.499307844641858,0.25
-1.053707,573,3987.713996,True,False,False,True,True,True,0.0818190630768888,0.17848,False,3.5727334415382215,0.25
-8.454878,1348,4018.766553,True,False,False,True,True,True,0.05826893086038865,0.179626,False,3.407882516022721,0.25
-2.553424,696,4034.652601,True,False,False,True,True,True,0.03196513974164838,0.182322,False,3.2237559781915386,0.25
-3.811549,2000,4080.515555,False,False,True,False,True,False,0.06168640525858413,0.183714,True,3.4318048368100884,0.25
-0.86862,1339,4111.234585,True,False,False,True,True,True,0.10926216150253963,0.187714,True,3.764835130517777,0.30000000000000004
1.328539,319,4118.49707,True,False,False,True,True,True,0.04407621885776217,0.190392,True,3.3085335320043354,0.25
