#{"t_start": 1786422801.8976715, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,curriculum_ceiling,curriculum_rehearsal,curriculum_rotation_progress,curriculum_translation_progress,episode_shell_outer_m,episode_target_tumble_scale
-71.817951,1944,13.036418,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-70.492766,1817,19.819123,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-65.600411,2000,27.307154,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-46.959217,2000,35.046744,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-56.460708,2000,42.595844,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-64.385028,1599,48.49582,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-54.758248,2000,55.930914,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-59.121221,2000,63.654475,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-52.694051,2000,71.104942,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-52.077696,2000,78.501909,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-51.835591,2000,111.850296,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-34.886341,2000,156.310637,False,False,True,False,False,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-23.972304,2000,201.728332,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-29.542874,2000,249.674536,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-29.671459,2000,301.516313,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-29.664766,2000,347.814837,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-28.939708,2000,392.224386,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-26.054363,2000,436.696557,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-19.951577,2000,481.12787,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-23.837864,2000,525.512711,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-10.832936,2000,570.344267,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-31.587168,2000,615.159052,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-38.98944,2000,659.440971,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-30.072899,2000,703.516382,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-23.110738,2000,747.926647,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-28.866318,2000,796.727578,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-20.097368,2000,862.088181,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-18.826982,2000,909.683231,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-17.808629,2000,954.136089,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-18.741232,2000,998.773272,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-17.328018,2000,1043.42545,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-9.02733,2000,1088.105911,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-11.353078,2000,1133.072925,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-12.975518,2000,1181.15756,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-9.461789,2000,1226.256202,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-9.106789,2000,1270.302194,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-6.477918,2000,1314.374177,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.133939,1273,1342.661913,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-6.829792,2000,1387.974994,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.235989,2000,1438.258978,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.610691,2000,1492.424327,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.903074,1938,1535.08832,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.121245,821,1553.192253,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.142426,1141,1579.043288,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.955129,1064,1603.000548,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.136001,864,1624.024991,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.575181,766,1641.958671,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.537075,877,1662.88793,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.345411,484,1674.811781,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.04574,905,1696.18663,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-12.211193,1509,1730.436452,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
0.844743,404,1739.664382,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.927396,892,1762.27098,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-8.422439,1980,1814.759807,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.439857,689,1831.853414,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.395965,587,1847.737797,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.026368,863,1868.120447,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
0.412714,345,1875.786273,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-9.009877,2000,1921.436653,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.969212,852,1941.020714,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
