#{"t_start": 1786405644.1359944, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,curriculum_ceiling,curriculum_rehearsal,curriculum_rotation_progress,curriculum_translation_progress,episode_shell_outer_m,episode_target_tumble_scale
-48.102212,2000,14.313143,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-62.984429,2000,24.454882,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-72.313468,1988,33.867825,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-62.703241,2000,44.350106,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-64.54575,2000,54.795918,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-63.368962,2000,65.810737,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-59.362925,1522,73.639392,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-55.632127,2000,83.769857,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-51.620661,2000,94.546403,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-39.20337,2000,104.5294,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-57.787434,2000,149.996551,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-28.839641,2000,208.706919,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.349201,877,233.739902,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.224092,640,252.018934,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-7.461914,2000,309.534642,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.608638,987,338.059883,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-62.974278,1833,391.978276,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-6.615697,1305,429.534872,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-6.141229,2000,486.874847,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.597844,948,513.643904,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-50.424612,2000,570.170543,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-71.596943,1862,624.748803,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-49.754243,1123,657.761184,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-44.627333,2000,715.681443,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-43.314597,2000,773.196243,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-41.196601,2000,830.430809,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-51.64522,2000,888.953586,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-58.164995,2000,945.776294,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-62.786728,1692,994.850435,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-58.614704,1458,1037.005232,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-45.297602,2000,1094.62473,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-66.081455,1843,1148.607032,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-53.837871,1516,1191.48179,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-45.64201,2000,1250.036525,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-12.602031,2000,1309.216977,False,False,True,False,False,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.782172,576,1325.213432,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.518042,499,1339.407673,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-34.482955,2000,1397.100178,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-28.359553,2000,1455.022312,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-49.556144,2000,1513.06191,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-52.117072,2000,1570.424359,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-64.921368,1848,1623.418105,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-25.56654,2000,1681.609098,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-29.914246,2000,1739.187033,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-25.773405,2000,1797.803513,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-60.673154,1783,1848.604611,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-76.208963,1963,1906.540352,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-25.366817,2000,1963.608405,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-48.523785,1069,1994.880062,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-39.539679,2000,2051.777199,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-10.359422,1648,2100.210333,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.573588,526,2115.622756,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-17.638254,1998,2173.212171,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-29.711514,2000,2230.46106,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-31.56438,2000,2287.347527,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.578116,815,2310.577059,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-14.090649,2000,2369.889731,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.377115,484,2383.974392,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-57.834427,2000,2442.628716,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-48.44385,1065,2472.674695,False,True,False,False,False,False,7.595082787161233e-05,0.00073,False,0.00016877961749247185,0.0,3.0,0.25
-44.324776,2000,2529.847667,False,False,True,False,False,False,0.00036825639207143344,0.001698181818181818,False,0.0008183475379365188,0.0,3.0,0.25
-44.069323,1007,2558.696477,False,True,False,False,False,False,0.0009523890917445424,0.0035163636363636365,False,0.002116420203876761,0.0,3.0,0.25
-48.954973,1880,2613.239419,False,True,False,False,False,False,0.001847296775222042,0.004431818181818182,False,0.004105103944937871,0.0,3.0,0.25
-51.234169,1273,2649.426487,False,True,False,False,False,False,0.003386171493773936,0.006140909090909091,False,0.007524825541719858,0.0,3.0,0.25
-15.314443,2000,2707.0573,False,False,True,False,True,False,0.0010304437141688296,0.007298181818181818,False,0.0022898749203751766,0.0,3.0,0.25
-25.789163,2000,2764.693808,False,False,True,False,False,False,0.00594862964245547,0.009116363636363636,True,0.013219176983234378,0.0,3.0,0.25
-50.515376,1103,2797.588243,False,True,False,False,False,False,0.002732437209491455,0.010934545454545454,False,0.006072082687758789,0.0,3.0,0.25
-37.256448,2000,2855.836097,False,False,True,False,False,False,0.011134568702131227,0.011937272727272727,False,0.02474348600473606,0.0,3.0,0.25
-58.526781,1585,2901.563315,False,True,False,False,False,False,0.006520421074815301,0.013755454545454545,True,0.014489824610700669,0.0,3.0,0.25
-48.477274,2000,2958.994668,False,False,True,False,False,False,0.013507446540390444,0.015196363636363636,False,0.03001654786753432,0.0,3.0,0.25
-52.678078,2000,3017.597355,False,False,True,False,False,False,0.010001784726014392,0.017014545454545456,False,0.02222618828003198,0.0,3.0,0.25
0.43858,244,3024.645802,True,False,False,True,True,True,0.014693851722440124,0.018832727272727272,False,0.03265300382764472,0.0,3.0,0.25
-14.603905,2000,3082.654394,False,False,True,False,False,False,0.009494807044032749,0.019054545454545456,False,0.021099571208961665,0.0,3.0,0.25
-50.360311,1200,3116.852901,False,True,False,False,False,False,0.014423656593890522,0.020872727272727272,False,0.0320525702086456,0.0,3.0,0.25
-38.828488,689,3137.133956,False,True,False,False,False,False,0.017072499390426432,0.021963636363636362,False,0.03793888753428096,0.0,3.0,0.25
-49.718912,1428,3177.577182,False,True,False,False,False,False,0.01427156480518672,0.02259,False,0.031714588455970485,0.0,3.0,0.25
-36.885994,642,3196.388069,False,True,False,False,False,False,0.01833992578598626,0.02388818181818182,False,0.04075539063552502,0.0,3.0,0.25
-45.613853,975,3224.718248,False,True,False,False,False,False,0.006152486769122744,0.02447181818181818,False,0.013672192820272764,0.0,3.0,0.25
-48.467638,1090,3256.13694,False,True,False,False,False,False,0.017215255438303198,0.025358181818181818,True,0.03825612319622933,0.0,3.0,0.25
-53.942538,1188,3291.992769,False,True,False,False,False,False,0.011098544795910232,0.02634909090909091,False,0.024663432879800516,0.0,3.0,0.25
-49.24573,1095,3323.810282,False,True,False,False,False,False,0.017583666721490875,0.02742909090909091,False,0.03907481493664639,0.0,3.0,0.25
-49.882925,1142,3356.750977,False,True,False,False,False,False,0.010552951217892763,0.028424545454545456,False,0.02345100270642836,0.0,3.0,0.25
-46.643265,925,3383.134693,False,True,False,False,False,False,0.015707849282903998,0.029462727272727272,False,0.03490633173978666,0.0,3.0,0.25
-45.178106,982,3411.124279,False,True,False,False,False,False,0.0035047641112680903,0.030303636363636362,False,0.007788364691706867,0.0,3.0,0.25
-49.454546,1091,3441.723297,False,True,False,False,False,False,0.009049339504351729,0.031196363636363637,True,0.02010964334300384,0.0,3.0,0.25
-53.702479,1194,3475.663264,False,True,False,False,False,False,0.002200561268857535,0.03218818181818182,True,0.004890136153016744,0.0,3.0,0.25
-41.777254,788,3497.603443,False,True,False,False,False,False,0.032477841732709685,0.033273636363636366,False,0.07217298162824375,0.0,3.0,0.25
-72.268912,1800,3549.928993,False,True,False,False,False,False,0.010715273038312965,0.03399,True,0.0238117178629177,0.0,3.0,0.25
-60.195745,2000,3609.245385,False,False,True,False,False,False,0.03428118018461972,0.03562636363636364,False,0.07618040041026604,0.0,3.0,0.25
-61.69271,1517,3653.254232,False,True,False,False,False,False,0.021105178201445477,0.03744454545454545,True,0.04690039600321217,0.0,3.0,0.25
-56.455863,2000,3711.441029,False,False,True,False,False,False,0.02075160231914044,0.038823636363636366,False,0.04611467182031209,0.0,3.0,0.25
-52.088765,1233,3748.323894,False,True,False,False,False,False,0.03254452075436865,0.04064181818181818,True,0.07232115723193033,0.0,3.0,0.25
-54.064846,1285,3785.863464,False,True,False,False,False,False,0.03629830234333348,0.04176272727272727,False,0.08066289409629661,0.0,3.0,0.25
-40.4152,767,3808.431311,False,True,False,False,False,False,0.019568436815157787,0.04293090909090909,False,0.04348541514479508,0.0,3.0,0.25
-55.443048,1188,3842.864728,False,True,False,False,False,False,0.006067758849209847,0.043628181818181816,False,0.01348390855379966,0.0,3.0,0.25
-62.130716,1561,3888.206376,False,True,False,False,False,False,0.025889762623440386,0.04470818181818182,True,0.05753280582986752,0.0,3.0,0.25
-55.570546,1297,3935.302273,False,True,False,False,False,False,0.04552425822745759,0.046127272727272725,False,0.1011650182832391,0.0,3.0,0.30000000000000004
-56.108245,1304,3973.441691,False,True,False,False,False,False,0.012953733873430401,0.04730636363636364,True,0.02878607527428978,0.0,3.0,0.25
-40.960718,847,3997.936241,False,True,False,False,False,False,0.025896184110094207,0.048491818181818185,False,0.057547075800209346,0.0,3.0,0.25
-56.416876,1353,4037.372063,False,True,False,False,False,False,0.03730836332540899,0.049261818181818184,True,0.08290747405646441,0.0,3.0,0.25
-52.379983,1183,4071.527094,False,True,False,False,False,False,0.027030019464125518,0.05049181818181818,False,0.060066709920278925,0.0,3.0,0.25
-51.099793,1055,4102.061268,False,True,False,False,False,False,0.03892198111811366,0.051567272727272725,False,0.08649329137358591,0.0,3.0,0.25
-58.806506,1328,4141.221588,False,True,False,False,False,False,0.017162191965448735,0.052526363636363635,False,0.03813820436766385,0.0,3.0,0.25
-62.753234,1559,4185.314929,False,True,False,False,False,False,0.0063900216047074266,0.053733636363636365,False,0.014200048010460948,0.0,3.0,0.25
-60.558215,1483,4228.669895,False,True,False,False,False,False,0.0003615160026007874,0.05515090909090909,False,0.0008033688946684164,0.0,3.0,0.25
-45.076317,865,4253.079708,False,True,False,False,False,False,0.047223702413300726,0.05649909090909091,False,0.10494156091844606,0.0,3.0,0.30000000000000004
-55.391393,1350,4292.67461,False,True,False,False,False,False,0.003912423291289072,0.05728545454545454,False,0.008694273980642382,0.0,3.0,0.25
-53.805948,1133,4325.852721,False,True,False,False,False,False,0.03203454639885327,0.05851272727272727,True,0.0711878808863406,0.0,3.0,0.25
-69.661794,1860,4379.609329,False,True,False,False,False,False,0.015309934818196903,0.059542727272727275,True,0.034022077373770894,0.0,3.0,0.25
-49.083739,1145,4413.046046,False,True,False,False,False,False,0.034058208975007206,0.061233636363636365,False,0.07568490883334934,0.0,3.0,0.25
-55.606265,1371,4453.285767,False,True,False,False,False,False,0.02754916224557733,0.06227454545454546,False,0.0612203605457274,0.0,3.0,0.25
-66.960264,2000,4511.535702,False,False,True,False,False,False,0.008266583820991498,0.06352090909090909,False,0.018370186268869996,0.0,3.0,0.25
-36.042667,602,4529.454943,False,True,False,False,False,False,0.004861063307860755,0.0653390909090909,False,0.010802362906357233,0.0,3.0,0.25
-53.453483,1210,4564.920972,False,True,False,False,False,False,0.0010930397968259475,0.06588636363636363,False,0.0024289773262798835,0.0,3.0,0.25
-45.628826,984,4594.938718,False,True,False,False,False,False,0.03035448565407091,0.06698636363636364,True,0.06745441256460202,0.0,3.0,0.25
-47.703992,1052,4624.422159,False,True,False,False,False,False,0.01261721381836912,0.06788090909090909,False,0.028038252929709153,0.0,3.0,0.25
-63.20655,1552,4669.942145,False,True,False,False,False,False,0.0428175525051496,0.06883727272727273,False,0.09515011667811021,0.0,3.0,0.25
-53.530393,1203,4704.737563,False,True,False,False,False,False,0.06636680461942449,0.07024818181818182,True,0.14748178804316553,0.0,3.0,0.30000000000000004
-54.335684,2000,4763.880787,False,False,True,False,False,False,0.030530781662750542,0.07134181818181819,False,0.06784618147277897,0.0,3.0,0.25
-63.42109,1641,4812.871302,False,True,False,False,False,False,0.04426763399530405,0.07316,False,0.09837251998956455,0.0,3.0,0.25
-51.603615,2000,4871.566106,False,False,True,False,False,False,0.042773194531853194,0.07465181818181818,False,0.0950515434041182,0.0,3.0,0.25
-45.636511,1007,4898.508652,False,True,False,False,False,False,0.06090400150489783,0.07647,True,0.13534222556643963,0.0,3.0,0.30000000000000004
-48.219191,972,4924.3789,False,True,False,False,False,False,0.010468105889663364,0.07738545454545455,True,0.023262457532585254,0.0,3.0,0.25
-64.718515,1725,4970.981664,False,True,False,False,False,False,0.03673188795539576,0.07826909090909091,True,0.08162641767865725,0.0,3.0,0.25
-44.397687,936,4996.019746,False,True,False,False,False,False,0.07623092082042701,0.07983727272727273,True,0.16940204626761557,0.0,3.0,0.30000000000000004
-49.909841,1235,5029.476365,False,True,False,False,False,False,0.006365655206899722,0.08068818181818181,False,0.014145900459777159,0.0,3.0,0.25
-64.663745,1635,5073.400533,False,True,False,False,False,False,0.07505186850344973,0.08181090909090909,True,0.16678193000766608,0.0,3.0,0.30000000000000004
-56.647036,1404,5111.734966,False,True,False,False,False,False,0.030579378424961334,0.08329727272727273,False,0.06795417427769185,0.0,3.0,0.25
-72.35703,1951,5164.924574,False,True,False,False,False,False,0.06006486911115313,0.08457363636363636,False,0.13347748691367362,0.0,3.0,0.30000000000000004
-37.865443,679,5182.231454,False,True,False,False,False,False,0.07303704810244,0.08634727272727273,False,0.16230455133875554,0.0,3.0,0.30000000000000004
-39.391377,752,5201.30837,False,True,False,False,False,False,0.07352712850721174,0.08696454545454546,False,0.16339361890491497,0.0,3.0,0.30000000000000004
-45.308188,928,5225.338616,False,True,False,False,False,False,0.00344530041965341,0.08764818181818182,False,0.007656223154785356,0.0,3.0,0.25
-59.069178,2000,5276.950302,False,False,True,False,False,False,0.044365315801534674,0.08849181818181819,False,0.09858959067007705,0.0,3.0,0.25
-49.120704,1169,5306.623826,False,True,False,False,False,False,0.020819016626173095,0.09031,False,0.04626448139149577,0.0,3.0,0.25
-68.225859,1768,5353.425327,False,True,False,False,False,False,0.08117316926082756,0.09137272727272727,True,0.1803848205796168,0.0,3.0,0.30000000000000004
-51.94531,1210,5384.728011,False,True,False,False,False,False,0.05761657538496596,0.09298,False,0.12803683418881323,0.0,3.0,0.30000000000000004
-51.477247,1192,5416.212932,False,True,False,False,False,False,0.016613933588463126,0.09408,False,0.036919852418806944,0.0,3.0,0.25
-38.090515,727,5434.35019,False,True,False,False,False,False,0.008146122131689245,0.09516363636363637,True,0.018102493625976098,0.0,3.0,0.25
-43.437207,882,5457.054436,False,True,False,False,False,False,0.01940025265064883,0.09582454545454545,False,0.043111672556997396,0.0,3.0,0.25
-67.678419,1783,5504.352687,False,True,False,False,False,False,0.07904314545726716,0.09662636363636364,False,0.17565143434948258,0.0,3.0,0.30000000000000004
-58.906042,1462,5541.356359,False,True,False,False,False,False,0.0720237029139455,0.09824727272727272,False,0.16005267314210112,0.0,3.0,0.30000000000000004
-61.44647,2000,5592.074115,False,False,True,False,False,False,0.025392111494568364,0.09957636363636363,False,0.05642691443237414,0.0,3.0,0.25
-40.989417,715,5610.305318,False,True,False,False,False,False,0.0038739875483731604,0.10139454545454546,False,0.008608861218607024,0.0,3.0,0.25
-61.523645,1680,5652.744689,False,True,False,False,False,False,0.06551947794790527,0.10204454545454546,False,0.14559883988423394,0.0,3.0,0.30000000000000004
-57.965593,2000,5704.608728,False,False,True,False,False,False,0.0006547567729918136,0.10357181818181818,True,0.0014550150510929192,0.0,3.0,0.25
-51.299383,1156,5733.975536,False,True,False,False,False,False,0.05096349585298172,0.10539,True,0.11325221300662604,0.0,3.0,0.30000000000000004
-36.981203,596,5749.115958,False,True,False,False,False,False,0.03393582239519211,0.10644090909090909,False,0.07541293865598248,0.0,3.0,0.25
-57.627383,2000,5799.298354,False,False,True,False,False,False,0.0018616548850657623,0.10698272727272727,False,0.004137010855701694,0.0,3.0,0.25
