#{"t_start": 1786416913.6039662, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,curriculum_ceiling,curriculum_rehearsal,curriculum_rotation_progress,curriculum_translation_progress,episode_shell_outer_m,episode_target_tumble_scale
-64.267647,2000,12.74456,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-58.173139,2000,22.072973,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-55.62056,2000,31.409631,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-44.94024,2000,40.652732,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-48.136708,2000,49.447056,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-48.108644,2000,57.515266,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-62.867207,1553,63.525694,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-65.042964,2000,71.15271,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-59.158461,2000,78.603322,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-59.147435,2000,86.10579,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-42.488803,2000,122.766672,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-24.804634,2000,167.062654,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-6.226696,1477,200.425607,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-7.123541,1482,232.781122,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-0.988369,580,245.606911,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-8.142201,2000,290.192527,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-32.275311,2000,334.807462,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-2.615032,472,345.189229,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-23.191969,2000,390.4526,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
0.909978,332,398.066025,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-12.024118,1533,435.098462,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-2.969656,627,449.083592,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-0.956973,708,464.932302,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-7.775387,1306,495.713276,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-2.938676,1155,523.798791,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-17.640987,2000,571.967915,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-17.891321,2000,618.930798,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-60.691169,1583,653.010772,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-48.290627,2000,696.536171,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-50.73247,1216,723.91273,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-53.631063,1445,757.587128,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-44.698272,902,861.979053,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-56.063091,1548,896.296574,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-60.140884,1583,931.546062,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-49.560401,1097,957.084939,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-50.802835,1283,987.904733,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-55.403106,1445,1024.18608,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-44.098022,949,1051.010108,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-44.376093,2000,1095.220767,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-58.882714,1484,1128.049616,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-7.356778,984,1150.247708,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-47.448027,1249,1179.149822,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-57.804042,1635,1215.837454,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-0.505973,212,1220.646038,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-33.485438,2000,1265.901878,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-63.55633,1703,1312.210606,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-57.857288,1892,1355.83928,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-45.792098,2000,1408.795532,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-42.696244,2000,1453.376107,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-58.515448,1761,1493.11944,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-0.990134,494,1504.00719,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-17.856261,2000,1550.495379,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-64.795491,1941,1593.547818,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-18.107546,2000,1638.43035,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-24.764457,2000,1683.426054,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-1.974702,487,1694.211351,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-40.249144,2000,1738.334214,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-32.796968,2000,1791.585882,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-19.998032,2000,1836.728052,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-23.98138,2000,1880.326537,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-35.569258,2000,1924.50194,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-44.021605,1364,1958.289341,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-14.969723,2000,2014.152303,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-25.346042,2000,2160.351048,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-12.220813,2000,2205.895094,False,False,True,False,False,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-25.825364,2000,2259.176674,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-16.598719,2000,2314.390168,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-4.187939,325,2323.329598,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-18.517314,2000,2376.773119,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-12.68406,1814,2426.046519,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-23.251136,2000,2470.326681,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-44.086965,2000,2513.981759,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-11.672299,1677,2552.126461,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-19.817551,2000,2596.635176,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-24.474043,2000,2640.790366,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-8.675096,1336,2670.163243,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-7.290284,1038,2693.319695,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-39.669387,2000,2738.055597,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-19.219151,2000,2785.126893,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-16.137238,2000,2831.635551,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-19.996997,2000,2880.888649,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-2.422903,595,2896.402854,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-45.734582,1187,2922.701635,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-16.629102,2000,2966.98666,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
0.430424,287,2973.322041,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-10.757835,1462,3005.628413,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-4.300901,904,3030.350314,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-1.467975,530,3045.562246,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-50.684586,1263,3073.847262,False,True,False,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-13.448518,2000,3118.271632,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-12.866816,2000,3161.863645,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-2.782686,612,3175.277697,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-8.52013,2000,3219.160444,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-8.03182,2000,3262.859684,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-10.323433,2000,3466.966047,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-5.788674,2000,3511.174793,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-61.673592,2000,3561.465192,False,False,True,False,False,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-4.027519,2000,3627.790558,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-4.8805,932,3653.780866,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-3.044743,830,3672.019944,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-7.050429,970,3692.935405,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-13.130242,2000,3737.340895,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-10.007512,1463,3768.875723,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-6.753103,1264,3796.355786,True,False,False,True,True,True,1.0,1.0,False,1.0,1.0,3.0,0.25
-6.313981,2000,3840.00766,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
-3.754702,2000,3884.095146,False,False,True,False,True,False,1.0,1.0,False,1.0,1.0,3.0,0.25
