#{"t_start": 1786302005.310393, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,attitude_success,position_success
-60.349919,1323,8.67625,False,True,False,False,False,False
-54.262304,1087,13.024554,False,True,False,False,False,False
-68.444161,2000,21.021372,False,False,True,False,False,False
-73.887252,1716,27.535747,False,True,False,False,False,False
-62.199647,2000,35.16874,False,False,True,False,False,False
-63.363055,1358,40.312806,False,True,False,False,False,False
-61.465097,1275,45.164229,False,True,False,False,False,False
-62.07314,2000,52.69406,False,False,True,False,False,False
-75.988927,1791,59.53667,False,True,False,False,False,False
-47.843059,2000,67.183942,False,False,True,False,False,False
-68.595373,1506,72.937608,False,True,False,False,False,False
-56.481466,1122,77.223439,False,True,False,False,False,False
-68.249424,2000,98.742886,False,False,True,False,False,False
-15.329998,2000,129.16397,False,False,True,False,False,True
-34.942429,2000,159.103731,False,False,True,False,False,False
-8.939923,2000,189.465608,False,False,True,False,False,True
-4.627517,2000,219.742015,False,False,True,False,False,True
-5.578833,2000,250.08757,False,False,True,False,False,True
-5.081165,2000,280.626482,False,False,True,False,False,True
-3.691212,2000,310.495637,False,False,True,False,False,True
-6.596198,2000,340.581364,False,False,True,False,False,True
-7.273265,2000,371.153377,False,False,True,False,False,True
-77.637764,1878,400.243428,False,True,False,False,False,False
-3.670134,1385,421.227283,True,False,False,True,True,True
-12.247114,2000,451.399927,False,False,True,False,False,True
-5.971975,2000,481.634101,False,False,True,False,False,True
-8.392529,2000,511.558658,False,False,True,False,False,True
-4.943291,2000,542.135395,False,False,True,False,False,True
-6.663077,2000,572.10529,False,False,True,False,False,True
-59.424915,1541,595.146486,False,True,False,False,False,False
-5.531289,2000,624.96657,False,False,True,False,False,True
-13.773394,2000,654.43139,False,False,True,False,False,True
-3.799171,2000,684.558414,False,False,True,False,False,True
-9.274899,2000,714.844995,False,False,True,False,False,True
-1.45761,1093,731.672503,True,False,False,True,True,True
-8.688096,2000,762.366273,False,False,True,False,False,True
-22.636851,2000,792.988611,False,False,True,False,False,True
-16.934187,2000,823.040469,False,False,True,False,False,True
-57.374018,1495,845.702893,False,True,False,False,False,False
-5.166098,2000,875.705576,False,False,True,False,False,True
-56.868685,1421,896.888855,False,True,False,False,False,False
-3.958002,2000,926.890442,False,False,True,False,False,True
-3.87219,2000,956.715188,False,False,True,False,False,True
-2.855941,2000,986.355552,False,False,True,False,False,True
-13.144582,2000,1016.005304,False,False,True,False,False,True
-12.456829,2000,1045.6665,False,False,True,False,False,True
-48.900003,2000,1075.151881,False,False,True,False,False,False
-11.341276,2000,1105.115012,False,False,True,False,False,True
-4.352238,2000,1135.316376,False,False,True,False,False,True
-12.623909,2000,1165.612092,False,False,True,False,False,True
-43.778002,860,1178.580127,False,True,False,False,False,False
-59.121567,1327,1197.979146,False,True,False,False,False,False
-18.871256,2000,1227.836367,False,False,True,False,False,True
-68.023732,1853,1255.837865,False,True,False,False,False,False
-15.169727,2000,1287.196332,False,False,True,False,False,True
-11.678736,2000,1316.805209,False,False,True,False,False,True
-6.970591,2000,1346.191774,False,False,True,False,False,True
-13.523114,2000,1376.12423,False,False,True,False,False,True
-10.001318,2000,1405.695504,False,False,True,False,False,True
-6.612417,2000,1435.420408,False,False,True,False,False,True
-45.872067,951,1449.71635,False,True,False,False,False,False
-63.35548,1626,1473.75612,False,True,False,False,False,False
-2.43339,2000,1503.177699,False,False,True,False,False,True
-64.317913,1734,1528.737243,False,True,False,False,False,False
-5.919182,2000,1558.608873,False,False,True,False,False,True
-9.760675,2000,1588.47429,False,False,True,False,False,True
-4.593494,2000,1618.419948,False,False,True,False,False,True
-2.389445,2000,1648.181684,False,False,True,False,False,True
-9.445708,2000,1677.975248,False,False,True,False,False,True
-61.42611,1623,1702.142659,False,True,False,False,False,False
-53.301301,1212,1720.110174,False,True,False,False,False,False
-5.381329,2000,1749.500443,False,False,True,False,False,True
-9.060208,2000,1779.130879,False,False,True,False,False,True
-11.074043,2000,1808.572296,False,False,True,False,False,True
-4.133571,2000,1838.182524,False,False,True,False,False,True
-2.899537,2000,1867.767664,False,False,True,False,False,True
-66.017676,1752,1893.677493,False,True,False,False,False,False
-4.622557,2000,1923.486045,False,False,True,False,False,True
-5.655915,2000,1953.309007,False,False,True,False,False,True
-6.034624,2000,1982.465261,False,False,True,False,False,True
-7.796813,2000,2011.334084,False,False,True,False,False,True
-10.632356,2000,2040.642226,False,False,True,False,False,True
-4.663392,2000,2070.01972,False,False,True,False,False,True
-8.83041,2000,2099.737428,False,False,True,False,False,True
-2.794061,2000,2128.860533,False,False,True,False,False,True
-4.197759,2000,2157.946423,False,False,True,False,False,True
-4.337818,2000,2188.748458,False,False,True,False,False,True
-7.653456,2000,2217.939903,False,False,True,False,False,True
-2.693128,2000,2247.130603,False,False,True,False,False,True
-4.450957,2000,2276.355958,False,False,True,False,False,True
-11.933277,2000,2305.341158,False,False,True,False,False,True
-11.533547,2000,2334.468172,False,False,True,False,False,True
-59.818548,1333,2353.973332,False,True,False,False,False,False
-3.64838,2000,2383.35745,False,False,True,False,False,True
-8.652378,2000,2413.785747,False,False,True,False,False,True
-2.875618,966,2428.381008,True,False,False,True,True,True
-3.965857,2000,2458.61259,False,False,True,False,False,True
-2.647358,2000,2489.332153,False,False,True,False,False,True
-8.28936,2000,2520.078186,False,False,True,False,False,True
-3.983115,2000,2551.230432,False,False,True,False,False,True
-14.641507,1984,2581.45138,True,False,False,True,True,True
-15.489845,2000,2611.296856,False,False,True,False,False,True
-9.172829,2000,2641.416913,False,False,True,False,False,True
-56.584757,1419,2662.994244,False,True,False,False,False,False
-4.017739,2000,2693.107649,False,False,True,False,False,True
-5.172241,1114,2710.087382,True,False,False,True,True,True
-5.065407,2000,2740.470926,False,False,True,False,False,True
-14.040669,2000,2771.025711,False,False,True,False,False,True
-6.359346,2000,2801.46092,False,False,True,False,False,True
-8.887365,2000,2831.978218,False,False,True,False,False,True
-4.048215,1349,2852.038524,True,False,False,True,True,True
-9.017155,2000,2882.602406,False,False,True,False,False,True
-9.993781,2000,2912.723106,False,False,True,False,False,True
-69.152024,1719,2939.083362,False,True,False,False,False,False
-8.506366,2000,2969.241853,False,False,True,False,False,True
-5.725047,2000,2999.703952,False,False,True,False,False,True
-12.098471,1917,3028.667413,True,False,False,True,True,True
-5.181495,2000,3058.826151,False,False,True,False,False,True
-11.531198,2000,3090.45574,False,False,True,False,False,True
-8.215053,2000,3120.638,False,False,True,False,False,True
-14.081449,2000,3150.796731,False,False,True,False,False,True
-8.024088,2000,3181.175725,False,False,True,False,False,True
-6.357159,2000,3211.121438,False,False,True,False,False,True
-7.983138,2000,3241.423287,False,False,True,False,False,True
-6.788496,2000,3271.682926,False,False,True,False,False,True
-2.959119,1700,3297.472672,True,False,False,True,True,True
-0.666158,1410,3318.69945,True,False,False,True,True,True
-15.828032,2000,3348.483321,False,False,True,False,False,True
-13.010335,2000,3378.643888,False,False,True,False,False,True
-9.011943,2000,3409.085338,False,False,True,False,False,True
-52.699585,1134,3426.415942,False,True,False,False,False,False
-5.032012,2000,3456.853817,False,False,True,False,False,True
-4.41641,2000,3486.454907,False,False,True,False,False,True
-44.900275,2000,3516.28718,False,False,True,False,False,False
-7.060004,2000,3546.222162,False,False,True,False,False,True
-59.667302,1350,3566.69288,False,True,False,False,False,False
-11.625059,2000,3596.853113,False,False,True,False,False,True
