#{"t_start": 1789722271.595717, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-71.774792,49,87.12626,True,True,0,3.0,0
-83.265481,47,165.263098,True,True,0,3.0,0
5.881132,150,420.291675,False,False,1,3.0,0
-82.955712,42,489.627656,True,True,0,3.0,0
-71.822476,46,563.91331,True,True,0,3.0,0
-76.835375,54,653.595932,True,True,0,3.0,0
4.140291,150,909.229738,False,False,1,3.0,0
-83.659252,53,995.245892,True,True,0,3.0,0
-82.961793,55,1084.257821,True,True,0,3.0,0
-74.808652,51,1167.701192,True,True,0,3.0,0
-86.392228,41,1235.157351,True,True,0,3.0,0
-69.536748,50,1316.860011,True,True,0,3.0,0
-67.101578,42,1385.42735,True,True,1,3.0,0
5.167762,150,1643.840965,False,False,1,3.0,0
-62.573639,40,1709.547934,True,True,0,3.0,0
-63.634796,54,1797.777742,True,True,0,3.0,0
-84.761841,47,1876.444717,True,True,0,3.0,0
-68.844795,48,1955.690089,True,True,0,3.0,0
5.562793,150,2211.561,False,False,1,3.0,0
-85.16618,44,2283.57061,True,True,0,3.0,0
5.882777,150,2538.90326,False,False,1,3.0,0
-75.392417,55,2629.125462,True,True,1,3.0,0
-62.863931,47,2705.806546,True,True,0,3.0,0
-81.862315,46,2781.524717,True,True,0,3.0,0
-83.279662,54,2868.984535,True,True,0,3.0,0
4.801808,150,3125.278896,False,False,1,3.0,0
-50.976231,46,3200.012927,True,True,1,3.0,0
-81.128852,46,3274.825103,True,True,0,3.0,0
-68.070613,34,3329.948455,True,True,0,3.0,0
-83.613143,50,3414.041699,True,True,0,3.0,0
-85.149882,46,3492.156067,True,True,0,3.0,0
4.633854,150,3767.775178,False,False,1,3.0,0
2.521033,150,4094.3782,False,False,1,3.0,0
-54.184094,52,4204.582588,True,True,0,3.0,0
-72.678649,45,4299.268223,True,True,0,3.0,0
-61.238485,49,4400.013829,True,True,1,3.0,0
-83.287863,54,4513.106589,True,True,0,3.0,0
-85.021117,42,4601.719569,True,True,0,3.0,0
-77.18949,56,4715.634934,True,True,0,3.0,0
4.755754,150,5041.459408,False,False,1,3.0,0
-59.826345,56,5160.59895,True,True,0,3.0,0
-82.91186,37,5237.547253,True,True,0,3.0,0
-84.926349,48,5337.247894,True,True,0,3.0,0
-77.262204,49,5437.417652,True,True,0,3.0,0
-83.868938,46,5532.498766,True,True,0,3.0,0
3.646608,150,5802.475372,False,False,1,3.0,0
2.166809,150,6128.667164,False,False,1,3.0,0
-70.161248,52,6235.396441,True,True,0,3.0,0
-70.382131,51,6340.969112,True,True,1,3.0,0
-80.698546,54,6453.512578,True,True,0,3.0,0
-62.12039,63,6587.763682,True,True,0,3.0,0
-83.350035,53,6697.81848,True,True,0,3.0,0
