#{"t_start": 1789833922.8618257, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
17.072411,49,92.676779,True,True,0,3.0,0
14.015338,47,172.509128,True,True,0,3.0,0
5.881132,150,495.788825,False,False,1,3.0,0
14.779248,42,579.602754,True,True,0,3.0,0
16.223202,46,671.448079,True,True,0,3.0,0
16.471246,54,780.712017,True,True,0,3.0,0
4.140291,150,1093.192668,False,False,1,3.0,0
15.534457,53,1198.183577,True,True,0,3.0,0
16.164674,55,1307.834018,True,True,0,3.0,0
16.007207,51,1409.999594,True,True,0,3.0,0
13.084571,41,1494.084588,True,True,0,3.0,0
16.019075,50,1596.445878,True,True,0,3.0,0
16.358684,42,1681.688442,True,True,1,3.0,0
5.167762,150,2000.990306,False,False,1,3.0,0
16.286001,40,2082.687646,True,True,0,3.0,0
17.683291,54,2192.358735,True,True,0,3.0,0
14.926197,47,2289.240361,True,True,0,3.0,0
17.087697,48,2384.986446,True,True,0,3.0,0
5.562793,150,2701.997307,False,False,1,3.0,0
13.622183,44,2789.614829,True,True,0,3.0,0
5.882777,150,3102.730839,False,False,1,3.0,0
16.836973,55,3218.77141,True,True,1,3.0,0
18.061263,47,3311.706956,True,True,0,3.0,0
14.505961,46,3403.693549,True,True,0,3.0,0
15.287256,54,3515.070174,True,True,0,3.0,0
4.801808,150,3832.263082,False,False,1,3.0,0
17.614712,46,3925.004655,True,True,1,3.0,0
13.734822,46,4015.209477,True,True,0,3.0,0
14.738125,34,4082.36207,True,True,0,3.0,0
15.809904,50,4187.958007,True,True,0,3.0,0
13.907252,47,4286.357466,True,True,0,3.0,0
19.129912,56,4407.184139,True,True,2,3.0,0
2.186824,150,4737.935616,False,False,1,3.0,0
18.335553,52,4852.55611,True,True,0,3.0,0
15.478502,45,4948.902362,True,True,0,3.0,0
17.453624,47,5049.41252,True,True,1,3.0,0
15.196954,54,5163.358548,True,True,0,3.0,0
14.165019,42,5252.081834,True,True,0,3.0,0
16.261331,56,5366.954464,True,True,0,3.0,0
