#{"t_start": 1787289270.946501, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-27.142652,424,6.246867,False,False,True,True,False,False,False,False,0,1.0,True
-25.749922,412,9.488651,False,False,True,True,False,False,False,False,0,1.0,True
-26.631848,366,12.447396,False,False,True,True,False,False,False,False,0,1.0,True
-29.539342,514,15.883351,False,False,True,True,False,False,False,False,0,1.0,True
-26.918677,412,18.866371,False,False,True,True,False,False,False,False,0,1.0,True
-35.610236,788,24.940443,False,False,True,True,False,False,False,False,0,1.0,True
-29.34373,561,28.900193,False,False,True,True,False,False,False,False,0,1.0,True
-28.374275,448,31.712067,False,False,True,True,False,False,False,False,0,1.0,True
-27.695722,428,34.599234,False,False,True,True,False,False,False,False,0,1.0,True
-28.884805,534,38.519416,False,False,True,True,False,False,False,False,0,1.0,True
-29.47221,546,49.287452,False,False,True,True,False,False,False,False,0,1.0,True
-27.841154,440,56.439458,False,False,True,False,False,False,True,False,0,1.0,True
-27.007271,426,62.865941,False,False,True,True,False,False,False,False,0,1.0,True
-28.818818,634,72.761803,False,False,True,False,False,False,True,False,0,1.0,True
-27.659112,488,80.45394,False,False,True,True,False,False,False,False,0,1.0,True
-35.342205,1046,97.321768,False,False,True,False,False,False,True,False,0,1.0,True
-19.813725,519,105.413507,False,False,True,False,True,False,False,False,0,1.0,True
-32.304485,1271,125.089134,False,False,True,True,False,False,False,False,0,1.0,True
-26.985247,623,134.499651,False,False,True,True,False,False,False,False,0,1.0,True
-27.206459,842,147.311651,False,False,True,False,False,False,True,False,0,1.0,True
-32.671326,668,157.885252,False,False,True,True,False,False,False,False,0,1.0,True
-34.906524,650,167.91247,False,False,True,True,False,False,False,False,0,1.0,True
-34.818704,979,183.188085,False,False,True,False,False,False,True,False,0,1.0,True
-29.27859,760,195.113828,False,False,True,True,False,False,False,False,0,1.0,True
-24.823548,426,201.722587,False,False,True,True,False,False,False,False,0,1.0,True
-23.172965,330,206.835617,False,False,True,True,False,False,False,False,0,1.0,True
-25.582436,510,214.810267,False,False,True,True,False,False,False,False,0,1.0,True
-24.58662,382,220.831499,False,False,True,True,False,False,False,False,0,1.0,True
-20.431825,370,226.451897,False,False,True,False,True,False,False,False,0,1.0,True
-23.048823,368,232.488278,False,False,True,True,False,False,False,False,0,1.0,True
-24.613995,371,238.355997,False,False,True,True,False,False,False,False,0,1.0,True
-26.460161,666,248.764423,False,False,True,True,False,False,False,False,0,1.0,True
-24.405631,312,253.858678,False,False,True,True,False,False,False,False,0,1.0,True
-26.684195,615,263.570827,False,False,True,True,False,False,False,False,0,1.0,True
-26.688564,719,275.023638,False,False,True,True,False,False,False,False,0,1.0,True
-29.436688,494,282.659993,False,False,True,True,False,False,False,False,0,1.0,True
-17.676645,706,293.764196,False,True,False,False,False,True,False,False,1,1.0,True
-36.199093,936,308.623371,False,False,True,False,False,False,True,False,0,1.0,True
-24.081473,320,313.566903,False,False,True,True,False,False,False,False,0,1.0,True
-22.330793,219,317.066186,False,False,True,True,False,False,False,False,0,1.0,True
-26.231558,437,323.973638,False,False,True,False,False,False,True,False,0,1.0,True
-25.696439,346,329.466016,False,False,True,True,False,False,False,False,0,1.0,True
-24.046572,330,334.585579,False,False,True,True,False,False,False,False,0,1.0,True
-23.33656,307,339.571143,False,False,True,True,False,False,False,False,0,1.0,True
-24.702593,386,345.587382,False,False,True,True,False,False,False,False,0,1.0,True
-26.130549,448,352.642036,False,False,True,True,False,False,False,False,0,1.0,True
-28.714796,890,432.41053,False,False,True,True,False,False,False,False,0,1.0,True
-33.832139,1489,454.299961,False,False,True,True,False,False,False,False,0,1.0,True
