#{"t_start": 1787376726.8245678, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-19.245092,220,6.603689,False,False,False,False,False,True,False,False,1,1.0,True
-18.25688,167,7.779934,False,False,False,False,False,True,False,False,1,1.0,True
-17.103114,194,9.687687,False,False,False,False,False,True,False,False,1,1.0,True
-15.750548,202,11.619375,False,False,False,False,False,True,False,False,1,1.0,True
-19.078873,145,12.734486,False,False,False,False,False,True,False,False,1,1.0,True
-16.007206,151,14.391823,False,False,False,False,False,True,False,False,1,1.0,True
-20.004714,226,16.26177,False,False,False,False,False,True,False,False,1,1.0,True
-19.002174,190,17.482322,False,False,False,False,False,True,False,False,1,1.0,True
-19.153877,125,18.54062,False,False,False,False,False,True,False,False,1,1.0,True
-15.833244,187,20.121056,False,False,False,False,False,True,False,False,1,1.0,True
-14.894198,196,21.382337,False,False,False,False,False,True,False,False,1,1.0,True
-19.128496,188,22.601529,False,False,False,False,False,True,False,False,1,1.0,True
-16.682816,217,23.94986,False,False,False,False,False,True,False,False,1,1.0,True
-18.878213,200,25.174443,False,False,False,False,False,True,False,False,1,1.0,True
-16.494668,183,26.307971,False,False,False,False,False,True,False,False,1,1.0,True
-15.92571,136,27.141119,False,False,False,False,False,True,False,False,1,1.0,True
-16.216213,156,28.14447,False,False,False,False,False,True,False,False,1,1.0,True
-15.893588,126,28.924034,False,False,False,False,False,True,False,False,1,1.0,True
-14.653156,157,29.879699,False,False,False,False,False,True,False,False,1,1.0,True
-18.840121,134,30.731935,False,False,False,False,False,True,False,False,1,1.0,True
-20.385429,151,31.679741,False,False,False,False,False,True,False,False,1,1.0,True
-14.796053,144,32.557239,False,False,False,False,False,True,False,False,1,1.0,True
-15.324597,148,33.436292,False,False,False,False,False,True,False,False,1,1.0,True
-15.312215,189,34.59532,False,False,False,False,False,True,False,False,1,1.0,True
-14.996146,218,35.927425,False,False,False,False,False,True,False,False,1,1.0,True
-17.150697,168,36.928021,False,False,False,False,False,True,False,False,1,1.0,True
-15.877637,126,37.677878,False,False,False,False,False,True,False,False,1,1.0,True
-16.370048,155,38.619831,False,False,False,False,False,True,False,False,1,1.0,True
-15.129318,203,40.251397,False,False,False,False,False,True,False,False,1,1.0,True
-13.016276,276,45.036399,False,False,False,False,False,True,False,False,1,1.0,True
-21.284782,102,46.548912,False,False,False,False,False,True,False,False,1,1.0,True
-14.870926,80,47.701623,False,False,False,False,False,True,False,False,1,1.0,True
-19.679882,118,49.412416,False,False,False,False,False,True,False,False,1,1.0,True
-14.642052,78,50.536907,False,False,False,False,False,True,False,False,1,1.0,True
-14.161436,95,51.858361,False,False,False,False,False,True,False,False,1,1.0,True
-14.917519,100,53.255762,False,False,False,False,False,True,False,False,1,1.0,True
-14.207923,147,55.439917,False,False,False,False,False,True,False,False,1,1.0,True
-14.435354,120,57.235677,False,False,False,False,False,True,False,False,1,1.0,True
-15.894425,137,59.41914,False,False,False,False,False,True,False,False,1,1.0,True
-13.893857,90,61.106594,False,False,False,False,False,True,False,False,1,1.0,True
-13.158027,96,62.896555,False,False,False,False,False,True,False,False,1,1.0,True
-14.808821,76,64.322717,False,False,False,False,False,True,False,False,1,1.0,True
-13.746745,102,65.837619,False,False,False,False,False,True,False,False,1,1.0,True
-14.311407,99,67.257497,False,False,False,False,False,True,False,False,1,1.0,True
-13.641938,100,68.712057,False,False,False,False,False,True,False,False,1,1.0,True
-14.344598,77,69.79431,False,False,False,False,False,True,False,False,1,1.0,True
-13.949544,98,71.142367,False,False,False,False,False,True,False,False,1,1.0,True
-13.436221,101,72.520934,False,False,False,False,False,True,False,False,1,1.0,True
-13.663915,116,74.207646,False,False,False,False,False,True,False,False,1,1.0,True
-14.622678,101,75.675539,False,False,False,False,False,True,False,False,1,1.0,True
-14.623486,96,77.004595,False,False,False,False,False,True,False,False,1,1.0,True
-14.083502,92,78.332782,False,False,False,False,False,True,False,False,1,1.0,True
-13.601898,106,79.911124,False,False,False,False,False,True,False,False,1,1.0,True
-13.653931,91,81.229469,False,False,False,False,False,True,False,False,1,1.0,True
-13.11718,113,82.841949,False,False,False,False,False,True,False,False,1,1.0,True
-13.975723,88,84.067454,False,False,False,False,False,True,False,False,1,1.0,True
-12.914661,120,85.755781,False,False,False,False,False,True,False,False,1,1.0,True
-13.442727,108,87.299595,False,False,False,False,False,True,False,False,1,1.0,True
-13.868108,124,89.036611,False,False,False,False,False,True,False,False,1,1.0,True
-14.315978,142,90.974512,False,False,False,False,False,True,False,False,1,1.0,True
-12.233832,169,93.45131,False,False,False,False,False,True,False,False,1,1.0,True
-14.671193,187,96.219642,False,False,False,False,False,True,False,False,1,1.0,True
-13.528855,191,98.883688,False,False,False,False,False,True,False,False,1,1.0,True
