#{"t_start": 1787450744.2539647, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-16.210632,187,4.887065,False,False,False,False,False,True,False,False,1,1.0,True
-14.019442,133,5.766955,False,False,False,False,False,True,False,False,1,1.0,True
-17.833466,182,6.968127,False,False,False,False,False,True,False,False,1,1.0,True
-15.59704,119,7.978793,False,False,False,False,False,True,False,False,1,1.0,True
-14.683814,190,9.222185,False,False,False,False,False,True,False,False,1,1.0,True
-16.763265,207,10.887596,False,False,False,False,False,True,False,False,1,1.0,True
-17.315171,174,12.279341,False,False,False,False,False,True,False,False,1,1.0,True
-14.802231,151,13.660135,False,False,False,False,False,True,False,False,1,1.0,True
-16.610782,227,15.310548,False,False,False,False,False,True,False,False,1,1.0,True
-22.280254,207,16.820235,False,False,False,False,False,True,False,False,1,1.0,True
-14.742985,196,18.372769,False,False,False,False,False,True,False,False,1,1.0,True
-18.148118,180,19.705226,False,False,False,False,False,True,False,False,1,1.0,True
-16.7392,182,20.94866,False,False,False,False,False,True,False,False,1,1.0,True
-19.046929,176,22.104365,False,False,False,False,False,True,False,False,1,1.0,True
-14.541948,141,23.146861,False,False,False,False,False,True,False,False,1,1.0,True
-23.309059,175,24.257748,False,False,False,False,False,True,False,False,1,1.0,True
-20.202469,145,25.324486,False,False,False,False,False,True,False,False,1,1.0,True
-16.420369,150,26.495308,False,False,False,False,False,True,False,False,1,1.0,True
-13.949752,135,27.250796,False,False,False,False,False,True,False,False,1,1.0,True
-15.190533,192,28.435817,False,False,False,False,False,True,False,False,1,1.0,True
-15.931627,156,29.806802,False,False,False,False,False,True,False,False,1,1.0,True
-15.57057,162,31.01712,False,False,False,False,False,True,False,False,1,1.0,True
-18.191269,158,32.365782,False,False,False,False,False,True,False,False,1,1.0,True
-19.562283,188,33.962733,False,False,False,False,False,True,False,False,1,1.0,True
-16.830971,227,35.887947,False,False,False,False,False,True,False,False,1,1.0,True
-16.743876,168,37.179295,False,False,False,False,False,True,False,False,1,1.0,True
-14.330504,204,38.753788,False,False,False,False,False,True,False,False,1,1.0,True
-17.246404,183,40.258639,False,False,False,False,False,True,False,False,1,1.0,True
-17.235244,203,43.309759,False,False,False,False,False,True,False,False,1,1.0,True
-12.172302,199,46.289308,False,False,False,False,False,True,False,False,1,1.0,True
-14.825457,98,47.887792,False,False,False,False,False,True,False,False,1,1.0,True
-14.765454,77,49.22553,False,False,False,False,False,True,False,False,1,1.0,True
-14.046113,79,50.450252,False,False,False,False,False,True,False,False,1,1.0,True
-12.792469,88,51.88701,False,False,False,False,False,True,False,False,1,1.0,True
-15.521467,125,53.937877,False,False,False,False,False,True,False,False,1,1.0,True
-10.601822,372,59.94067,False,False,False,False,False,True,False,False,1,1.0,True
-15.448331,158,62.618347,False,False,False,False,False,True,False,False,1,1.0,True
-16.526137,112,64.499195,False,False,False,False,False,True,False,False,1,1.0,True
-17.262364,301,69.432483,False,False,False,False,False,True,False,False,1,1.0,True
-21.423462,131,71.397472,False,False,False,False,False,True,False,False,1,1.0,True
-14.755892,232,75.366114,False,False,False,False,False,True,False,False,1,1.0,True
-15.151499,386,81.620654,False,False,False,False,False,True,False,False,1,1.0,True
-13.044366,352,87.185616,False,False,False,False,False,True,False,False,1,1.0,True
-17.462238,123,89.286372,False,False,False,False,False,True,False,False,1,1.0,True
-22.225966,163,92.00289,False,False,False,False,False,True,False,False,1,1.0,True
-18.48596,342,97.694386,False,False,False,False,False,True,False,False,1,1.0,True
-14.488832,79,99.071036,False,False,False,False,False,True,False,False,1,1.0,True
-24.044256,123,101.192394,False,False,False,False,False,True,False,False,1,1.0,True
-15.137753,78,102.487865,False,False,False,False,False,True,False,False,1,1.0,True
-14.844309,95,104.179156,False,False,False,False,False,True,False,False,1,1.0,True
-14.239925,68,105.212,False,False,False,False,False,True,False,False,1,1.0,True
-14.5976,100,106.827363,False,False,False,False,False,True,False,False,1,1.0,True
-15.354496,87,108.144952,False,False,False,False,False,True,False,False,1,1.0,True
-18.053534,240,112.281325,False,False,False,False,False,True,False,False,1,1.0,True
-49.590874,308,117.324422,False,False,False,False,False,True,False,False,1,1.0,True
-24.029605,168,120.0601,False,False,False,False,False,True,False,False,1,1.0,True
-13.76941,73,121.246459,False,False,False,False,False,True,False,False,1,1.0,True
-14.323404,71,122.436341,False,False,False,False,False,True,False,False,1,1.0,True
-23.994516,153,124.866481,False,False,False,False,False,True,False,False,1,1.0,True
-13.698811,163,127.551547,False,False,False,False,False,True,False,False,1,1.0,True
-13.509199,113,129.367451,False,False,False,False,False,True,False,False,1,1.0,True
-16.040618,191,132.408726,False,False,False,False,False,True,False,False,1,1.0,True
-17.707513,159,134.98981,False,False,False,False,False,True,False,False,1,1.0,True
-15.092945,93,136.610746,False,False,False,False,False,True,False,False,1,1.0,True
-22.459679,106,138.360212,False,False,False,False,False,True,False,False,1,1.0,True
-35.205374,238,142.136445,False,False,False,False,False,True,False,False,1,1.0,True
-13.906794,100,143.74719,False,False,False,False,False,True,False,False,1,1.0,True
-13.567823,162,146.275874,False,False,False,False,False,True,False,False,1,1.0,True
-14.036487,100,147.955725,False,False,False,False,False,True,False,False,1,1.0,True
-15.49168,183,151.017425,False,False,False,False,False,True,False,False,1,1.0,True
-17.46321,134,153.284102,False,False,False,False,False,True,False,False,1,1.0,True
-17.357641,131,155.484334,False,False,False,False,False,True,False,False,1,1.0,True
