#{"t_start": 1788797120.5971375, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-20.000957,41,67.152129,False,False,0,25.0,0
-28.228497,25,116.576112,False,False,1,20.393271615301522,13
-35.111636,21,157.473365,False,False,1,12.617023193192455,12
-34.014744,34,217.340556,False,False,1,22.59043597955544,18
-37.497995,37,279.909983,False,False,1,21.021830109581302,14
-33.033513,20,320.02127,False,False,1,16.089114591709187,8
-52.559703,35,380.406138,False,False,1,18.43960947170352,10
-33.092683,31,436.086008,False,False,1,11.281177515274463,6
-19.178043,48,518.073236,False,False,1,17.059664434140462,0
-33.856061,62,613.676514,False,False,1,7.462681393823725,8
-22.405207,17,649.197411,False,False,1,22.31551524080645,1
-20.285846,20,691.208056,False,False,1,14.491945090613285,0
-35.124973,113,861.849534,False,False,1,18.26941330445957,19
-25.43934,23,906.640893,False,False,1,24.954055993780823,4
-40.796182,39,970.002663,False,False,1,18.255092163356178,12
-19.137852,50,1055.276484,False,False,0,13.144375941948908,0
-18.730383,50,1136.022945,False,False,1,22.739172759055243,3
-19.41865,51,1218.546721,False,False,1,21.620832243764106,15
-21.542456,23,1261.539726,False,False,0,21.964689267021708,0
-41.083261,25,1306.753565,False,False,1,12.548448366298482,7
8.354642,150,1529.633283,False,False,1,21.231081357096226,0
-36.677478,24,1574.575315,False,False,1,19.57589006389331,18
-16.916305,90,1713.355914,False,False,2,15.808453700061609,7
-35.638363,27,1760.513469,False,False,1,18.058000486723714,4
-21.551565,57,1850.751354,False,False,2,18.560771617357865,4
-21.289381,23,1893.726745,False,False,1,24.90893208746834,16
-63.371842,63,1997.478079,False,False,1,10.342664016813858,5
-19.891636,30,2056.935916,False,False,1,18.196475360448947,0
-46.545154,102,2212.17738,False,False,2,12.50427193231898,4
-28.943773,14,2243.519706,False,False,1,23.086527793633458,7
-30.288979,43,2320.005591,False,False,1,16.887810416528122,17
-49.309821,131,2513.805755,False,False,2,15.254594882881634,16
-40.567481,42,2582.347775,False,False,1,14.07803581613311,9
-26.579651,39,2647.784152,False,False,1,13.134899225781423,0
-30.321829,58,2737.657626,False,False,1,23.00359748621693,3
-76.582691,64,2836.20677,False,False,1,17.391036543853357,9
-24.58597,40,2905.167782,False,False,1,17.674065343653393,7
-30.085131,32,2961.412802,False,False,1,3.705664385577582,12
-15.082872,71,3070.880616,False,False,1,12.213226581395705,0
-17.754758,70,3178.127091,False,False,1,17.497330723068114,2
-34.704607,50,3261.124229,False,False,1,20.329397105518332,4
-21.02751,62,3365.679917,False,False,1,17.972264746416965,8
-21.032491,28,3417.429902,False,False,1,22.43790709591191,1
-34.58959,25,3467.457898,False,False,1,25.000000000000004,20
-18.407433,46,3551.530752,False,False,1,23.458084855943408,10
-18.142823,49,3639.970716,False,False,0,25.0,0
-18.974128,43,3716.808485,False,False,1,21.029718262362614,5
-20.361881,36,3785.514876,False,False,0,21.67749465540851,0
-20.736048,54,3882.20858,False,False,2,22.86289013680419,15
-16.781072,80,4014.721242,False,False,2,25.0,0
-44.697791,42,4091.943956,False,False,1,20.478781359508794,3
-62.922586,109,4266.509725,False,False,1,23.666603059575657,0
