#{"t_start": 1788835062.3467436, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-19.402777,39,61.345886,False,False,0,19.12511423394344,0
-20.922012,37,131.689524,False,False,1,20.23147208929779,19
-20.92063,30,187.738858,False,False,1,24.999999999999996,7
-18.572911,60,287.037183,False,False,1,24.53607233059568,10
-29.254844,13,320.373974,False,False,1,12.094319592418152,14
-29.014401,14,352.118262,False,False,1,21.51856010151368,4
-21.315514,21,398.00383,False,False,1,17.77247537240187,16
-19.62017,49,487.152412,False,False,1,18.142279560728102,0
-21.300692,33,549.325957,False,False,1,24.21272235626247,18
-38.384274,28,604.867199,False,False,1,9.958497450038234,6
-20.456429,51,694.866038,False,False,0,25.0,0
-20.291028,42,771.218611,False,False,1,23.0690677141107,8
-67.114623,37,840.272783,False,False,1,15.551145453088736,17
-28.136791,65,952.406259,False,False,1,16.825550876874967,15
-19.843263,21,1000.482518,False,False,1,5.670371261436497,0
-21.109907,38,1083.665907,False,False,1,23.887766002883332,11
-31.506863,32,1159.481077,False,False,1,15.0938792266165,18
-37.633186,22,1218.09477,False,False,1,12.407692615141105,19
-19.779376,38,1306.889942,False,False,0,23.754088438608992,0
-17.902749,70,1458.563994,False,False,2,13.415655852109825,15
-20.250774,31,1531.856749,False,False,0,18.57524012649527,0
-19.909227,33,1609.734354,False,False,0,25.0,0
-17.61868,48,1717.899589,False,False,0,25.0,0
-20.927594,27,1776.876494,False,False,0,25.0,0
-19.583788,34,1828.453263,False,False,1,15.284833152362447,17
-18.673514,57,1932.058357,False,False,2,25.0,20
-19.0765,48,2024.289275,False,False,1,25.0,0
-42.041986,41,2101.609947,False,False,1,7.140665110526306,11
-37.176075,25,2154.843175,False,False,1,10.142861429988917,12
-19.940278,39,2238.430042,False,False,1,19.33451338266507,14
-20.348779,28,2300.348421,False,False,0,25.000000000000004,0
-20.882527,28,2357.011869,False,False,0,18.845710979656126,0
-21.138098,55,2452.216389,False,False,1,25.000000000000004,20
-27.970881,54,2549.366002,False,False,1,19.451776034262082,16
-33.60985,20,2588.972082,False,False,1,8.611195988274284,1
-20.564781,29,2643.616828,False,False,0,17.341809475978007,0
-18.442834,39,2715.422498,False,False,0,19.2098531799113,0
-21.030087,23,2764.657267,False,False,0,21.66159388362178,0
