#{"t_start": 1788885179.515463, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-21.423879,39,49.970239,False,False,0,19.12511423394344,0
-22.844599,37,100.582221,False,False,1,20.23147208929779,19
-22.548329,30,141.996482,False,False,1,24.999999999999996,7
-21.882685,60,215.424222,False,False,1,24.53607233059568,10
-29.863565,13,238.913156,False,False,1,12.094319592418152,14
-29.609921,14,262.897089,False,False,1,21.51856010151368,4
-22.581979,21,295.417747,False,False,1,17.77247537240187,16
-21.84908,49,359.939866,False,False,1,18.142279560728102,0
-22.983353,33,406.842931,False,False,1,24.21272235626247,18
-39.641765,28,446.051398,False,False,1,9.958497450038234,6
-22.471476,51,512.416903,False,False,0,25.0,0
-22.579697,42,567.999359,False,False,1,23.0690677141107,8
-68.840183,37,618.211445,False,False,1,15.551145453088736,17
-30.957817,65,699.464651,False,False,1,16.825550876874967,15
-20.446131,21,733.308487,False,False,1,5.670371261436497,0
-23.056844,38,784.015697,False,False,1,23.887766002883332,11
-32.848345,32,829.450409,False,False,1,15.0938792266165,18
-38.485715,22,863.495879,False,False,1,12.407692615141105,19
-21.543423,38,915.634907,False,False,0,23.754088438608992,0
-20.572707,70,1004.808336,False,False,2,13.415655852109825,15
-21.881582,31,1047.890995,False,False,0,18.57524012649527,0
-21.391822,33,1093.021937,False,False,0,25.0,0
-20.203042,48,1157.008739,False,False,0,25.0,0
-22.154885,27,1197.777539,False,False,0,25.0,0
-21.496357,34,1247.011465,False,False,1,15.284833152362447,17
-21.997754,57,1321.329146,False,False,2,25.0,20
-21.473605,48,1384.103388,False,False,1,25.0,0
-43.483507,41,1439.699825,False,False,1,7.140665110526306,11
-38.256293,25,1476.72711,False,False,1,10.142861429988917,12
-22.085612,39,1529.374769,False,False,1,19.33451338266507,14
-21.763666,28,1570.226422,False,False,0,25.000000000000004,0
-22.176766,28,1611.190875,False,False,0,18.845710979656126,0
-23.447971,55,1682.466764,False,False,1,25.000000000000004,20
-29.704208,54,1753.750701,False,False,1,19.451776034262082,16
-34.509353,20,1784.428446,False,False,1,8.611195988274284,1
-21.854915,29,1826.689758,False,False,0,17.341809475978007,0
-20.290728,39,1879.843608,False,False,0,19.2098531799113,0
-22.366624,23,1916.0854,False,False,0,21.66159388362178,0
-20.5398,54,1984.27145,False,False,1,25.0,17
-21.801484,33,2030.917413,False,False,0,21.954395628776588,0
-22.998159,29,2071.982362,False,False,1,16.759470125945224,9
-21.092537,41,2125.427835,False,False,1,24.999999999999996,15
-21.335753,69,2211.419744,False,False,1,25.0,0
-26.031159,45,2270.393403,False,False,1,22.66373188308366,10
-45.839186,34,2317.05909,False,False,1,25.000000000000004,17
-22.074344,28,2356.70173,False,False,1,24.00015407899104,9
-43.03788,54,2424.869771,False,False,1,24.999999999999996,17
-41.473603,28,2464.317855,False,False,1,22.616149040408892,2
-22.328249,37,2515.165652,False,False,0,18.22380738073115,0
-22.892259,35,2563.967038,False,False,0,20.31259115180141,0
-21.882048,17,2592.710631,False,False,0,23.638882518661422,0
-21.846485,50,2658.328642,False,False,0,24.13046812242474,0
-39.891818,25,2696.564688,False,False,1,11.598150969571332,20
-32.551979,20,2729.115064,False,False,1,14.72839944604751,17
