#{"t_start": 1788975434.2268262, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-20.400407,47,51.412911,False,False,0,24.999999999999996,0
-22.182156,32,83.808099,False,False,1,25.0,6
-41.906086,27,110.258489,False,False,1,25.0,19
-22.091016,37,147.277756,False,False,1,24.999999999999996,12
-40.86953,31,176.983808,False,False,1,17.67626502492261,1
-45.141872,28,203.802669,False,False,1,7.015963883553042,1
-61.894341,36,238.512439,False,False,1,11.580289924868522,20
-46.123076,41,277.415328,False,False,1,16.80022082487311,16
-21.464327,35,311.340432,False,False,1,17.67249137288832,16
-21.888759,36,345.517763,False,False,1,24.999999999999996,8
-22.275837,54,397.654976,False,False,1,17.921774319088563,15
-21.203046,26,422.853299,False,False,0,25.000000000000004,0
-41.98388,61,482.122351,False,False,1,17.536305118299325,20
-36.065347,42,523.849635,False,False,1,10.569913874566694,19
-21.180189,49,570.240003,False,False,1,24.999999999999996,16
-22.039177,42,612.333286,False,False,0,17.50220459754384,0
-21.77703,21,632.756296,False,False,0,18.815121406533695,0
-37.913854,63,692.499716,False,False,1,14.845134231626398,3
-52.100716,47,739.56327,False,False,0,17.180964244603246,0
-22.308981,36,773.252277,False,False,1,25.0,7
-42.08264,74,843.551984,False,False,1,23.612655823979896,2
-37.883378,26,867.258871,False,False,1,24.999999999999996,17
-21.627351,61,924.851731,False,False,1,24.999999999999996,5
-31.163483,16,939.338859,False,False,1,12.997282434564756,7
-22.821639,33,971.284566,False,False,0,18.86176554985235,0
-22.050644,24,994.982944,False,False,0,24.963182501315046,0
-21.693134,47,1041.619982,False,False,2,24.999999999999996,16
-41.565527,26,1066.840631,False,False,1,14.371610784225076,6
-22.008254,25,1091.069386,False,False,1,15.050923567374685,11
-30.437828,16,1105.950099,False,False,1,12.857272425835074,8
-22.605528,32,1136.52625,False,False,1,18.87805184549652,6
-54.142416,74,1206.457193,False,False,1,25.000000000000004,0
-43.639602,42,1245.287249,False,False,1,24.999999999999996,10
-22.070594,74,1319.103601,False,False,0,24.468430882417348,0
-21.11408,31,1349.818464,False,False,0,25.000000000000004,0
-22.184211,35,1383.970461,False,False,0,16.19348658099237,0
-22.235891,49,1433.083447,False,False,0,22.035348839540653,0
-20.407982,77,1508.172808,False,False,1,25.0,0
-19.335313,67,1572.087069,False,False,1,18.003433318540782,0
-22.379465,38,1607.862494,False,False,1,25.0,4
-21.308258,39,1645.687756,False,False,0,25.0,0
-23.332926,33,1677.935711,False,False,1,25.0,19
-31.41005,66,1741.996938,False,False,1,15.305255730080706,10
-44.465877,32,1771.838149,False,False,1,20.20754962471521,13
-19.066872,112,1882.595012,False,False,1,25.000000000000004,0
-21.049013,26,1907.809238,False,False,0,19.047078817862683,0
-47.559908,70,1979.763895,False,False,1,20.332578103186368,18
-22.696341,49,2032.824051,False,False,1,24.31580219603659,5
-23.041363,30,2067.55497,False,False,0,23.71837412180475,0
-20.93144,89,2166.997433,False,False,1,24.999999999999996,0
-33.980728,20,2189.275716,False,False,1,25.0,19
-29.172276,33,2224.608858,False,False,1,25.0,9
-18.4908,106,2337.152117,False,False,1,25.0,3
-37.903074,20,2358.03076,False,False,1,14.597377104034198,3
-41.907519,26,2386.257905,False,False,1,24.999999999999996,9
-22.317457,36,2427.106084,False,False,1,24.999999999999996,2
-23.297648,29,2459.796438,False,False,1,17.933331610060808,20
-22.846545,93,2567.726109,False,False,2,24.999999999999996,3
-45.135069,27,2597.030759,False,False,1,7.073024498405188,15
-54.154292,150,2772.210001,False,True,0,2.9169188886767023,0
-33.76329,105,2892.137681,False,False,1,19.7846724405244,3
-22.271556,32,2928.224376,False,False,0,25.000000000000004,0
-22.510848,27,2957.549989,False,False,1,14.7391838959726,11
-21.017932,52,3016.104349,False,False,1,25.0,0
-23.091064,38,3057.940679,False,False,1,24.999999999999996,7
-18.934185,84,3150.397645,False,False,1,25.0,0
-22.285143,23,3175.178243,False,False,1,25.0,5
-30.861134,16,3193.154229,False,False,1,8.506356363167452,11
-20.061276,74,3278.517143,False,False,1,16.99882966762499,0
-21.832681,35,3318.137605,False,False,1,25.0,19
-55.057185,50,3370.95223,False,False,1,19.633051469957383,1
-22.714819,23,3396.890263,False,False,0,25.0,0
-20.125032,64,3466.54354,False,False,1,25.0,0
-22.527144,35,3504.599298,False,False,1,16.103936615949603,16
-21.680847,52,3564.465208,False,False,1,25.000000000000004,12
-47.85182,77,3649.439845,False,False,2,10.878427691344061,6
-38.940449,26,3676.778281,False,False,1,10.30374353138431,3
-19.793981,73,3759.930329,False,False,0,25.000000000000004,0
-21.199979,73,3844.850913,False,False,1,7.53712411604837,0
-32.614513,59,3910.786358,False,False,1,15.822097124336564,4
-21.613569,23,3937.347566,False,False,1,24.999999999999996,0
-21.913744,36,3979.293983,False,False,0,25.0,0
-21.077511,68,4058.928505,False,False,0,14.717867233472118,0
-20.871623,47,4113.338057,False,False,0,25.000000000000004,0
-21.963978,49,4168.167387,False,False,1,15.151371260953898,9
-21.965095,47,4222.982718,False,False,0,16.31796806794311,0
-19.489531,132,4373.4699,False,False,1,22.305309797117005,0
-125.102382,150,4536.238164,False,False,1,11.870316213557667,20
-30.7935,15,4552.399925,False,False,1,13.049896598421558,18
-21.174999,30,4585.16829,False,False,1,25.0,3
-23.105889,61,4655.048006,False,False,1,25.0,18
-21.476845,34,4694.375205,False,False,1,25.000000000000004,0
-51.131142,34,4730.289536,False,False,1,12.222602368579075,2
-102.635437,59,4795.699106,False,False,1,16.221202049133815,4
-44.584083,49,4849.381593,False,False,1,11.599269701216103,16
-23.487545,78,4939.135952,False,False,2,25.0,14
-35.99577,44,4986.787049,False,False,1,25.0,3
-21.324753,34,5026.411819,False,False,0,14.623477988156681,0
-32.902893,25,5054.679767,False,False,1,15.597233547347532,14
-42.197175,52,5111.854382,False,False,1,25.000000000000004,10
-21.353111,41,5157.33324,False,False,1,14.81110070875019,6
-21.058183,50,5214.302186,False,False,0,25.000000000000004,0
-39.941711,141,5372.826863,False,False,2,11.310927690711921,3
-21.422199,34,5412.834798,False,False,1,6.687784903785018,0
-21.86832,38,5455.297081,False,False,1,18.37806491197635,13
-34.414719,17,5473.538335,False,False,1,11.57032355920881,11
-22.796398,25,5500.819589,False,False,1,15.446673145195088,11
-38.552815,24,5526.230612,False,False,1,24.999999999999996,15
1.704667,150,5698.233398,False,False,1,13.038799417245134,0
-22.806705,116,5830.671806,False,False,5,11.533316726949145,7
-33.47057,53,5890.068133,False,False,1,14.777233241567536,5
-37.982604,45,5938.420157,False,False,1,20.549407651470545,2
-20.601988,56,6002.322898,False,False,1,22.978781028321105,16
-21.583734,40,6048.753056,False,False,1,15.416551787217443,0
-21.88046,35,6088.834711,False,False,0,25.000000000000004,0
-22.089656,15,6105.416959,False,False,0,24.999999999999996,0
-18.486849,113,6234.879685,False,False,1,23.677745674305495,0
-27.10899,27,6266.799719,False,False,1,7.326361518389461,11
-21.070275,64,6340.868039,False,False,0,25.0,0
-36.764954,23,6365.464418,False,False,1,12.252967304582677,5
-32.309261,16,6382.259166,False,False,1,25.0,5
-21.547104,27,6412.795094,False,False,0,22.062467547335736,0
-73.598077,150,6588.163621,False,True,0,6.1570567398865865,0
-51.17502,150,6765.079591,False,True,1,3.0741929233898833,0
-200.453608,106,6890.669866,False,True,1,25.0,0
-21.998352,65,6964.74632,False,False,1,25.0,17
-37.196251,28,6995.006508,False,False,1,25.0,6
-33.66073,20,7016.743489,False,False,1,21.275873485348193,18
-34.184019,22,7041.56864,False,False,0,24.999999999999996,0
-22.396906,26,7070.529609,False,False,1,15.462497627593672,13
-21.144015,56,7134.792107,False,False,0,24.999999999999996,0
-21.1207,34,7173.762445,False,False,0,24.999999999999996,0
-21.323939,33,7211.443836,False,False,0,25.0,0
-21.773137,52,7268.877052,False,False,1,19.591662916404758,0
-22.592432,29,7301.614685,False,False,1,20.7568761605167,12
-245.552222,124,7447.122276,False,True,2,13.379324602050325,0
-37.675347,35,7484.794924,False,False,1,24.999999999999996,9
-31.189277,15,7501.158454,False,False,1,25.0,18
-20.649308,30,7536.198334,False,False,1,19.14914607731824,0
-25.271991,49,7592.470109,False,False,1,12.355753594342149,10
-40.817488,150,7768.796991,False,True,1,2.5,0
-75.953905,150,7946.3254,False,True,0,2.5,0
-68.876343,150,8123.603346,False,True,0,2.4999999999999996,0
-21.846851,90,8225.842697,False,False,1,17.09405383324124,0
-21.662732,32,8262.993428,False,False,0,25.0,0
-22.189917,30,8295.327858,False,False,1,25.000000000000004,5
-49.328435,150,8472.901131,False,True,0,2.5,0
-32.503682,56,8535.506512,False,False,1,25.0,7
-20.791811,60,8604.977966,False,False,3,11.93737535052481,0
-21.480516,120,8744.624578,False,False,1,24.999999999999996,11
-21.870211,34,8782.01547,False,False,1,14.643092870383644,15
-21.138486,55,8844.9705,False,False,0,25.0,0
-22.121656,52,8905.782369,False,False,1,20.449819676003127,0
3.509934,150,9080.797718,False,False,1,3.5612827286323574,0
-43.415682,150,9256.984832,False,True,0,2.5,0
-19.03777,101,9370.09179,False,False,1,15.398191565098701,0
-29.955467,42,9416.906624,False,False,1,14.586410149259853,13
-35.05059,43,9465.190509,False,False,1,25.0,19
-22.118171,43,9514.125032,False,False,0,24.999999999999996,0
-21.050428,67,9591.694921,False,False,0,25.0,0
-22.178843,36,9633.359656,False,False,0,21.71003840410485,0
-22.015594,27,9663.242095,False,False,1,24.999999999999996,3
-20.544128,69,9742.59897,False,False,0,16.17551376925902,0
-22.39881,25,9770.967853,False,False,1,25.0,16
-22.435104,24,9797.392859,False,False,1,25.0,18
-35.366709,45,9847.361469,False,False,1,10.67322484115295,19
-34.438251,24,9872.871338,False,False,1,25.0,8
