#{"t_start": 1786681442.674876, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
4.840043,10,3.212854,True,True,True,False,False,0,0.0,False
-32.255914,570,6.099162,False,False,True,False,False,0,0.0,False
4.814223,13,6.173656,True,True,True,False,False,0,0.0,False
-32.121611,602,9.745025,False,False,True,False,False,0,0.0,False
4.743128,17,9.87802,True,True,True,False,False,0,0.0,False
4.971938,7,9.936625,True,True,True,False,False,0,0.0,False
4.949679,11,10.004041,True,True,True,False,False,0,0.0,False
-35.640174,817,14.226138,False,False,True,False,False,0,0.0,False
-36.439611,778,19.094046,False,False,True,False,False,0,0.0,False
-32.262635,677,22.530257,False,False,True,False,False,0,0.0,False
-35.003358,737,26.631824,False,False,True,False,False,0,0.0,False
4.88366,16,26.719872,True,True,True,False,False,0,0.0,False
4.794338,11,26.785793,True,True,True,False,False,0,0.0,False
-35.761579,759,31.202059,False,False,True,False,False,0,0.0,False
-30.448708,511,37.603053,False,False,True,False,False,0,0.0,False
4.81037,10,37.75807,True,True,True,False,False,0,0.0,False
4.829376,10,37.885358,True,True,True,False,False,0,0.0,False
4.717675,12,38.033183,True,True,True,False,False,0,0.0,False
4.582943,14,38.208845,True,True,True,False,False,0,0.0,False
4.775929,12,38.350615,True,True,True,False,False,0,0.0,False
4.610116,13,38.53535,True,True,True,False,False,0,0.0,False
4.777303,10,38.649641,True,True,True,False,False,0,0.0,False
4.844815,7,38.748047,True,True,True,False,False,0,0.0,False
4.890778,9,38.871015,True,True,True,False,False,0,0.0,False
4.615023,11,38.997891,True,True,True,False,False,0,0.0,False
4.777986,8,39.110344,True,True,True,False,False,0,0.0,False
4.707841,10,39.276915,True,True,True,False,False,0,0.0,False
4.808226,6,39.337303,True,True,True,False,False,0,0.0,False
4.499882,12,39.48535,True,True,True,False,False,0,0.0,False
4.850395,7,39.567288,True,True,True,False,False,0,0.0,False
4.522987,12,39.698569,True,True,True,False,False,0,0.0,False
4.65717,10,39.846503,True,True,True,False,False,0,0.0,False
4.656113,10,39.96452,True,True,True,False,False,0,0.0,False
-33.046143,568,46.394732,False,False,True,False,False,0,0.005,False
-31.668397,566,52.88613,False,False,True,True,False,0,0.005,False
4.505317,10,53.002477,True,True,True,False,False,0,0.005,False
-26.079759,340,56.746858,False,False,True,False,False,0,0.005,False
-28.207865,419,61.616474,False,False,True,False,False,0,0.005,False
4.517477,13,61.787242,True,True,True,False,False,0,0.005,False
3.710701,69,62.533909,True,True,True,False,False,0,0.005,False
3.761564,63,63.247566,True,True,True,False,False,0,0.005,False
3.894006,66,64.052915,True,True,True,False,False,0,0.005,False
-32.080542,519,70.00174,False,False,True,True,False,0,0.005,False
4.598604,14,70.176021,True,True,True,False,False,0,0.005,False
4.595652,13,70.317426,True,True,True,False,False,0,0.005,False
4.546533,13,70.476065,True,True,True,False,False,0,0.005,False
4.386512,17,70.686419,True,True,True,False,False,0,0.005,False
4.598785,12,70.835158,True,True,True,False,False,0,0.005,False
4.715715,11,70.942381,True,True,True,False,False,0,0.005,False
4.678991,15,71.108774,True,True,True,False,False,0,0.005,False
4.611357,11,71.225897,True,True,True,False,False,0,0.005,False
3.775959,34,71.576443,True,True,True,False,False,0,0.005,False
4.819023,17,71.790251,True,True,True,False,False,0,0.005,False
4.871808,16,71.973568,True,True,True,False,False,0,0.005,False
4.746543,13,72.114023,True,True,True,False,False,0,0.005,False
4.620304,14,72.277037,True,True,True,False,False,0,0.005,False
4.705513,9,72.423481,True,True,True,False,False,0,0.005,False
4.509283,14,72.571419,True,True,True,False,False,0,0.005,False
