#{"t_start": 1786712135.0988903, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-24.905847,358,4.883669,False,False,True,True,False,False,False,False,0,1.0,True
-22.341835,278,6.205281,False,False,True,True,False,False,False,False,0,1.0,True
-23.949887,402,8.123639,False,False,True,True,False,False,False,False,0,1.0,True
-26.740488,415,10.120638,False,False,True,True,False,False,False,False,0,1.0,True
-25.566237,322,11.767659,False,False,True,True,False,False,False,False,0,1.0,True
-27.140846,421,14.032755,False,False,True,True,False,False,False,False,0,1.0,True
-26.378357,468,17.11304,False,False,True,False,False,False,True,False,0,1.0,True
-25.082688,424,19.24699,False,False,True,False,False,False,True,False,0,1.0,True
-23.897406,334,20.976803,False,False,True,True,False,False,False,False,0,1.0,True
-28.864109,533,24.293631,False,False,True,True,False,False,False,False,0,1.0,True
-24.137073,416,26.353799,False,False,True,True,False,False,False,False,0,1.0,True
-23.18869,350,28.067472,False,False,True,True,False,False,False,False,0,1.0,True
-28.649676,483,32.351902,False,False,True,True,False,False,False,False,0,1.0,True
-24.710152,360,36.441026,False,False,True,True,False,False,False,False,0,1.0,True
-22.605066,318,40.185009,False,False,True,True,False,False,False,False,0,1.0,True
-31.776796,640,47.602966,False,False,True,True,False,False,False,False,0,1.0,True
-32.423473,1210,62.097011,False,False,True,True,False,False,False,False,0,1.0,True
-27.802147,786,70.749233,False,False,True,True,False,False,False,False,0,1.0,True
-36.231601,1388,86.70982,False,False,True,True,False,False,False,False,0,1.0,True
-30.008342,539,92.810833,False,False,True,True,False,False,False,False,0,1.0,True
-30.15924,610,99.619717,False,False,True,False,False,False,True,False,0,1.0,True
-20.816241,292,103.080751,False,False,True,False,False,False,True,False,0,1.0,True
-24.373699,342,107.450342,False,False,True,False,False,False,True,False,0,1.0,True
-23.962463,314,110.99328,False,False,True,True,False,False,False,False,0,1.0,True
-23.251132,274,114.110703,False,False,True,False,False,False,True,False,0,1.0,True
-24.415238,334,118.00124,False,False,True,False,False,False,True,False,0,1.0,True
-24.549568,320,121.559921,False,False,True,True,False,False,False,False,0,1.0,True
