#{"t_start": 1786717769.7303164, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-24.905847,358,5.073164,False,False,True,True,False,False,False,False,0,1.0,True
-22.341835,278,6.5736,False,False,True,True,False,False,False,False,0,1.0,True
-23.949887,402,9.098766,False,False,True,True,False,False,False,False,0,1.0,True
-26.740488,415,11.733943,False,False,True,True,False,False,False,False,0,1.0,True
-25.566237,322,13.455437,False,False,True,True,False,False,False,False,0,1.0,True
-27.140846,421,15.684703,False,False,True,True,False,False,False,False,0,1.0,True
-26.378357,468,18.562957,False,False,True,False,False,False,True,False,0,1.0,True
-25.082688,424,20.892548,False,False,True,False,False,False,True,False,0,1.0,True
-23.897406,334,22.664974,False,False,True,True,False,False,False,False,0,1.0,True
-28.864109,533,25.614746,False,False,True,True,False,False,False,False,0,1.0,True
-24.137073,416,27.724823,False,False,True,True,False,False,False,False,0,1.0,True
-23.18869,350,29.51196,False,False,True,True,False,False,False,False,0,1.0,True
-28.683734,484,33.837849,False,False,True,True,False,False,False,False,0,1.0,True
-22.492917,260,36.949835,False,False,True,True,False,False,False,False,0,1.0,True
-24.532661,393,41.615377,False,False,True,True,False,False,False,False,0,1.0,True
-29.688799,757,50.543276,False,False,True,True,False,False,False,False,0,1.0,True
-26.554622,431,56.107133,False,False,True,True,False,False,False,False,0,1.0,True
-24.452066,379,60.967394,False,False,True,True,False,False,False,False,0,1.0,True
-23.082835,224,63.870165,False,False,True,True,False,False,False,False,0,1.0,True
-26.470604,443,69.508708,False,False,True,True,False,False,False,False,0,1.0,True
-22.931201,391,74.43251,False,False,True,False,True,False,False,False,0,1.0,True
-25.33904,429,79.665396,False,False,True,True,False,False,False,False,0,1.0,True
-25.658757,360,83.848468,False,False,True,False,True,False,False,False,0,1.0,True
-33.315112,977,95.580274,False,False,True,False,False,False,True,False,0,1.0,True
-30.494986,598,102.588524,False,False,True,True,False,False,False,False,0,1.0,True
-24.844472,394,107.233912,False,False,True,False,False,False,True,False,0,1.0,True
-27.432743,444,112.731289,False,False,True,True,False,False,False,False,0,1.0,True
-28.650765,429,118.173631,False,False,True,False,False,False,True,False,0,1.0,True
-29.569463,585,125.374483,False,False,True,True,False,False,False,False,0,1.0,True
-28.048069,531,131.644844,False,False,True,False,False,False,True,False,0,1.0,True
-27.982175,886,142.309718,False,False,True,False,False,False,True,False,0,1.0,True
-28.490308,502,148.160427,False,False,True,False,False,False,True,False,0,1.0,True
-25.924052,441,153.37659,False,False,True,True,False,False,False,False,0,1.0,True
-33.314741,676,161.174304,False,False,True,False,False,False,True,False,0,1.0,True
-24.618545,334,165.199368,False,False,True,True,False,False,False,False,0,1.0,True
-30.036223,1086,178.064779,False,False,True,False,False,False,True,False,0,1.0,True
-22.473642,324,182.035091,False,False,True,False,False,False,True,False,0,1.0,True
-22.846306,425,187.905256,False,False,True,True,False,False,False,False,0,1.0,True
-28.734142,536,194.280463,False,False,True,True,False,False,False,False,0,1.0,True
-22.950048,333,199.126626,False,False,True,True,False,False,False,False,0,1.0,True
-31.110087,619,207.630314,False,False,True,False,False,False,True,False,0,1.0,True
-24.85587,318,211.895561,False,False,True,True,False,False,False,False,0,1.0,True
-23.762908,269,215.611058,False,False,True,True,False,False,False,False,0,1.0,True
-21.076339,212,218.458443,False,False,True,True,False,False,False,False,0,1.0,True
-24.35905,418,224.214061,False,False,True,True,False,False,False,False,0,1.0,True
-23.884978,389,228.820025,False,False,True,True,False,False,False,False,0,1.0,True
-20.582739,223,231.633186,False,False,True,True,False,False,False,False,0,1.0,True
-21.770986,230,234.539511,False,False,True,True,False,False,False,False,0,1.0,True
-27.340214,778,243.958089,False,False,True,False,False,False,True,False,0,1.0,True
-27.509358,556,252.513229,False,False,True,True,False,False,False,False,0,1.0,True
-22.615019,453,258.60856,False,False,True,False,False,False,True,False,0,1.0,True
-26.925768,641,266.716035,False,False,True,False,False,False,True,False,0,1.0,True
-22.174601,487,272.921931,False,False,True,False,False,False,True,False,0,1.0,True
-29.620488,1080,290.265457,False,False,True,False,False,False,True,False,0,1.0,True
-23.681464,483,296.583252,False,False,True,False,False,False,True,False,0,1.0,True
-28.330595,668,304.908386,False,False,True,False,False,False,True,False,0,1.0,True
-26.132775,466,310.714557,False,False,True,False,False,False,True,False,0,1.0,True
-24.543695,429,315.954629,False,False,True,False,False,False,True,False,0,1.0,True
-24.275228,489,321.944852,False,False,True,False,False,False,True,False,0,1.0,True
-23.837676,992,337.746162,False,False,True,False,False,False,True,False,0,1.0,True
-30.941054,1123,350.708704,False,False,True,False,False,False,True,False,0,1.0,True
-26.911172,790,359.966441,False,False,True,False,False,False,True,False,0,1.0,True
-24.30582,755,369.250311,False,False,True,False,False,False,True,False,0,1.0,True
-32.164341,1257,384.256422,False,False,True,True,False,False,False,False,0,1.0,True
-27.783076,688,393.712462,False,False,True,False,False,False,True,False,0,1.0,True
-22.523504,554,400.721338,False,False,True,False,False,False,True,False,0,1.0,True
-26.132157,684,409.918093,False,False,True,False,False,False,True,False,0,1.0,True
-24.015209,558,416.990164,False,False,True,False,False,False,True,False,0,1.0,True
-25.993243,656,425.270325,False,False,True,True,False,False,False,False,0,1.0,True
-23.827374,371,429.883354,False,False,True,True,False,False,False,False,0,1.0,True
-25.444557,441,435.162549,False,False,True,True,False,False,False,False,0,1.0,True
-25.898396,363,439.648195,False,False,True,False,False,False,True,False,0,1.0,True
-23.511917,303,443.373464,False,False,True,False,False,False,True,False,0,1.0,True
-21.404108,241,446.326396,False,False,True,False,False,False,True,False,0,1.0,True
-24.514844,442,451.486331,False,False,True,False,False,False,True,False,0,1.0,True
-24.995454,316,455.089486,False,False,True,False,False,False,True,False,0,1.0,True
-23.347474,336,458.831116,False,False,True,False,False,False,True,False,0,1.0,True
-22.747484,230,461.419031,False,False,True,False,False,False,True,False,0,1.0,True
-23.979959,435,466.245988,False,False,True,False,False,False,True,False,0,1.0,True
-22.737427,462,471.615338,False,False,True,False,False,False,True,False,0,1.0,True
-23.541848,472,476.971864,False,False,True,True,False,False,False,False,0,1.0,True
-24.622312,308,480.500469,False,False,True,True,False,False,False,False,0,1.0,True
-23.889378,368,485.014058,False,False,True,False,False,False,True,False,0,1.0,True
-21.863093,345,489.370643,False,False,True,False,False,False,True,False,0,1.0,True
-25.401053,620,497.186,False,False,True,False,False,False,True,False,0,1.0,True
-25.294539,328,501.40618,False,False,True,False,False,False,True,False,0,1.0,True
-26.035004,356,505.779845,False,False,True,True,False,False,False,False,0,1.0,True
-22.2362,634,513.601785,False,False,True,False,False,False,True,False,0,1.0,True
-25.596684,344,517.8007,False,False,True,False,False,False,True,False,0,1.0,True
-23.195081,405,522.762158,False,False,True,False,False,False,True,False,0,1.0,True
-22.0188,163,524.76614,False,False,True,True,False,False,False,False,0,1.0,True
-26.086062,424,530.026798,False,False,True,False,False,False,True,False,0,1.0,True
-27.489453,846,540.503843,False,False,True,False,False,False,True,False,0,1.0,True
-20.430672,173,542.638403,False,False,True,True,False,False,False,False,0,1.0,True
-21.540084,161,544.687942,False,False,True,True,False,False,False,False,0,1.0,True
-24.060284,263,547.847703,False,False,True,False,False,False,True,False,0,1.0,True
-25.008302,489,553.951152,False,False,True,True,False,False,False,False,0,1.0,True
-24.82637,385,559.076682,False,False,True,True,False,False,False,False,0,1.0,True
-24.248505,383,563.903263,False,False,True,False,False,False,True,False,0,1.0,True
-22.401173,277,567.373629,False,False,True,True,False,False,False,False,0,1.0,True
-21.80275,202,569.84376,False,False,True,True,False,False,False,False,0,1.0,True
-24.047708,327,573.967701,False,False,True,False,False,False,True,False,0,1.0,True
-24.109034,429,579.277693,False,False,True,True,False,False,False,False,0,1.0,True
-21.32861,194,581.70445,False,False,True,True,False,False,False,False,0,1.0,True
-23.645284,315,585.562489,False,False,True,True,False,False,False,False,0,1.0,True
-26.622172,554,592.577812,False,False,True,False,False,False,True,False,0,1.0,True
-25.553359,527,630.303125,False,False,True,True,False,False,False,False,0,1.0,True
-25.946773,466,636.405609,False,False,True,True,False,False,False,False,0,1.0,True
-21.896032,309,640.1985,False,False,True,True,False,False,False,False,0,1.0,True
-28.666179,438,645.545683,False,False,True,True,False,False,False,False,0,1.0,True
-22.086464,279,649.729743,False,False,True,True,False,False,False,False,0,1.0,True
-28.217138,405,654.911257,False,False,True,True,False,False,False,False,0,1.0,True
-20.718725,160,656.873435,False,False,True,True,False,False,False,False,0,1.0,True
-22.00228,196,659.528605,False,False,True,True,False,False,False,False,0,1.0,True
-25.612286,356,664.064682,False,False,True,True,False,False,False,False,0,1.0,True
-23.323473,322,667.978083,False,False,True,True,False,False,False,False,0,1.0,True
-24.734045,243,670.957034,False,False,True,True,False,False,False,False,0,1.0,True
-21.971925,242,673.980912,False,False,True,False,False,False,True,False,0,1.0,True
-24.075312,505,680.425284,False,False,True,False,False,False,True,False,0,1.0,True
-23.324627,311,685.018212,False,False,True,True,False,False,False,False,0,1.0,True
-23.248624,269,688.375339,False,False,True,False,False,False,True,False,0,1.0,True
-25.663745,354,692.801008,False,False,True,True,False,False,False,False,0,1.0,True
-21.393781,474,698.72824,False,False,True,True,False,False,False,False,0,1.0,True
-26.055756,397,703.507673,False,False,True,False,False,False,True,False,0,1.0,True
-26.638324,321,707.471951,False,False,True,True,False,False,False,False,0,1.0,True
-27.271107,470,713.340047,False,False,True,True,False,False,False,False,0,1.0,True
-23.71659,426,718.535517,False,False,True,True,False,False,False,False,0,1.0,True
-32.338163,708,727.266854,False,False,True,True,False,False,False,False,0,1.0,True
-21.535675,202,729.860629,False,False,True,True,False,False,False,False,0,1.0,True
-20.97243,204,732.417341,False,False,True,True,False,False,False,False,0,1.0,True
-22.895598,791,742.381417,False,False,True,False,False,False,True,False,0,1.0,True
-27.687495,402,747.27827,False,False,True,False,False,False,True,False,0,1.0,True
-23.453585,239,750.229712,False,False,True,True,False,False,False,False,0,1.0,True
-26.264493,658,758.4793,False,False,True,True,False,False,False,False,0,1.0,True
-26.99958,674,766.55905,False,False,True,False,False,False,True,False,0,1.0,True
-27.728225,678,775.051764,False,False,True,True,False,False,False,False,0,1.0,True
-21.591576,223,777.809406,False,False,True,True,False,False,False,False,0,1.0,True
-27.276534,768,787.227343,False,False,True,False,False,False,True,False,0,1.0,True
-26.711276,399,792.087476,False,False,True,False,False,False,True,False,0,1.0,True
-23.856881,452,797.736704,False,False,True,False,True,False,False,False,0,1.0,True
-22.957992,313,801.552216,False,False,True,True,False,False,False,False,0,1.0,True
-37.638396,1130,816.259579,False,False,True,False,False,False,True,False,0,1.0,True
-37.731246,1187,830.630122,False,False,True,True,False,False,False,False,0,1.0,True
-22.266693,263,833.92661,False,False,True,True,False,False,False,False,0,1.0,True
-26.144806,695,842.310016,False,False,True,True,False,False,False,False,0,1.0,True
-22.241445,408,847.407914,False,False,True,False,True,False,False,False,0,1.0,True
-24.735056,256,850.609121,False,False,True,True,False,False,False,False,0,1.0,True
-23.77871,262,853.855269,False,False,True,True,False,False,False,False,0,1.0,True
-23.407723,232,856.766869,False,False,True,True,False,False,False,False,0,1.0,True
-24.419113,268,860.185014,False,False,True,True,False,False,False,False,0,1.0,True
-24.456656,329,864.29488,False,False,True,True,False,False,False,False,0,1.0,True
-23.911932,236,867.402383,False,False,True,True,False,False,False,False,0,1.0,True
-20.744215,197,869.948233,False,False,True,True,False,False,False,False,0,1.0,True
-21.997627,194,872.297581,False,False,True,True,False,False,False,False,0,1.0,True
-27.218226,378,878.193421,False,False,True,True,False,False,False,False,0,1.0,True
-23.491096,232,881.232054,False,False,True,True,False,False,False,False,0,1.0,True
-20.623456,147,883.099246,False,False,True,True,False,False,False,False,0,1.0,True
-22.436787,351,887.378788,False,False,True,True,False,False,False,False,0,1.0,True
-30.446307,468,893.678468,False,False,True,True,False,False,False,False,0,1.0,True
-24.2273,435,899.181051,False,False,True,False,False,False,True,False,0,1.0,True
-21.001677,171,901.290124,False,False,True,True,False,False,False,False,0,1.0,True
-21.504198,261,904.484549,False,False,True,False,True,False,False,False,0,1.0,True
-20.635969,182,906.745973,False,False,True,True,False,False,False,False,0,1.0,True
-21.650509,246,909.741865,False,False,True,True,False,False,False,False,0,1.0,True
-20.145437,176,911.989881,False,False,True,True,False,False,False,False,0,1.0,True
-31.479471,561,918.810899,False,False,True,True,False,False,False,False,0,1.0,True
-25.200972,322,922.803102,False,False,True,False,False,False,True,False,0,1.0,True
-21.459613,231,925.636952,False,False,True,True,False,False,False,False,0,1.0,True
-20.869364,138,927.294289,False,False,True,True,False,False,False,False,0,1.0,True
-20.417512,132,928.922228,False,False,True,True,False,False,False,False,0,1.0,True
-24.407071,294,932.588255,False,False,True,True,False,False,False,False,0,1.0,True
-22.849972,248,935.577515,False,False,True,True,False,False,False,False,0,1.0,True
-23.889168,254,938.703454,False,False,True,False,False,False,True,False,0,1.0,True
-22.206301,220,944.212527,False,False,True,False,False,False,True,False,0,1.0,True
-22.540683,262,947.454681,False,False,True,False,False,False,True,False,0,1.0,True
-23.180936,271,950.983883,False,False,True,False,False,False,True,False,0,1.0,True
-20.89592,215,953.740331,False,False,True,True,False,False,False,False,0,1.0,True
-24.434514,379,958.871712,False,False,True,False,False,False,True,False,0,1.0,True
-22.01363,210,961.445143,False,False,True,True,False,False,False,False,0,1.0,True
-23.357264,320,965.574584,False,False,True,False,False,False,True,False,0,1.0,True
-24.37823,291,969.576915,False,False,True,False,False,False,True,False,0,1.0,True
-23.520314,249,972.752258,False,False,True,True,False,False,False,False,0,1.0,True
-23.876648,278,976.14525,False,False,True,False,False,False,True,False,0,1.0,True
-29.929522,704,984.813037,False,False,True,False,False,False,True,False,0,1.0,True
-23.195976,300,988.49651,False,False,True,False,False,False,True,False,0,1.0,True
-24.906908,414,993.642372,False,False,True,True,False,False,False,False,0,1.0,True
-22.926684,227,996.451569,False,False,True,False,False,False,True,False,0,1.0,True
-33.377515,738,1005.566849,False,False,True,True,False,False,False,False,0,1.0,True
-22.984761,280,1008.992102,False,False,True,False,False,False,True,False,0,1.0,True
-24.976082,324,1012.961923,False,False,True,False,False,False,True,False,0,1.0,True
-22.718742,250,1015.989962,False,False,True,False,False,False,True,False,0,1.0,True
-32.446175,831,1026.272294,False,False,True,True,False,False,False,False,0,1.0,True
-24.5543,254,1029.301939,False,False,True,True,False,False,False,False,0,1.0,True
-25.879049,348,1033.506595,False,False,True,True,False,False,False,False,0,1.0,True
-39.815615,1123,1047.433139,False,False,True,True,False,False,False,False,0,1.0,True
-23.523103,400,1052.432508,False,False,True,True,False,False,False,False,0,1.0,True
-26.856342,434,1057.834304,False,False,True,True,False,False,False,False,0,1.0,True
-26.266926,531,1064.499392,False,False,True,True,False,False,False,False,0,1.0,True
-31.224403,536,1071.179152,False,False,True,False,False,False,True,False,0,1.0,True
-34.745185,926,1082.523374,False,False,True,False,False,False,True,False,0,1.0,True
-25.668931,345,1086.765857,False,False,True,False,False,False,True,False,0,1.0,True
