#{"t_start": 1786722833.2505815, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-24.905847,358,5.406512,False,False,True,True,False,False,False,False,0,1.0,True
-22.341835,278,6.909876,False,False,True,True,False,False,False,False,0,1.0,True
-23.949887,402,9.07487,False,False,True,True,False,False,False,False,0,1.0,True
-26.740488,415,11.313654,False,False,True,True,False,False,False,False,0,1.0,True
-25.566237,322,13.100242,False,False,True,True,False,False,False,False,0,1.0,True
-27.140846,421,15.368808,False,False,True,True,False,False,False,False,0,1.0,True
-26.378357,468,17.964776,False,False,True,False,False,False,True,False,0,1.0,True
-25.082688,424,20.289759,False,False,True,False,False,False,True,False,0,1.0,True
-23.897406,334,22.098086,False,False,True,True,False,False,False,False,0,1.0,True
-28.864109,533,24.993523,False,False,True,True,False,False,False,False,0,1.0,True
-24.137073,416,27.265094,False,False,True,True,False,False,False,False,0,1.0,True
-23.18869,350,29.159096,False,False,True,True,False,False,False,False,0,1.0,True
-28.683537,484,33.949022,False,False,True,True,False,False,False,False,0,1.0,True
-22.528086,263,37.281356,False,False,True,True,False,False,False,False,0,1.0,True
-24.096921,361,41.781352,False,False,True,True,False,False,False,False,0,1.0,True
-31.31788,743,51.092336,False,False,True,True,False,False,False,False,0,1.0,True
-31.88586,945,63.047905,False,False,True,False,False,False,True,False,0,1.0,True
-41.97919,1590,83.125801,False,False,True,True,False,False,False,False,0,1.0,True
-28.527143,761,93.40607,False,False,True,False,False,False,True,False,0,1.0,True
-26.881036,418,98.858413,False,False,True,True,False,False,False,False,0,1.0,True
-27.604826,474,104.937049,False,False,True,False,True,False,False,False,0,1.0,True
-32.205769,724,114.057327,False,False,True,True,False,False,False,False,0,1.0,True
-34.535593,997,126.647575,False,False,True,True,False,False,False,False,0,1.0,True
-26.230778,482,132.698742,False,False,True,False,False,False,True,False,0,1.0,True
-26.296983,412,137.873513,False,False,True,False,False,False,True,False,0,1.0,True
-27.669619,490,144.05581,False,False,True,False,False,False,True,False,0,1.0,True
-32.642094,981,156.290427,False,False,True,True,False,False,False,False,0,1.0,True
-26.354978,477,162.375715,False,False,True,True,False,False,False,False,0,1.0,True
-46.309309,1497,181.802245,False,False,True,False,False,False,True,False,0,1.0,True
-37.530787,937,193.755555,False,False,True,True,False,False,False,False,0,1.0,True
-27.651011,499,200.084056,False,False,True,False,True,False,False,False,0,1.0,True
-33.200871,817,210.420146,False,False,True,True,False,False,False,False,0,1.0,True
-27.779585,834,220.922056,False,False,True,False,False,False,True,False,0,1.0,True
-31.229678,988,233.50174,False,False,True,False,False,False,True,False,0,1.0,True
-35.57517,929,245.530252,False,False,True,True,False,False,False,False,0,1.0,True
-22.881619,360,250.108513,False,False,True,True,False,False,False,False,0,1.0,True
-21.402551,279,253.738605,False,False,True,True,False,False,False,False,0,1.0,True
-27.801243,652,262.025188,False,False,True,False,False,False,True,False,0,1.0,True
-23.475117,374,266.732977,False,False,True,False,False,False,True,False,0,1.0,True
-40.737421,1593,289.747046,False,False,True,True,False,False,False,False,0,1.0,True
-32.273515,753,299.254976,False,False,True,False,False,False,True,False,0,1.0,True
-28.82964,881,310.901378,False,False,True,True,False,False,False,False,0,1.0,True
-28.820903,572,318.250082,False,False,True,True,False,False,False,False,0,1.0,True
-36.258,1069,332.038209,False,False,True,False,False,False,True,False,0,1.0,True
-33.644085,849,342.84642,False,False,True,False,False,False,True,False,0,1.0,True
-26.40161,748,352.468679,False,False,True,False,False,False,True,False,0,1.0,True
-28.52764,786,362.529639,False,False,True,False,False,False,True,False,0,1.0,True
-23.64039,415,367.889954,False,False,True,False,False,False,True,False,0,1.0,True
-24.216157,509,374.398458,False,False,True,False,False,False,True,False,0,1.0,True
-24.215458,406,379.746173,False,False,True,True,False,False,False,False,0,1.0,True
-21.984107,381,384.658721,False,False,True,False,False,False,True,False,0,1.0,True
-31.129168,517,391.336777,False,False,True,False,False,False,True,False,0,1.0,True
-22.568987,388,396.367634,False,False,True,False,False,False,True,False,0,1.0,True
-24.5295,382,401.197224,False,False,True,False,False,False,True,False,0,1.0,True
-24.430698,532,407.946083,False,False,True,False,False,False,True,False,0,1.0,True
-28.702374,495,414.295747,False,False,True,True,False,False,False,False,0,1.0,True
-25.267403,366,419.046033,False,False,True,False,False,False,True,False,0,1.0,True
-24.223755,467,424.962647,False,False,True,False,False,False,True,False,0,1.0,True
-37.340321,1140,439.395906,False,False,True,True,False,False,False,False,0,1.0,True
-29.714451,585,446.897294,False,False,True,True,False,False,False,False,0,1.0,True
-28.950602,627,455.53747,False,False,True,False,False,False,True,False,0,1.0,True
-26.685778,571,462.973231,False,False,True,True,False,False,False,False,0,1.0,True
-24.885122,471,468.973733,False,False,True,False,False,False,True,False,0,1.0,True
-26.796065,552,476.071397,False,False,True,False,False,False,True,False,0,1.0,True
-26.555452,824,486.628985,False,False,True,False,False,False,True,False,0,1.0,True
-23.261992,317,490.740306,False,False,True,False,False,False,True,False,0,1.0,True
-25.439755,438,496.253929,False,False,True,True,False,False,False,False,0,1.0,True
-22.738352,265,499.562237,False,False,True,True,False,False,False,False,0,1.0,True
-21.474983,320,503.609927,False,False,True,True,False,False,False,False,0,1.0,True
-21.633463,233,506.574496,False,False,True,True,False,False,False,False,0,1.0,True
-29.180336,636,514.820524,False,False,True,True,False,False,False,False,0,1.0,True
