#{"t_start": 1786694807.956395, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-23.742574,382,5.059291,False,False,True,False,False,False,True,False,0,1.0,True
-22.357793,285,6.416302,False,False,True,True,False,False,False,False,0,1.0,True
-24.160012,421,9.196445,False,False,True,True,False,False,False,False,0,1.0,True
-24.77577,403,11.835565,False,False,True,True,False,False,False,False,0,1.0,True
-24.237446,303,13.61475,False,False,True,True,False,False,False,False,0,1.0,True
-25.999695,431,16.442594,False,False,True,True,False,False,False,False,0,1.0,True
-26.000498,488,19.697487,False,False,True,False,False,False,True,False,0,1.0,True
-24.677495,482,22.572634,False,False,True,False,False,False,True,False,0,1.0,True
-22.672304,316,24.467299,False,False,True,True,False,False,False,False,0,1.0,True
-27.234967,566,27.537008,False,False,True,False,False,False,True,False,0,1.0,True
-22.896531,352,29.610798,False,False,True,True,False,False,False,False,0,1.0,True
-24.929454,501,32.401736,False,False,True,True,False,False,False,False,0,1.0,True
-24.428778,371,37.535407,False,False,True,True,False,False,False,False,0,1.0,True
-22.012927,261,40.819337,False,False,True,True,False,False,False,False,0,1.0,True
-22.657126,288,44.266256,False,False,True,False,False,False,True,False,0,1.0,True
-27.002131,396,49.428455,False,False,True,True,False,False,False,False,0,1.0,True
-22.898333,277,52.918679,False,False,True,True,False,False,False,False,0,1.0,True
-24.000163,421,58.224306,False,False,True,True,False,False,False,False,0,1.0,True
-24.096714,429,63.580863,False,False,True,False,False,False,True,False,0,1.0,True
-24.108038,307,67.201682,False,False,True,True,False,False,False,False,0,1.0,True
-43.936359,1868,92.570757,False,False,True,True,False,False,False,False,0,1.0,True
-23.317959,371,97.302332,False,False,True,True,False,False,False,False,0,1.0,True
-21.563563,278,100.79208,False,False,True,False,True,False,False,False,0,1.0,True
-25.323967,783,109.608731,False,False,True,False,False,False,True,False,0,1.0,True
-21.424197,217,111.996604,False,False,True,True,False,False,False,False,0,1.0,True
-30.291037,586,118.472904,False,False,True,True,False,False,False,False,0,1.0,True
-27.040263,445,123.404993,False,False,True,False,False,False,True,False,0,1.0,True
-32.229086,609,130.173389,False,False,True,False,False,False,True,False,0,1.0,True
-27.914653,387,134.520502,False,False,True,True,False,False,False,False,0,1.0,True
-28.521613,521,140.381188,False,False,True,True,False,False,False,False,0,1.0,True
-24.333977,352,144.464456,False,False,True,False,False,False,True,False,0,1.0,True
-22.037706,178,146.52084,False,False,True,True,False,False,False,False,0,1.0,True
-22.2269,330,150.432375,False,False,True,True,False,False,False,False,0,1.0,True
-24.148574,315,153.883473,False,False,True,True,False,False,False,False,0,1.0,True
-24.307469,283,157.166286,False,False,True,True,False,False,False,False,0,1.0,True
