#{"t_start": 1786705703.9099445, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-30.697954,382,5.010873,False,False,True,False,False,False,True,False,0,1.0,True
-26.598964,285,6.366343,False,False,True,True,False,False,False,False,0,1.0,True
-31.02737,421,8.3795,False,False,True,True,False,False,False,False,0,1.0,True
-31.773808,403,10.319344,False,False,True,True,False,False,False,False,0,1.0,True
-28.943268,303,11.75496,False,False,True,True,False,False,False,False,0,1.0,True
-32.844888,431,13.857152,False,False,True,True,False,False,False,False,0,1.0,True
-33.209735,488,16.16361,False,False,True,False,False,False,True,False,0,1.0,True
-34.128743,482,18.437007,False,False,True,False,False,False,True,False,0,1.0,True
-28.261789,316,19.945256,False,False,True,True,False,False,False,False,0,1.0,True
-37.45418,566,22.600877,False,False,True,False,False,False,True,False,0,1.0,True
-29.209775,352,24.27902,False,False,True,True,False,False,False,False,0,1.0,True
-34.064384,501,26.641799,False,False,True,True,False,False,False,False,0,1.0,True
-29.807645,370,30.946815,False,False,True,True,False,False,False,False,0,1.0,True
-26.965644,280,34.346298,False,False,True,True,False,False,False,False,0,1.0,True
-28.21956,312,39.095183,False,False,True,False,False,False,True,False,0,1.0,True
-39.972459,778,49.377693,False,False,True,True,False,False,False,False,0,1.0,True
-28.281924,298,53.047292,False,False,True,True,False,False,False,False,0,1.0,True
-39.217345,611,60.739268,False,False,True,True,False,False,False,False,0,1.0,True
-25.575971,251,63.653913,False,False,True,True,False,False,False,False,0,1.0,True
-28.348921,308,67.214238,False,False,True,False,True,False,False,False,0,1.0,True
-22.430936,195,69.401733,False,False,True,False,True,False,False,False,0,1.0,True
-26.987237,300,72.709891,False,False,True,True,False,False,False,False,0,1.0,True
-39.011817,608,79.475049,False,False,True,True,False,False,False,False,0,1.0,True
-28.992043,392,83.846829,False,False,True,True,False,False,False,False,0,1.0,True
-28.970272,295,86.994766,False,False,True,True,False,False,False,False,0,1.0,True
-24.961029,206,89.280784,False,False,True,True,False,False,False,False,0,1.0,True
-31.468521,400,93.58334,False,False,True,True,False,False,False,False,0,1.0,True
-32.738445,378,97.890536,False,False,True,True,False,False,False,False,0,1.0,True
-24.227404,336,101.516454,False,False,True,False,True,False,False,False,0,1.0,True
-38.065605,553,108.147552,False,False,True,True,False,False,False,False,0,1.0,True
-43.378329,794,117.186543,False,False,True,True,False,False,False,False,0,1.0,True
-33.578487,466,122.471792,False,False,True,True,False,False,False,False,0,1.0,True
-34.79717,606,129.107435,False,False,True,True,False,False,False,False,0,1.0,True
-37.047931,551,135.159719,False,False,True,True,False,False,False,False,0,1.0,True
-27.068519,260,138.30913,False,False,True,True,False,False,False,False,0,1.0,True
-27.953943,406,142.846209,False,False,True,True,False,False,False,False,0,1.0,True
-30.770979,408,147.376791,False,False,True,True,False,False,False,False,0,1.0,True
-27.269925,299,150.800183,False,False,True,True,False,False,False,False,0,1.0,True
-28.335849,318,154.280464,False,False,True,True,False,False,False,False,0,1.0,True
-60.713161,1042,165.818382,False,False,True,False,False,False,True,False,0,1.0,True
-26.134199,311,169.639678,False,False,True,True,False,False,False,False,0,1.0,True
-33.909976,423,175.330413,False,False,True,False,False,False,True,False,0,1.0,True
-38.642039,662,182.764984,False,False,True,False,False,False,True,False,0,1.0,True
-29.354982,350,186.672026,False,False,True,True,False,False,False,False,0,1.0,True
-26.371665,246,189.522019,False,False,True,True,False,False,False,False,0,1.0,True
-27.549111,293,192.769383,False,False,True,True,False,False,False,False,0,1.0,True
-25.760544,225,195.20533,False,False,True,True,False,False,False,False,0,1.0,True
-24.863065,204,197.601078,False,False,True,True,False,False,False,False,0,1.0,True
-23.27736,184,199.533126,False,False,True,True,False,False,False,False,0,1.0,True
-25.994059,257,202.47396,False,False,True,True,False,False,False,False,0,1.0,True
-27.735776,276,205.435759,False,False,True,False,False,False,True,False,0,1.0,True
-31.257426,335,209.171171,False,False,True,False,False,False,True,False,0,1.0,True
-27.778387,290,212.380207,False,False,True,True,False,False,False,False,0,1.0,True
-43.903101,684,222.873667,False,False,True,False,False,False,True,False,0,1.0,True
-36.377299,522,232.813038,False,False,True,True,False,False,False,False,0,1.0,True
-52.781978,1034,245.830387,False,False,True,False,False,False,True,False,0,1.0,True
-34.016162,679,253.572706,False,False,True,False,True,False,False,False,0,1.0,True
-33.960104,396,258.302092,False,False,True,False,False,False,True,False,0,1.0,True
-37.48215,608,265.121559,False,False,True,False,False,False,True,False,0,1.0,True
-49.714796,886,277.804862,False,False,True,True,False,False,False,False,0,1.0,True
-26.69904,253,280.789609,False,False,True,True,False,False,False,False,0,1.0,True
-42.311764,761,292.712099,False,False,True,False,False,False,True,False,0,1.0,True
-26.173459,246,295.700233,False,False,True,True,False,False,False,False,0,1.0,True
-31.863723,395,300.213096,False,False,True,True,False,False,False,False,0,1.0,True
-29.070739,328,304.179758,False,False,True,True,False,False,False,False,0,1.0,True
-25.642651,260,307.413093,False,False,True,True,False,False,False,False,0,1.0,True
-24.395946,450,312.421526,False,False,True,False,True,False,False,False,0,1.0,True
-20.037229,256,315.139264,False,False,True,False,True,False,False,False,0,1.0,True
-33.973575,471,320.538044,False,False,True,True,False,False,False,False,0,1.0,True
-24.498765,233,323.15361,False,False,True,True,False,False,False,False,0,1.0,True
-27.13375,311,326.638499,False,False,True,True,False,False,False,False,0,1.0,True
-42.260249,651,335.241061,False,False,True,True,False,False,False,False,0,1.0,True
-26.870728,314,340.061355,False,False,True,True,False,False,False,False,0,1.0,True
-28.148601,308,343.847085,False,False,True,True,False,False,False,False,0,1.0,True
-39.03318,570,350.637934,False,False,True,False,False,False,True,False,0,1.0,True
-30.60613,414,355.858889,False,False,True,True,False,False,False,False,0,1.0,True
-26.48405,248,358.816917,False,False,True,True,False,False,False,False,0,1.0,True
-26.43387,284,363.154285,False,False,True,True,False,False,False,False,0,1.0,True
-24.384052,195,365.337822,False,False,True,True,False,False,False,False,0,1.0,True
-31.292815,446,371.026652,False,False,True,True,False,False,False,False,0,1.0,True
-46.617717,801,380.015626,False,False,True,True,False,False,False,False,0,1.0,True
-24.816426,250,382.844929,False,False,True,True,False,False,False,False,0,1.0,True
-22.217644,140,384.510336,False,False,True,True,False,False,False,False,0,1.0,True
