#{"t_start": 1786688949.8842344, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-23.742574,382,5.653083,False,False,True,False,False,False,True,False,0,1.0,True
-22.357793,285,7.447985,False,False,True,True,False,False,False,False,0,1.0,True
-24.160012,421,9.696079,False,False,True,True,False,False,False,False,0,1.0,True
-24.77577,403,11.856577,False,False,True,True,False,False,False,False,0,1.0,True
-24.237446,303,13.455255,False,False,True,True,False,False,False,False,0,1.0,True
-25.999695,431,15.771124,False,False,True,True,False,False,False,False,0,1.0,True
-26.000498,488,18.35099,False,False,True,False,False,False,True,False,0,1.0,True
-24.677495,482,20.990208,False,False,True,False,False,False,True,False,0,1.0,True
-22.672304,316,22.725773,False,False,True,True,False,False,False,False,0,1.0,True
-27.234967,566,25.776179,False,False,True,False,False,False,True,False,0,1.0,True
-22.896531,352,27.659983,False,False,True,True,False,False,False,False,0,1.0,True
-24.929454,501,30.296162,False,False,True,True,False,False,False,False,0,1.0,True
-24.42882,371,34.635079,False,False,True,True,False,False,False,False,0,1.0,True
-22.000905,261,37.805096,False,False,True,True,False,False,False,False,0,1.0,True
-22.695507,290,41.341435,False,False,True,False,False,False,True,False,0,1.0,True
-25.136631,346,45.414218,False,False,True,True,False,False,False,False,0,1.0,True
-24.622478,313,49.029958,False,False,True,True,False,False,False,False,0,1.0,True
-22.499814,434,54.305348,False,False,True,True,False,False,False,False,0,1.0,True
-23.846766,323,58.216862,False,False,True,True,False,False,False,False,0,1.0,True
-31.799994,767,67.396407,False,False,True,False,False,False,True,False,0,1.0,True
-27.356545,488,73.166606,False,False,True,True,False,False,False,False,0,1.0,True
-23.01792,449,78.342459,False,False,True,True,False,False,False,False,0,1.0,True
-26.232299,533,84.523828,False,False,True,True,False,False,False,False,0,1.0,True
-27.273473,579,91.686824,False,False,True,True,False,False,False,False,0,1.0,True
-22.199053,202,94.095263,False,False,True,True,False,False,False,False,0,1.0,True
-20.164797,151,95.992233,False,False,True,True,False,False,False,False,0,1.0,True
-48.382072,1481,115.053046,False,False,True,False,True,False,False,False,0,1.0,True
-30.06845,721,124.913572,False,False,True,False,False,False,True,False,0,1.0,True
-22.222875,251,128.703391,False,False,True,True,False,False,False,False,0,1.0,True
-24.371421,383,134.349841,False,False,True,True,False,False,False,False,0,1.0,True
-21.399904,267,138.059503,False,False,True,True,False,False,False,False,0,1.0,True
-25.27834,352,142.373286,False,False,True,True,False,False,False,False,0,1.0,True
-21.073345,318,146.316273,False,False,True,True,False,False,False,False,0,1.0,True
-23.263085,389,150.947875,False,False,True,True,False,False,False,False,0,1.0,True
-24.222946,278,154.362749,False,False,True,True,False,False,False,False,0,1.0,True
-24.847161,481,160.221805,False,False,True,False,False,False,True,False,0,1.0,True
-22.382503,325,164.105077,False,False,True,True,False,False,False,False,0,1.0,True
-22.426945,290,167.689351,False,False,True,True,False,False,False,False,0,1.0,True
-22.659231,277,170.968172,False,False,True,True,False,False,False,False,0,1.0,True
-27.904068,666,179.330702,False,False,True,True,False,False,False,False,0,1.0,True
-22.273334,273,182.610337,False,False,True,True,False,False,False,False,0,1.0,True
-22.221151,259,185.772536,False,False,True,True,False,False,False,False,0,1.0,True
-23.882055,432,190.867133,False,False,True,False,False,False,True,False,0,1.0,True
-23.374598,345,194.981119,False,False,True,True,False,False,False,False,0,1.0,True
-22.752271,237,197.839273,False,False,True,True,False,False,False,False,0,1.0,True
-22.979276,230,200.614233,False,False,True,True,False,False,False,False,0,1.0,True
-22.081292,241,203.494112,False,False,True,True,False,False,False,False,0,1.0,True
-24.014619,342,207.512482,False,False,True,False,False,False,True,False,0,1.0,True
-21.963473,256,210.533157,False,False,True,True,False,False,False,False,0,1.0,True
-31.467501,651,218.369424,False,False,True,False,False,False,True,False,0,1.0,True
-26.81719,448,223.694757,False,False,True,True,False,False,False,False,0,1.0,True
-26.728434,468,229.069475,False,False,True,True,False,False,False,False,0,1.0,True
-22.860939,352,233.280307,False,False,True,True,False,False,False,False,0,1.0,True
-25.625392,351,237.450522,False,False,True,True,False,False,False,False,0,1.0,True
-26.682109,526,243.804122,False,False,True,True,False,False,False,False,0,1.0,True
-28.157265,514,249.91874,False,False,True,False,False,False,True,False,0,1.0,True
-30.413413,680,258.189595,False,False,True,True,False,False,False,False,0,1.0,True
-28.981866,545,265.056587,False,False,True,True,False,False,False,False,0,1.0,True
-24.626783,381,269.636876,False,False,True,False,False,False,True,False,0,1.0,True
-23.821059,361,274.269911,False,False,True,False,False,False,True,False,0,1.0,True
-24.33179,343,281.69881,False,False,True,True,False,False,False,False,0,1.0,True
-26.343945,406,286.825432,False,False,True,False,False,False,True,False,0,1.0,True
-22.727774,314,291.031527,False,False,True,False,False,False,True,False,0,1.0,True
-23.157132,268,294.485415,False,False,True,True,False,False,False,False,0,1.0,True
-25.069209,415,299.561383,False,False,True,False,False,False,True,False,0,1.0,True
-25.548827,681,307.994545,False,False,True,True,False,False,False,False,0,1.0,True
-30.175961,630,315.887247,False,False,True,True,False,False,False,False,0,1.0,True
-33.124907,675,324.580796,False,False,True,False,False,False,True,False,0,1.0,True
-24.39898,399,329.56483,False,False,True,True,False,False,False,False,0,1.0,True
-21.902288,283,333.08113,False,False,True,True,False,False,False,False,0,1.0,True
-27.124286,550,339.951238,False,False,True,True,False,False,False,False,0,1.0,True
-25.511779,501,346.365798,False,False,True,True,False,False,False,False,0,1.0,True
-21.207645,238,349.672987,False,False,True,True,False,False,False,False,0,1.0,True
-23.759129,303,353.747847,False,False,True,False,False,False,True,False,0,1.0,True
-25.173702,278,357.155038,False,False,True,True,False,False,False,False,0,1.0,True
-22.078005,236,360.321182,False,False,True,True,False,False,False,False,0,1.0,True
-21.826897,180,362.558481,False,False,True,True,False,False,False,False,0,1.0,True
-21.981954,250,365.699367,False,False,True,True,False,False,False,False,0,1.0,True
-23.766383,263,369.224319,False,False,True,False,False,False,True,False,0,1.0,True
-28.060293,552,376.104227,False,False,True,True,False,False,False,False,0,1.0,True
-21.493218,171,378.14381,False,False,True,True,False,False,False,False,0,1.0,True
-23.448606,236,381.068822,False,False,True,True,False,False,False,False,0,1.0,True
-25.631973,630,390.29603,False,False,True,False,False,False,True,False,0,1.0,True
-25.662521,517,397.412711,False,False,True,True,False,False,False,False,0,1.0,True
-30.67433,777,408.098639,False,False,True,True,False,False,False,False,0,1.0,True
-23.758729,305,412.27456,False,False,True,True,False,False,False,False,0,1.0,True
-32.63019,791,422.454423,False,False,True,False,False,False,True,False,0,1.0,True
-21.591782,199,424.954309,False,False,True,True,False,False,False,False,0,1.0,True
-24.03569,342,429.005454,False,False,True,False,False,False,True,False,0,1.0,True
-25.137107,342,432.888891,False,False,True,True,False,False,False,False,0,1.0,True
-22.434924,289,436.327096,False,False,True,True,False,False,False,False,0,1.0,True
-24.401956,432,441.541305,False,False,True,True,False,False,False,False,0,1.0,True
-29.178087,974,452.79119,False,False,True,False,False,False,True,False,0,1.0,True
-27.619012,599,459.667511,False,False,True,False,False,False,True,False,0,1.0,True
-25.254058,382,463.995005,False,False,True,False,False,False,True,False,0,1.0,True
-23.985068,590,471.163016,False,False,True,True,False,False,False,False,0,1.0,True
-31.263009,626,478.914313,False,False,True,False,False,False,True,False,0,1.0,True
-30.538428,603,485.706573,False,False,True,False,False,False,True,False,0,1.0,True
-22.686489,397,490.378856,False,False,True,True,False,False,False,False,0,1.0,True
