#{"t_start": 1786621830.1048653, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase
-42.261765,477,5.719566,False,False,True,False,False,0
-31.854097,218,6.892181,False,False,True,False,False,0
-32.026624,239,7.991779,False,False,True,False,False,0
-30.000828,158,8.72158,False,False,True,False,False,0
-36.562574,255,9.898564,False,False,True,False,False,0
-37.64094,168,10.678982,False,False,True,False,False,0
-32.686525,145,11.406134,False,False,True,False,False,0
-44.925793,410,13.291997,False,False,True,False,False,0
-34.524907,160,14.043207,False,False,True,False,False,0
-37.268462,204,14.984796,False,False,True,False,False,0
-35.56434,205,15.925933,False,False,True,False,False,0
-32.507008,214,16.90709,False,False,True,False,False,0
-29.759146,118,17.46348,False,False,True,False,False,0
-42.287481,364,19.143949,False,False,True,False,False,0
-34.471568,127,19.735654,False,False,True,False,False,0
-45.288899,228,20.855562,False,False,True,False,False,0
-46.915613,272,22.111741,False,False,True,False,False,0
-42.489709,214,23.10813,False,False,True,False,False,0
-34.327551,216,24.10034,False,False,True,False,False,0
-28.812534,204,25.031121,False,False,True,False,False,0
-42.167453,227,26.102166,False,False,True,False,False,0
-32.718085,144,26.777871,False,False,True,False,False,0
-35.980511,141,28.514526,False,False,True,False,False,0
-72.922812,254,31.147246,False,False,True,False,False,0
-39.543087,136,32.511607,False,False,True,False,False,0
-23.882094,95,33.537301,False,False,True,False,False,0
-28.719366,75,34.364346,False,False,True,False,False,0
-58.989281,211,36.625818,False,False,True,False,False,0
-49.097701,130,38.173421,False,False,True,False,False,0
-54.636369,68,38.911062,False,False,True,False,False,0
-84.144159,219,41.176417,False,False,True,False,False,0
-35.310161,111,42.317972,False,False,True,False,False,0
-24.477733,375,46.275671,False,False,True,False,False,0
-42.406543,119,47.591412,False,False,True,False,False,0
-70.517026,1020,58.3832,False,False,True,False,False,0
-95.321478,711,65.861016,False,False,True,True,False,0
-63.294821,502,71.253949,False,False,True,False,False,0
-52.468228,353,74.862404,False,False,True,False,False,0
-19.740885,117,76.07925,False,False,True,False,False,0
-72.95195,708,83.525281,False,False,True,False,False,0
-45.499576,255,86.389922,False,False,True,False,False,0
-31.048671,258,89.089201,False,False,True,False,False,0
-26.558795,141,90.563424,False,False,True,False,False,0
-23.195865,387,94.846191,False,False,True,False,False,0
-35.930173,613,101.405412,False,False,True,False,False,0
-24.594143,106,102.545402,False,False,True,False,False,0
-107.592542,981,112.978208,False,False,True,True,False,0
-47.131178,314,116.515518,False,False,True,False,False,0
-60.600605,469,121.368628,False,False,True,False,False,0
-54.575177,340,124.885893,False,False,True,False,False,0
-18.692689,241,127.530442,False,False,True,False,False,0
-106.944406,750,135.393315,False,False,True,True,False,0
-21.657994,252,137.964945,False,False,True,False,False,0
-35.232968,291,141.083015,False,False,True,False,False,0
-23.932926,138,142.401454,False,False,True,False,False,0
-16.715327,443,147.147138,False,False,True,False,False,0
-86.23432,659,154.123911,False,False,True,True,False,0
-18.63076,173,156.030838,False,False,True,False,False,0
-86.365676,483,161.246591,False,False,True,True,False,0
-50.335058,384,165.591451,False,False,True,False,False,0
-83.744283,541,171.294716,False,False,True,True,False,0
-22.144726,144,172.773553,False,False,True,False,False,0
-32.691349,193,174.831295,False,False,True,False,False,0
-73.509098,618,181.288449,False,False,True,False,False,0
-26.300595,114,182.466954,False,False,True,False,False,0
-22.977805,230,184.827331,False,False,True,False,False,0
-23.827182,105,185.94254,False,False,True,False,False,0
-84.03737,469,191.044984,False,False,True,True,False,0
-19.933216,114,192.22836,False,False,True,False,False,0
-22.887942,52,192.822841,False,False,True,False,False,0
-21.435252,82,193.769665,False,False,True,False,False,0
-101.798676,528,199.91049,False,False,True,True,False,0
-22.256529,70,200.809403,False,False,True,False,False,0
-78.335281,573,206.658412,False,False,True,False,False,0
-28.670247,110,207.836112,False,False,True,False,False,0
-24.719008,215,209.913828,False,False,True,False,False,0
-32.96841,178,211.911345,False,False,True,False,False,0
-44.264227,318,215.368259,False,False,True,False,False,0
-52.207336,521,220.994742,False,False,True,False,False,0
-53.35808,409,225.223177,False,False,True,False,False,0
-114.037237,932,235.276859,False,False,True,False,False,0
-78.226366,454,239.942859,False,False,True,False,False,0
-106.120081,659,247.190614,False,False,True,True,False,0
-46.366298,259,249.834981,False,False,True,False,False,0
-27.131536,187,251.852555,False,False,True,False,False,0
-43.089856,339,255.275728,False,False,True,False,False,0
-37.581758,781,263.612566,False,False,True,False,False,0
-29.349934,240,266.089412,False,False,True,False,False,0
-24.795829,122,267.322749,False,False,True,False,False,0
-61.749917,700,274.643366,False,False,True,False,False,0
-31.175285,373,278.64147,False,False,True,False,False,0
-19.813672,218,280.849489,False,False,True,False,False,0
-75.299097,1479,296.270971,False,False,True,False,False,0
-32.660004,335,299.686094,False,False,True,False,False,0
-43.598607,219,301.933289,False,False,True,False,False,0
-54.302165,288,304.956712,False,False,True,False,False,0
-43.129787,411,309.265065,False,False,True,False,False,0
-22.072918,115,310.496325,False,False,True,False,False,0
-49.051409,683,317.758261,False,False,True,False,False,0
-32.728156,842,326.66725,False,False,True,False,False,0
-30.723666,286,329.598549,False,False,True,False,False,0
-137.132822,802,338.188781,False,False,True,False,False,0
-35.558576,710,345.57062,False,False,True,False,False,0
-18.921007,69,346.348487,False,False,True,False,False,0
-101.418502,759,354.291669,False,False,True,True,False,0
-34.72624,757,361.915783,False,False,True,False,False,0
-115.27997,947,371.849655,False,False,True,True,False,0
-19.057634,165,373.465863,False,False,True,False,False,0
-46.255028,330,377.444319,False,False,True,False,False,0
-27.74405,121,378.747821,False,False,True,False,False,0
-70.782644,700,386.142899,False,False,True,False,False,0
-94.115516,475,391.1118,False,False,True,True,False,0
-23.391368,434,395.705971,False,False,True,False,False,0
-18.74398,155,397.474621,False,False,True,False,False,0
-33.856755,123,398.769884,False,False,True,False,False,0
-104.488077,647,405.511796,False,False,True,True,False,0
-103.862072,947,415.980627,False,False,True,True,False,0
-78.761038,543,421.77251,False,False,True,True,False,0
-64.279416,324,425.381107,False,False,True,False,False,0
-92.221861,713,432.851961,False,False,True,True,False,0
-54.624188,680,440.106729,False,False,True,False,False,0
-34.590319,338,443.626057,False,False,True,False,False,0
-102.990659,820,452.307976,False,False,True,False,False,0
-28.07272,209,454.379057,False,False,True,False,False,0
-38.750157,350,458.331366,False,False,True,False,False,0
-88.124768,443,463.039704,False,False,True,True,False,0
-37.206629,644,469.700438,False,False,True,False,False,0
-81.442742,690,476.933632,False,False,True,False,False,0
-38.559948,446,481.624726,False,False,True,False,False,0
-17.360532,156,483.123847,False,False,True,False,False,0
-155.148611,1123,495.486864,False,False,True,False,False,0
-41.797148,178,497.343134,False,False,True,False,False,0
-17.41493,383,501.520004,False,False,True,False,False,0
-36.101006,503,543.178581,False,False,True,False,False,0
-27.042834,626,550.07425,False,False,True,False,False,0
-25.68947,203,552.206158,False,False,True,False,False,0
-18.920891,274,555.086356,False,False,True,False,False,0
-27.123889,102,556.164676,False,False,True,False,False,0
-32.079643,356,559.97823,False,False,True,False,False,0
-31.65713,408,564.203509,False,False,True,False,False,0
-29.348863,162,565.982713,False,False,True,False,False,0
-19.283799,604,572.305285,False,False,True,False,False,0
-41.362011,324,575.784254,False,False,True,False,False,0
-78.738439,582,581.975266,False,False,True,False,False,0
-98.082181,606,588.119527,False,False,True,False,False,0
-61.900231,376,592.171943,False,False,True,False,False,0
-13.893265,2000,613.047936,False,False,True,False,True,0
-42.82554,238,615.559929,False,False,True,False,False,0
-25.995322,117,616.685714,False,False,True,False,False,0
-23.260596,160,618.409891,False,False,True,False,False,0
-18.617549,941,628.377615,False,False,True,False,False,0
