#{"t_start": 1786602476.118577, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase
-56.597265,477,6.368116,False,False,True,False,False,0
-37.691969,218,7.474059,False,False,True,False,False,0
-35.701174,239,8.685188,False,False,True,False,False,0
-32.59749,158,9.461188,False,False,True,False,False,0
-42.235258,255,10.72902,False,False,True,False,False,0
-45.55898,168,11.540276,False,False,True,False,False,0
-38.773303,145,12.243234,False,False,True,False,False,0
-59.244321,410,15.023539,False,False,True,False,False,0
-42.845013,160,15.837913,False,False,True,False,False,0
-47.568621,204,17.072,False,False,True,False,False,0
-40.856172,205,18.514908,False,False,True,False,False,0
-37.992254,214,20.002499,False,False,True,False,False,0
-31.7079,118,20.580334,False,False,True,False,False,0
-64.245057,364,22.329382,False,False,True,False,False,0
-39.559706,127,22.932779,False,False,True,False,False,0
-54.82944,228,24.015846,False,False,True,False,False,0
-66.234603,272,25.339612,False,False,True,False,False,0
-52.878354,214,26.377183,False,False,True,False,False,0
-41.214988,216,27.397963,False,False,True,False,False,0
-28.101173,204,28.404136,False,False,True,False,False,0
-54.00441,227,29.484481,False,False,True,False,False,0
-36.259946,144,30.162649,False,False,True,False,False,0
-34.833255,118,33.660419,False,False,True,False,False,0
-28.220468,268,41.344511,False,False,True,False,False,0
-26.633168,203,47.152347,False,False,True,False,False,0
-26.579889,180,52.847715,False,False,True,False,False,0
-33.581257,107,55.983283,False,False,True,False,False,0
-30.423475,516,71.709068,False,False,True,False,False,0
-27.308423,210,79.2304,False,False,True,False,False,0
-44.476729,189,85.105928,False,False,True,False,False,0
-33.84713,86,87.594043,False,False,True,False,False,0
-187.075074,687,108.549716,False,False,True,False,False,0
-44.922108,427,121.632216,False,False,True,False,False,0
-261.19893,1250,160.529681,False,False,True,False,False,0
-288.408677,1917,220.989908,False,False,True,True,False,0
-38.460222,358,232.173234,False,False,True,False,False,0
-184.917074,846,259.358179,False,False,True,False,False,0
-29.302865,123,265.040768,False,False,True,False,False,0
-52.397754,587,290.845892,False,False,True,False,False,0
-113.826725,1063,331.869891,False,False,True,False,False,0
-45.504213,228,339.958474,False,False,True,False,False,0
-49.936035,219,347.823291,False,False,True,False,False,0
-32.030513,130,352.433031,False,False,True,False,False,0
-26.356391,149,357.566182,False,False,True,False,False,0
-125.496611,645,381.124315,False,False,True,False,False,0
-162.932339,495,398.439152,False,False,True,False,False,0
-38.838597,524,417.071145,False,False,True,False,False,0
-44.121369,182,423.827804,False,False,True,False,False,0
-22.457644,115,428.111476,False,False,True,False,False,0
-81.569644,493,445.509795,False,False,True,False,False,0
-23.524493,138,450.193007,False,False,True,False,False,0
-88.878346,740,476.779918,False,False,True,False,False,0
-46.506874,255,485.829393,False,False,True,False,False,0
-75.739637,518,504.520964,False,False,True,False,False,0
-39.936573,462,520.990172,False,False,True,False,False,0
-26.106136,107,525.038507,False,False,True,False,False,0
-28.605801,143,530.299694,False,False,True,False,False,0
-24.26092,120,534.435214,False,False,True,False,False,0
-58.647071,265,543.664994,False,False,True,False,False,0
-23.494434,88,546.681967,False,False,True,False,False,0
-90.39646,534,565.617166,False,False,True,False,False,0
-42.941447,224,573.810438,False,False,True,False,False,0
-22.663406,71,576.385131,False,False,True,False,False,0
-33.028272,122,580.858371,False,False,True,False,False,0
-41.036447,398,595.433738,False,False,True,False,False,0
