#{"t_start": 1786633123.5641448, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase
-1572.782286,810,6.801469,False,False,True,False,False,0
-768.263749,397,8.660751,False,False,True,False,False,0
-1345.815561,527,11.104652,False,False,True,False,False,0
-796.623313,335,12.678241,False,False,True,False,False,0
-1661.262653,613,15.545125,False,False,True,False,False,0
-1045.752826,407,17.478454,False,False,True,False,False,0
-880.945173,323,18.991662,False,False,True,False,False,0
-1094.108085,642,21.963718,False,False,True,False,False,0
-687.688513,330,23.534688,False,False,True,True,False,0
-810.05306,369,25.293282,False,False,True,False,False,0
-2514.300124,706,32.107916,False,False,True,True,False,0
-288.776208,248,34.938075,False,False,True,False,False,0
-295.751577,161,36.784064,False,False,True,False,False,0
-294.339281,157,38.433663,False,False,True,False,False,0
-877.442064,320,42.126612,False,False,True,False,False,0
-1448.981248,658,49.78488,False,False,True,False,False,0
-596.708561,246,52.635038,False,False,True,False,False,0
-489.629781,239,55.428635,False,False,True,False,False,0
-376.638269,215,57.89264,False,False,True,False,False,0
-360.838044,464,63.152589,False,False,True,False,False,0
-1719.478655,727,71.549805,False,False,True,True,False,0
-722.976872,238,74.170099,False,False,True,False,False,0
-673.082866,415,78.894858,False,False,True,False,False,0
-431.931809,244,81.663793,False,False,True,False,False,0
-1700.681101,741,90.48193,False,False,True,False,False,0
-514.990403,895,101.166206,False,False,True,True,False,0
-667.695844,659,108.919239,False,False,True,False,False,0
-1269.67819,571,115.428963,False,False,True,False,False,0
-1494.623521,365,119.668695,False,False,True,False,False,0
-620.845529,336,123.456136,False,False,True,False,False,0
-531.449618,256,126.359131,False,False,True,False,False,0
-351.936413,236,129.045586,False,False,True,False,False,0
-970.560111,808,138.561185,False,False,True,False,False,0
-1266.724715,373,142.93507,False,False,True,True,False,0
-487.697351,320,146.599372,False,False,True,False,False,0
-498.005392,311,150.168719,False,False,True,False,False,0
-563.387136,572,156.668767,False,False,True,True,False,0
-2348.653764,704,164.997584,False,False,True,False,False,0
-896.26982,1230,180.115762,False,False,True,False,False,0
-778.880851,535,186.35627,False,False,True,True,False,0
-432.25928,239,189.006419,False,False,True,False,False,0
-776.325512,357,193.048401,False,False,True,True,False,0
-1354.561656,526,198.978047,False,False,True,False,False,0
-795.67432,221,201.508034,False,False,True,False,False,0
-1263.261073,875,211.93302,False,False,True,False,False,0
-365.891982,169,213.88003,False,False,True,False,False,0
-178.075438,316,217.699443,False,False,True,False,False,0
-851.813401,450,223.255481,False,False,True,False,False,0
-541.651523,274,226.699875,False,False,True,False,False,0
-503.83726,306,230.576423,False,False,True,False,False,0
