#{"t_start": 1786614590.6308167, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase
-57.358859,477,5.511025,False,False,True,False,False,0
-37.794386,218,6.526684,False,False,True,False,False,0
-35.819676,239,7.666488,False,False,True,False,False,0
-32.703452,158,8.430968,False,False,True,False,False,0
-42.490472,255,9.653542,False,False,True,False,False,0
-45.691639,168,10.43435,False,False,True,False,False,0
-38.908882,145,11.111068,False,False,True,False,False,0
-59.424632,410,13.0342,False,False,True,False,False,0
-42.958639,160,13.778209,False,False,True,False,False,0
-47.726707,204,14.728084,False,False,True,False,False,0
-41.124185,205,15.677997,False,False,True,False,False,0
-38.160204,214,16.670708,False,False,True,False,False,0
-31.818904,118,17.226575,False,False,True,False,False,0
-64.379495,364,18.922683,False,False,True,False,False,0
-39.770084,127,19.516081,False,False,True,False,False,0
-55.182833,228,20.578099,False,False,True,False,False,0
-66.360173,272,21.849838,False,False,True,False,False,0
-53.083087,214,22.844336,False,False,True,False,False,0
-41.359863,216,23.846035,False,False,True,False,False,0
-28.286348,204,24.805583,False,False,True,False,False,0
-54.23916,227,25.870145,False,False,True,False,False,0
-36.435492,144,26.544086,False,False,True,False,False,0
-42.089645,141,28.354601,False,False,True,False,False,0
-134.764482,298,31.815204,False,False,True,False,False,0
-28.746981,201,34.143332,False,False,True,False,False,0
-33.20056,173,36.169291,False,False,True,False,False,0
-44.876656,115,37.36552,False,False,True,False,False,0
-37.377805,145,38.91444,False,False,True,False,False,0
-35.764879,194,41.218164,False,False,True,False,False,0
-69.170651,276,44.180469,False,False,True,False,False,0
-50.813156,164,46.059394,False,False,True,False,False,0
-33.768908,330,49.676749,False,False,True,False,False,0
-32.52496,499,55.212945,False,False,True,False,False,0
-23.492978,145,56.883514,False,False,True,False,False,0
-31.856911,270,59.993267,False,False,True,False,False,0
-21.315201,481,65.455806,False,False,True,False,False,0
-102.814241,526,71.346226,False,False,True,False,False,0
-50.233579,468,76.764039,False,False,True,False,False,0
-15.884064,125,78.2063,False,False,True,False,False,0
-104.204244,673,85.873611,False,False,True,False,False,0
-141.61723,1529,103.201731,False,False,True,False,False,0
-75.232468,455,108.356155,False,False,True,False,False,0
-59.907207,440,113.322109,False,False,True,False,False,0
-190.032766,974,124.49738,False,False,True,True,False,0
-286.84838,1066,136.561756,False,False,True,True,False,0
-27.363534,117,137.876982,False,False,True,False,False,0
-84.470586,1452,154.41273,False,False,True,False,False,0
-21.459371,88,155.408097,False,False,True,False,False,0
-138.10938,614,162.337425,False,False,True,True,False,0
-153.517285,599,169.055022,False,False,True,True,False,0
-37.16471,215,171.426881,False,False,True,False,False,0
-139.73893,600,178.390874,False,False,True,True,False,0
-177.754508,960,189.168932,False,False,True,True,False,0
-42.791931,263,192.286084,False,False,True,False,False,0
-18.621958,110,193.521616,False,False,True,False,False,0
-96.778214,557,199.660914,False,False,True,False,False,0
-140.380637,602,206.555083,False,False,True,True,False,0
-137.090015,864,216.519155,False,False,True,False,False,0
-51.228024,291,219.878058,False,False,True,False,False,0
-91.941648,405,224.540203,False,False,True,False,False,0
-22.179748,85,225.526331,False,False,True,False,False,0
-93.839487,862,235.411622,False,False,True,False,False,0
-25.106653,110,236.707133,False,False,True,False,False,0
-131.683413,540,242.879642,False,False,True,True,False,0
-143.986443,926,253.274268,False,False,True,True,False,0
-48.672794,498,259.007753,False,False,True,False,False,0
-23.018667,108,260.250333,False,False,True,False,False,0
-44.811045,204,262.452007,False,False,True,False,False,0
-26.218196,128,263.847754,False,False,True,False,False,0
-70.561362,460,269.228124,False,False,True,False,False,0
-159.017114,2000,291.784513,False,False,True,False,True,0
-68.078726,561,298.06071,False,False,True,False,False,0
-142.038172,502,303.81851,False,False,True,True,False,0
-23.786501,158,305.672444,False,False,True,False,False,0
-229.006643,776,314.55062,False,False,True,True,False,0
-26.055524,171,316.577645,False,False,True,False,False,0
-40.900896,196,318.834019,False,False,True,False,False,0
-170.405168,575,325.450836,False,False,True,True,False,0
-23.296106,119,326.885825,False,False,True,False,False,0
-21.335617,76,327.750307,False,False,True,False,False,0
-179.810101,798,336.792112,False,False,True,True,False,0
-108.616439,514,342.635827,False,False,True,False,False,0
-72.005773,497,348.344816,False,False,True,False,False,0
-126.262116,929,358.846691,False,False,True,False,False,0
-171.333821,814,368.125691,False,False,True,False,False,0
-162.180536,759,376.88745,False,False,True,True,False,0
-43.951955,223,379.368418,False,False,True,False,False,0
-21.210514,98,380.430713,False,False,True,False,False,0
-232.238243,1161,393.509979,False,False,True,True,False,0
-60.974433,311,397.088319,False,False,True,False,False,0
-30.696872,432,402.096077,False,False,True,False,False,0
-88.582894,344,406.048655,False,False,True,False,False,0
-109.890472,1775,426.169718,False,False,True,False,False,0
-20.159541,85,427.198994,False,False,True,False,False,0
-23.87973,91,428.248484,False,False,True,False,False,0
-306.65093,1607,446.583529,False,False,True,True,False,0
-114.835954,501,452.39283,False,False,True,False,False,0
-180.231998,1007,464.094024,False,False,True,False,False,0
-86.658152,632,471.44693,False,False,True,False,False,0
-139.503529,751,480.111606,False,False,True,False,False,0
-28.692143,528,486.151392,False,False,True,False,False,0
-189.161927,774,494.891203,False,False,True,True,False,0
-54.280391,378,499.112089,False,False,True,False,False,0
-120.63271,659,506.633758,False,False,True,False,False,0
-98.23468,938,517.501415,False,False,True,False,False,0
-64.828196,327,521.208311,False,False,True,False,False,0
-38.219653,214,523.542288,False,False,True,False,False,0
-47.554763,324,527.356436,False,False,True,False,False,0
-47.73025,350,531.417534,False,False,True,False,False,0
-99.984378,383,535.785328,False,False,True,False,False,0
-19.880529,165,537.572007,False,False,True,False,False,0
-178.85947,955,580.092041,False,False,True,False,False,0
-19.014897,142,581.780677,False,False,True,False,False,0
-21.253496,136,583.326932,False,False,True,False,False,0
-139.193589,424,588.184919,False,False,True,True,False,0
-45.620031,201,590.47102,False,False,True,False,False,0
-44.571593,342,594.274922,False,False,True,False,False,0
-22.498894,93,595.288675,False,False,True,False,False,0
-28.468147,86,596.265872,False,False,True,False,False,0
-23.784982,228,598.860988,False,False,True,False,False,0
-24.400214,163,600.734629,False,False,True,False,False,0
-58.737749,477,606.260242,False,False,True,False,False,0
-50.756996,522,612.235564,False,False,True,False,False,0
-59.060428,279,615.319032,False,False,True,False,False,0
-32.190597,390,619.853127,False,False,True,False,False,0
-59.469676,609,626.840223,False,False,True,False,False,0
-38.186482,302,630.299803,False,False,True,False,False,0
-56.774513,335,634.055948,False,False,True,False,False,0
-90.802137,611,640.976129,False,False,True,False,False,0
-23.384239,254,643.909845,False,False,True,False,False,0
-192.187848,1050,655.87642,False,False,True,True,False,0
-52.893437,306,659.356605,False,False,True,False,False,0
-71.40086,633,666.53704,False,False,True,False,False,0
-52.345018,311,670.150669,False,False,True,False,False,0
-52.717463,437,675.147856,False,False,True,False,False,0
-175.168788,880,684.994567,False,False,True,True,False,0
-46.137745,418,689.9561,False,False,True,False,False,0
-56.574691,274,693.181568,False,False,True,False,False,0
-79.3076,423,698.08731,False,False,True,False,False,0
-56.462997,508,703.740883,False,False,True,False,False,0
-146.165646,847,713.469602,False,False,True,False,False,0
-49.520569,459,718.700657,False,False,True,False,False,0
-64.243458,780,727.548644,False,False,True,False,False,0
-28.53612,155,729.301127,False,False,True,False,False,0
-75.987459,606,736.080827,False,False,True,False,False,0
-28.025684,297,739.470988,False,False,True,False,False,0
-37.30774,197,741.740653,False,False,True,False,False,0
-53.546467,197,744.013934,False,False,True,False,False,0
-58.691847,333,747.888539,False,False,True,False,False,0
-152.078397,534,753.874682,False,False,True,False,False,0
-32.139489,187,756.029316,False,False,True,False,False,0
-60.201016,630,763.250527,False,False,True,False,False,0
-30.144267,325,766.912199,False,False,True,False,False,0
-161.846039,802,776.085705,False,False,True,True,False,0
-23.282418,141,777.707246,False,False,True,False,False,0
-29.312939,224,780.380077,False,False,True,False,False,0
-55.348428,586,787.035122,False,False,True,False,False,0
-48.662872,192,789.109952,False,False,True,False,False,0
-142.449588,651,796.826303,False,False,True,True,False,0
-20.098414,204,799.162668,False,False,True,False,False,0
-24.453516,249,802.000609,False,False,True,False,False,0
-51.818707,193,804.20729,False,False,True,False,False,0
-41.819432,227,806.850524,False,False,True,False,False,0
-36.103817,130,808.351864,False,False,True,False,False,0
-42.853562,550,814.669045,False,False,True,False,False,0
-128.797204,385,819.131536,False,False,True,False,False,0
-67.768288,574,825.738499,False,False,True,False,False,0
-95.916992,377,830.013047,False,False,True,False,False,0
-97.549196,620,837.033803,False,False,True,False,False,0
-18.996427,267,840.068575,False,False,True,False,False,0
-65.022281,308,843.548083,False,False,True,False,False,0
-57.13609,352,847.551247,False,False,True,False,False,0
-23.156803,224,850.118963,False,False,True,False,False,0
-65.300171,449,855.110924,False,False,True,False,False,0
-52.941327,303,858.671872,False,False,True,False,False,0
-21.71651,286,861.972527,False,False,True,False,False,0
-118.797469,618,868.994326,False,False,True,False,False,0
-57.892563,533,875.017408,False,False,True,False,False,0
-31.195144,591,881.648738,False,False,True,False,False,0
-95.637691,420,886.418349,False,False,True,False,False,0
-111.112012,578,893.024788,False,False,True,False,False,0
-17.112041,101,894.139845,False,False,True,False,False,0
-29.461188,118,895.486525,False,False,True,False,False,0
-227.746889,1038,907.133495,False,False,True,True,False,0
-35.038749,348,911.043056,False,False,True,False,False,0
-75.250975,609,917.720063,False,False,True,False,False,0
-32.681996,200,920.028169,False,False,True,False,False,0
-24.942312,130,921.517646,False,False,True,False,False,0
-57.296495,267,924.662488,False,False,True,False,False,0
-149.337454,601,931.342962,False,False,True,False,False,0
-60.640088,436,936.209199,False,False,True,False,False,0
-138.38086,730,944.41053,False,False,True,False,False,0
-27.539327,279,947.626985,False,False,True,False,False,0
-22.466189,88,948.591063,False,False,True,False,False,0
-37.130205,237,951.292742,False,False,True,False,False,0
-16.428772,105,952.502458,False,False,True,False,False,0
-27.766676,160,954.294309,False,False,True,False,False,0
-89.689139,310,957.819745,False,False,True,False,False,0
-109.696553,378,961.997827,False,False,True,False,False,0
-41.78127,463,967.417235,False,False,True,False,False,0
-209.309503,782,976.418211,False,False,True,False,False,0
-58.131726,610,983.45984,False,False,True,False,False,0
-39.842037,256,986.323282,False,False,True,False,False,0
-44.532516,256,989.229483,False,False,True,False,False,0
-39.372592,158,991.047627,False,False,True,False,False,0
-43.328873,211,993.51167,False,False,True,False,False,0
-17.780199,125,994.889328,False,False,True,False,False,0
-39.735679,177,996.816036,False,False,True,False,False,0
-63.804377,374,1001.030576,False,False,True,False,False,0
-26.960452,258,1003.949098,False,False,True,False,False,0
-116.905355,563,1010.4325,False,False,True,False,False,0
-19.479124,192,1012.665461,False,False,True,False,False,0
-59.74266,682,1020.511305,False,False,True,False,False,0
-29.34672,143,1022.161096,False,False,True,False,False,0
-114.935573,475,1027.448711,False,False,True,False,False,0
-132.514004,892,1037.636597,False,False,True,False,False,0
-44.670732,229,1040.29316,False,False,True,False,False,0
-81.860613,411,1045.083524,False,False,True,False,False,0
-46.365703,209,1047.447685,False,False,True,False,False,0
-24.636028,233,1050.125049,False,False,True,False,False,0
-50.533602,210,1052.55404,False,False,True,False,False,0
-49.125291,464,1057.824979,False,False,True,False,False,0
-95.640519,451,1063.015779,False,False,True,False,False,0
-29.612696,484,1068.630682,False,False,True,False,False,0
-34.283907,281,1071.881965,False,False,True,False,False,0
-58.023067,484,1077.475725,False,False,True,False,False,0
-15.601615,93,1078.599868,False,False,True,False,False,0
-208.865745,953,1089.403033,False,False,True,False,False,0
-20.321637,59,1090.118565,False,False,True,False,False,0
-66.948305,396,1094.488155,False,False,True,False,False,0
-40.653115,201,1096.778365,False,False,True,False,False,0
-21.73471,167,1098.722223,False,False,True,False,False,0
-132.623088,1685,1117.997613,False,False,True,False,False,0
-20.293536,77,1118.886092,False,False,True,False,False,0
-129.204895,769,1127.783583,False,False,True,False,False,0
-99.992956,808,1136.868182,False,False,True,False,False,0
-21.135213,103,1138.100077,False,False,True,False,False,0
-117.246801,1147,1184.230655,False,False,True,False,False,0
-117.607967,785,1193.261463,False,False,True,False,False,0
-27.539081,128,1194.724229,False,False,True,False,False,0
-57.220759,319,1198.178028,False,False,True,False,False,0
-26.288637,526,1204.278034,False,False,True,False,False,0
-56.20577,203,1206.607415,False,False,True,False,False,0
-66.678352,950,1217.602869,False,False,True,False,False,0
-17.827718,121,1218.948515,False,False,True,False,False,0
-35.59007,266,1221.907563,False,False,True,False,False,0
-56.771448,836,1231.371398,False,False,True,False,False,0
-35.762996,546,1237.53464,False,False,True,False,False,0
-39.252495,270,1240.694308,False,False,True,False,False,0
-31.640645,457,1245.785236,False,False,True,False,False,0
-72.64924,642,1253.247483,False,False,True,False,False,0
-21.588348,116,1254.556806,False,False,True,False,False,0
-44.128814,261,1257.555169,False,False,True,False,False,0
-49.729273,246,1260.395523,False,False,True,False,False,0
-30.333033,501,1266.210745,False,False,True,False,False,0
-69.659785,382,1270.414698,False,False,True,False,False,0
-31.554031,383,1274.719917,False,False,True,False,False,0
-46.133836,344,1278.707341,False,False,True,False,False,0
-71.784545,647,1286.225517,False,False,True,False,False,0
-33.655004,268,1289.290067,False,False,True,False,False,0
-23.080175,170,1291.277273,False,False,True,False,False,0
-31.669811,584,1298.060075,False,False,True,False,False,0
-48.640722,418,1302.876926,False,False,True,False,False,0
-67.574093,780,1311.89287,False,False,True,False,False,0
-24.761681,393,1316.492982,False,False,True,False,False,0
-94.124976,1094,1328.984833,False,False,True,False,False,0
-23.040986,214,1331.451969,False,False,True,False,False,0
-101.354298,290,1334.760679,False,False,True,False,False,0
-86.194485,980,1346.077959,False,False,True,False,False,0
-139.522203,929,1356.847438,False,False,True,False,False,0
-22.796817,132,1358.356597,False,False,True,False,False,0
-47.456682,304,1361.865996,False,False,True,False,False,0
-20.675776,99,1362.983042,False,False,True,False,False,0
-81.655283,607,1369.992923,False,False,True,False,False,0
-46.685916,792,1379.085646,False,False,True,False,False,0
-61.097321,515,1385.015933,False,False,True,False,False,0
-59.304129,652,1392.55745,False,False,True,False,False,0
-21.727752,286,1395.733011,False,False,True,False,False,0
-15.606905,108,1396.980162,False,False,True,False,False,0
-33.355587,525,1402.942258,False,False,True,False,False,0
-30.712645,141,1404.572357,False,False,True,False,False,0
-29.821203,341,1408.509058,False,False,True,False,False,0
-43.901348,173,1410.567177,False,False,True,False,False,0
-41.146011,631,1417.785677,False,False,True,False,False,0
-31.124991,116,1419.152564,False,False,True,False,False,0
-52.120014,362,1423.339602,False,False,True,False,False,0
-168.377121,1068,1435.520103,False,False,True,False,False,0
-62.31314,399,1439.967241,False,False,True,False,False,0
-52.730464,401,1444.592092,False,False,True,False,False,0
-85.361986,655,1451.9779,False,False,True,False,False,0
-44.12651,196,1454.228087,False,False,True,False,False,0
-17.752198,82,1455.214948,False,False,True,False,False,0
-20.683932,174,1457.186245,False,False,True,False,False,0
-39.364197,273,1460.354982,False,False,True,False,False,0
-95.096187,669,1467.910239,False,False,True,False,False,0
-17.293038,153,1469.679195,False,False,True,False,False,0
-57.380434,630,1476.966208,False,False,True,False,False,0
-21.005873,154,1478.723897,False,False,True,False,False,0
-71.895396,599,1485.704065,False,False,True,False,False,0
-34.338696,380,1489.831519,False,False,True,False,False,0
-22.391881,286,1493.218215,False,False,True,False,False,0
-18.059494,132,1494.933619,False,False,True,False,False,0
-77.100526,459,1500.291017,False,False,True,False,False,0
-13.379638,68,1501.079384,False,False,True,False,False,0
-40.711355,119,1502.348161,False,False,True,False,False,0
-29.147433,195,1504.623443,False,False,True,False,False,0
-45.456777,449,1509.777134,False,False,True,False,False,0
-48.479565,548,1518.341797,False,False,True,False,False,0
-38.325331,256,1522.803776,False,False,True,False,False,0
-59.217802,728,1536.015172,False,False,True,False,False,0
-21.26934,95,1537.28172,False,False,True,False,False,0
-15.196472,168,1539.517365,False,False,True,False,False,0
-46.241861,361,1543.981396,False,False,True,False,False,0
-38.065399,201,1546.547428,False,False,True,False,False,0
-74.372302,291,1550.17935,False,False,True,False,False,0
-102.44378,856,1561.183284,False,False,True,False,False,0
-40.097753,287,1564.881408,False,False,True,False,False,0
-101.126976,589,1571.835621,False,False,True,False,False,0
-24.257891,250,1574.814521,False,False,True,False,False,0
-21.901218,270,1577.879659,False,False,True,False,False,0
-43.550571,394,1582.425009,False,False,True,False,False,0
-53.265322,301,1585.939622,False,False,True,False,False,0
-25.892084,111,1587.439689,False,False,True,False,False,0
-21.524357,292,1591.722843,False,False,True,False,False,0
-91.50124,335,1595.755265,False,False,True,False,False,0
-30.304366,567,1602.323629,False,False,True,False,False,0
-23.007969,280,1605.705537,False,False,True,False,False,0
-15.319716,82,1606.647707,False,False,True,False,False,0
-74.30314,734,1615.222721,False,False,True,False,False,0
-18.738082,85,1616.184629,False,False,True,False,False,0
-17.645798,79,1617.13938,False,False,True,False,False,0
-20.447435,113,1618.446426,False,False,True,False,False,0
-91.970792,871,1628.159257,False,False,True,False,False,0
-55.568074,338,1631.917774,False,False,True,False,False,0
-42.740993,397,1636.101755,False,False,True,False,False,0
-24.665162,160,1637.817528,False,False,True,False,False,0
-64.376143,412,1642.208921,False,False,True,False,False,0
-98.993199,1236,1655.716455,False,False,True,False,False,0
-41.409301,324,1659.063905,False,False,True,False,False,0
-62.312243,373,1663.049698,False,False,True,False,False,0
-66.194891,356,1666.803314,False,False,True,False,False,0
-56.77869,585,1672.872134,False,False,True,False,False,0
-62.068449,366,1676.848362,False,False,True,False,False,0
-24.938949,132,1678.113267,False,False,True,False,False,0
-17.549376,335,1681.54206,False,False,True,False,False,0
-58.212929,362,1685.507419,False,False,True,False,False,0
-106.679399,758,1693.621321,False,False,True,False,False,0
-150.342483,394,1697.787963,False,False,True,True,False,0
-16.412245,125,1699.121834,False,False,True,False,False,0
-249.703632,689,1706.358821,False,False,True,False,False,0
-121.270748,551,1712.5758,False,False,True,False,False,0
-78.47128,691,1719.922218,False,False,True,False,False,0
-45.92581,189,1722.039876,False,False,True,False,False,0
-46.412132,324,1725.867393,False,False,True,False,False,0
-20.402302,121,1727.254793,False,False,True,False,False,0
-22.331276,188,1729.312902,False,False,True,False,False,0
-118.689031,482,1735.024126,False,False,True,False,False,0
-124.200601,385,1739.510211,False,False,True,False,False,0
-31.208595,113,1740.701067,False,False,True,False,False,0
-30.229315,159,1742.52405,False,False,True,False,False,0
-35.010926,318,1746.31532,False,False,True,False,False,0
-21.516856,427,1751.20408,False,False,True,False,False,0
-113.558401,462,1789.797926,False,False,True,False,False,0
-62.65524,861,1799.709201,False,False,True,False,False,0
-27.402949,112,1801.078808,False,False,True,False,False,0
-113.589297,595,1808.305069,False,False,True,False,False,0
-16.194665,191,1810.54147,False,False,True,False,False,0
-23.570331,216,1813.099473,False,False,True,False,False,0
-40.323432,418,1817.83041,False,False,True,False,False,0
-45.017456,322,1821.595654,False,False,True,False,False,0
-50.429732,370,1825.781925,False,False,True,False,False,0
-63.524796,304,1829.271533,False,False,True,False,False,0
-23.722669,210,1831.636055,False,False,True,False,False,0
-19.716006,63,1832.428566,False,False,True,False,False,0
-128.460179,530,1838.579433,False,False,True,False,False,0
-25.905756,209,1841.111675,False,False,True,False,False,0
-79.257783,560,1847.513129,False,False,True,False,False,0
-79.073294,821,1856.947349,False,False,True,False,False,0
-22.600727,174,1858.976646,False,False,True,False,False,0
-33.425008,319,1862.678375,False,False,True,False,False,0
-41.136174,238,1865.445639,False,False,True,False,False,0
-34.493987,392,1869.974035,False,False,True,False,False,0
-25.924796,246,1872.781578,False,False,True,False,False,0
-39.60731,220,1875.478404,False,False,True,False,False,0
-26.250772,111,1876.697398,False,False,True,False,False,0
-263.939672,649,1884.376919,False,False,True,True,False,0
-16.855051,92,1885.476631,False,False,True,False,False,0
-26.061501,192,1887.756214,False,False,True,False,False,0
-60.696704,348,1891.796372,False,False,True,False,False,0
-144.926602,673,1899.920662,False,False,True,False,False,0
-36.036159,428,1904.75326,False,False,True,False,False,0
-18.816159,136,1906.25991,False,False,True,False,False,0
-18.676997,270,1909.44341,False,False,True,False,False,0
-22.927801,158,1911.237883,False,False,True,False,False,0
-20.212722,265,1914.229397,False,False,True,False,False,0
-23.984565,149,1915.95319,False,False,True,False,False,0
-31.423041,402,1920.604503,False,False,True,False,False,0
-21.703731,214,1923.0618,False,False,True,False,False,0
-107.287701,660,1930.562971,False,False,True,False,False,0
-32.635123,686,1938.52293,False,False,True,False,False,0
-83.435186,414,1943.244695,False,False,True,False,False,0
-29.600936,241,1946.055506,False,False,True,False,False,0
-29.635796,192,1948.219099,False,False,True,False,False,0
-18.78892,203,1950.539435,False,False,True,False,False,0
-36.154565,538,1956.995894,False,False,True,False,False,0
-25.373647,595,1963.744569,False,False,True,False,False,0
-68.738176,536,1970.02496,False,False,True,False,False,0
-25.261245,178,1972.079185,False,False,True,False,False,0
-22.687208,67,1972.846252,False,False,True,False,False,0
-163.436389,782,1981.858765,False,False,True,False,False,0
-141.011953,769,1990.711128,False,False,True,False,False,0
-21.876697,70,1991.463494,False,False,True,False,False,0
-29.986231,380,1995.779064,False,False,True,False,False,0
-45.085372,310,1999.506114,False,False,True,False,False,0
-38.247116,383,2003.991545,False,False,True,False,False,0
-20.463146,128,2005.3624,False,False,True,False,False,0
-22.452537,63,2006.070068,False,False,True,False,False,0
-23.688026,64,2006.90625,False,False,True,False,False,0
-20.149297,261,2009.824456,False,False,True,False,False,0
-21.186479,131,2011.278982,False,False,True,False,False,0
-20.26149,101,2012.522947,False,False,True,False,False,0
-49.493833,309,2016.181797,False,False,True,False,False,0
-27.422319,114,2017.603968,False,False,True,False,False,0
