#{"t_start": 1786761503.681945, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-29.726937,554,9.53618,False,False,True,True,False,False,False,False,0,1.0,True
-28.797663,482,13.36062,False,False,True,True,False,False,False,False,0,1.0,True
-28.495438,474,16.181161,False,False,True,True,False,False,False,False,0,1.0,True
-29.495543,503,19.158391,False,False,True,True,False,False,False,False,0,1.0,True
-30.750277,552,22.707127,False,False,True,True,False,False,False,False,0,1.0,True
-25.343545,386,24.626544,False,False,True,True,False,False,False,False,0,1.0,True
-27.922836,466,27.081228,False,False,True,True,False,False,False,False,0,1.0,True
-27.306051,475,29.985953,False,False,True,True,False,False,False,False,0,1.0,True
-26.713137,373,32.240435,False,False,True,True,False,False,False,False,0,1.0,True
-29.637333,529,35.00501,False,False,True,True,False,False,False,False,0,1.0,True
-27.098337,414,39.031223,False,False,True,True,False,False,False,False,0,1.0,True
-35.415028,908,50.600589,False,False,True,False,False,False,True,False,0,1.0,True
-31.962806,802,59.521584,False,False,True,False,False,False,True,False,0,1.0,True
-27.70394,484,64.949538,False,False,True,True,False,False,False,False,0,1.0,True
-35.821862,907,75.365424,False,False,True,False,False,False,True,False,0,1.0,True
-33.6543,884,85.32996,False,False,True,False,False,False,True,False,0,1.0,True
-33.141392,733,93.731956,False,False,True,False,False,False,True,False,0,1.0,True
-27.663982,525,99.824171,False,False,True,False,False,False,True,False,0,1.0,True
-27.101611,554,106.93582,False,False,True,False,False,False,True,False,0,1.0,True
-24.635904,334,110.753004,False,False,True,True,False,False,False,False,0,1.0,True
-31.677268,768,119.264982,False,False,True,False,False,False,True,False,0,1.0,True
-29.221114,624,126.129152,False,False,True,False,False,False,True,False,0,1.0,True
-27.862068,484,131.509561,False,False,True,True,False,False,False,False,0,1.0,True
-27.27052,395,135.76669,False,False,True,True,False,False,False,False,0,1.0,True
-24.806281,538,141.685955,False,False,True,True,False,False,False,False,0,1.0,True
