#{"t_start": 1787231644.5478506, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-32.078169,617,6.119565,False,False,True,True,False,False,False,False,0,1.0,True
-26.275865,384,8.224106,False,False,True,True,False,False,False,False,0,1.0,True
-28.458169,474,10.475091,False,False,True,True,False,False,False,False,0,1.0,True
-29.568921,538,13.090184,False,False,True,True,False,False,False,False,0,1.0,True
-29.58334,503,15.542138,False,False,True,True,False,False,False,False,0,1.0,True
-29.119161,458,17.695882,False,False,True,True,False,False,False,False,0,1.0,True
-28.379039,504,20.155336,False,False,True,True,False,False,False,False,0,1.0,True
-26.116369,444,22.483223,False,False,True,True,False,False,False,False,0,1.0,True
-31.204967,569,25.323846,False,False,True,True,False,False,False,False,0,1.0,True
-31.255766,584,29.21351,False,False,True,True,False,False,False,False,0,1.0,True
-31.425477,579,35.736037,False,False,True,True,False,False,False,False,0,1.0,True
-28.875572,538,41.859074,False,False,True,True,False,False,False,False,0,1.0,True
-28.752344,594,48.283817,False,False,True,True,False,False,False,False,0,1.0,True
-30.166168,731,56.292099,False,False,True,False,False,False,True,False,0,1.0,True
-32.123668,914,66.858121,False,False,True,False,False,False,True,False,0,1.0,True
-26.723041,449,72.031916,False,False,True,True,False,False,False,False,0,1.0,True
-29.413351,648,80.017849,False,False,True,True,False,False,False,False,0,1.0,True
-29.317574,628,87.361528,False,False,True,True,False,False,False,False,0,1.0,True
-27.167422,1042,99.158242,False,False,True,True,False,False,False,False,0,1.0,True
-26.928666,433,104.550771,False,False,True,True,False,False,False,False,0,1.0,True
-33.127136,1373,121.163101,False,False,True,True,False,False,False,False,0,1.0,True
-29.74219,679,129.040877,False,False,True,True,False,False,False,False,0,1.0,True
-29.194055,686,138.273133,False,False,True,True,False,False,False,False,0,1.0,True
-23.388057,341,143.671732,False,False,True,True,False,False,False,False,0,1.0,True
-19.687757,259,147.656099,False,False,True,False,True,False,False,False,0,1.0,True
-20.708425,287,151.807616,False,False,True,False,True,False,False,False,0,1.0,True
-24.524804,342,156.671598,False,False,True,True,False,False,False,False,0,1.0,True
-23.628306,292,160.836796,False,False,True,True,False,False,False,False,0,1.0,True
-19.841868,246,164.406883,False,False,True,False,True,False,False,False,0,1.0,True
-21.961557,257,168.117268,False,False,True,False,True,False,False,False,0,1.0,True
-21.679709,327,172.450314,False,False,True,True,False,False,False,False,0,1.0,True
-27.533396,367,177.574532,False,False,True,True,False,False,False,False,0,1.0,True
-23.346625,379,183.043866,False,False,True,True,False,False,False,False,0,1.0,True
-25.863247,438,189.188177,False,False,True,True,False,False,False,False,0,1.0,True
-27.093179,463,195.553411,False,False,True,True,False,False,False,False,0,1.0,True
-30.106594,768,206.381811,False,False,True,True,False,False,False,False,0,1.0,True
-23.68101,969,220.901945,False,False,True,False,False,False,True,False,0,1.0,True
-27.455073,427,226.862008,False,False,True,True,False,False,False,False,0,1.0,True
-35.058111,1244,244.050161,False,False,True,True,False,False,False,False,0,1.0,True
-25.279828,359,249.28008,False,False,True,True,False,False,False,False,0,1.0,True
-25.714402,385,254.882415,False,False,True,True,False,False,False,False,0,1.0,True
-25.486873,467,261.640384,False,False,True,False,False,False,True,False,0,1.0,True
-27.985004,550,269.393898,False,False,True,False,False,False,True,False,0,1.0,True
-30.592179,735,279.533511,False,False,True,False,False,False,True,False,0,1.0,True
-31.228479,790,294.229406,False,False,True,True,False,False,False,False,0,1.0,True
-33.844592,1175,311.053343,False,False,True,True,False,False,False,False,0,1.0,True
-26.66778,482,318.072863,False,False,True,True,False,False,False,False,0,1.0,True
-25.412451,579,326.27184,False,False,True,False,False,False,True,False,0,1.0,True
-29.785971,617,334.835976,False,False,True,True,False,False,False,False,0,1.0,True
-26.26976,353,339.775912,False,False,True,True,False,False,False,False,0,1.0,True
-24.287055,582,347.956463,False,False,True,True,False,False,False,False,0,1.0,True
-27.600341,659,357.488617,False,False,True,True,False,False,False,False,0,1.0,True
