#{"t_start": 1786776594.094433, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-29.726937,554,6.264271,False,False,True,True,False,False,False,False,0,1.0,True
-28.797663,482,8.626667,False,False,True,True,False,False,False,False,0,1.0,True
-28.495438,474,10.920835,False,False,True,True,False,False,False,False,0,1.0,True
-29.495543,503,13.367419,False,False,True,True,False,False,False,False,0,1.0,True
-30.750277,552,15.997219,False,False,True,True,False,False,False,False,0,1.0,True
-25.343545,386,17.814163,False,False,True,True,False,False,False,False,0,1.0,True
-27.922836,466,20.024459,False,False,True,True,False,False,False,False,0,1.0,True
-27.306051,475,22.267452,False,False,True,True,False,False,False,False,0,1.0,True
-26.713137,373,24.101641,False,False,True,True,False,False,False,False,0,1.0,True
-29.637333,529,26.620659,False,False,True,True,False,False,False,False,0,1.0,True
-27.068498,413,30.584082,False,False,True,True,False,False,False,False,0,1.0,True
-31.022535,790,40.367797,False,False,True,False,False,False,True,False,0,1.0,True
-31.352173,555,46.973908,False,False,True,False,False,False,True,False,0,1.0,True
-35.468677,856,57.047975,False,False,True,False,False,False,True,False,0,1.0,True
-20.945426,367,61.476459,False,False,True,False,True,False,False,False,0,1.0,True
-41.989903,1212,76.026006,False,False,True,False,False,False,True,False,0,1.0,True
-28.995069,534,82.391739,False,False,True,True,False,False,False,False,0,1.0,True
-30.033096,598,89.324583,False,False,True,False,False,False,True,False,0,1.0,True
-27.109864,503,95.124065,False,False,True,False,False,False,True,False,0,1.0,True
-27.628474,431,100.04294,False,False,True,True,False,False,False,False,0,1.0,True
-28.647632,442,105.252936,False,False,True,False,False,False,True,False,0,1.0,True
-27.502516,435,110.346326,False,False,True,False,False,False,True,False,0,1.0,True
-29.21145,526,116.536778,False,False,True,True,False,False,False,False,0,1.0,True
-31.837078,570,123.305527,False,False,True,True,False,False,False,False,0,1.0,True
-26.081477,376,127.793852,False,False,True,True,False,False,False,False,0,1.0,True
-27.145922,467,133.372594,False,False,True,True,False,False,False,False,0,1.0,True
-30.331056,576,140.196384,False,False,True,True,False,False,False,False,0,1.0,True
-32.418925,905,150.819385,False,False,True,True,False,False,False,False,0,1.0,True
-32.882305,754,159.615062,False,False,True,True,False,False,False,False,0,1.0,True
-31.710522,900,169.969405,False,False,True,True,False,False,False,False,0,1.0,True
-32.769605,650,177.59984,False,False,True,True,False,False,False,False,0,1.0,True
-23.415551,428,182.689904,False,False,True,True,False,False,False,False,0,1.0,True
-23.209521,366,186.92973,False,False,True,True,False,False,False,False,0,1.0,True
-34.365806,793,196.069546,False,False,True,True,False,False,False,False,0,1.0,True
-38.425722,1197,209.977342,False,False,True,True,False,False,False,False,0,1.0,True
-26.466097,563,216.497712,False,False,True,True,False,False,False,False,0,1.0,True
-26.472729,798,225.764376,False,False,True,True,False,False,False,False,0,1.0,True
-38.478408,903,236.333357,False,False,True,True,False,False,False,False,0,1.0,True
-33.122361,829,246.183795,False,False,True,False,False,False,True,False,0,1.0,True
-21.744931,301,249.750946,False,False,True,False,True,False,False,False,0,1.0,True
-29.172245,914,260.455827,False,False,True,True,False,False,False,False,0,1.0,True
-23.601374,426,268.132572,False,False,True,True,False,False,False,False,0,1.0,True
-31.649034,653,276.170018,False,False,True,True,False,False,False,False,0,1.0,True
-24.426288,399,281.346357,False,False,True,True,False,False,False,False,0,1.0,True
-29.837957,867,292.589607,False,False,True,False,False,False,True,False,0,1.0,True
-30.132353,631,300.735217,False,False,True,True,False,False,False,False,0,1.0,True
-23.853894,308,304.641626,False,False,True,True,False,False,False,False,0,1.0,True
-25.63722,345,309.082515,False,False,True,True,False,False,False,False,0,1.0,True
-31.244841,504,315.197807,False,False,True,True,False,False,False,False,0,1.0,True
-23.031994,233,317.911877,False,False,True,True,False,False,False,False,0,1.0,True
-33.993356,910,328.664653,False,False,True,True,False,False,False,False,0,1.0,True
-24.879456,296,332.059893,False,False,True,True,False,False,False,False,0,1.0,True
-26.210242,351,336.197535,False,False,True,True,False,False,False,False,0,1.0,True
-29.275977,446,341.370589,False,False,True,False,False,False,True,False,0,1.0,True
-24.720288,310,344.975509,False,False,True,True,False,False,False,False,0,1.0,True
-23.825011,266,348.131038,False,False,True,True,False,False,False,False,0,1.0,True
-31.417271,572,354.908334,False,False,True,False,False,False,True,False,0,1.0,True
-24.730299,409,359.651581,False,False,True,True,False,False,False,False,0,1.0,True
-24.283642,395,364.240659,False,False,True,True,False,False,False,False,0,1.0,True
-23.287087,327,368.052162,False,False,True,True,False,False,False,False,0,1.0,True
-35.721173,1011,379.958105,False,False,True,True,False,False,False,False,0,1.0,True
-38.595323,1370,395.809505,False,False,True,True,False,False,False,False,0,1.0,True
-32.153491,578,402.44634,False,False,True,True,False,False,False,False,0,1.0,True
-31.895435,557,408.808809,False,False,True,True,False,False,False,False,0,1.0,True
-32.331898,649,416.382058,False,False,True,False,True,False,False,False,0,1.0,True
-23.301876,318,419.998449,False,False,True,True,False,False,False,False,0,1.0,True
-28.369079,527,426.126153,False,False,True,True,False,False,False,False,0,1.0,True
-31.683954,615,433.204518,False,False,True,True,False,False,False,False,0,1.0,True
-31.621416,676,441.175208,False,False,True,False,True,False,False,False,0,1.0,True
-24.500078,385,445.710333,False,False,True,True,False,False,False,False,0,1.0,True
