#{"t_start": 1787221023.9779623, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-29.726937,554,5.536233,False,False,True,True,False,False,False,False,0,1.0,True
-28.797663,482,7.77258,False,False,True,True,False,False,False,False,0,1.0,True
-28.495438,474,9.959134,False,False,True,True,False,False,False,False,0,1.0,True
-29.495543,503,12.290874,False,False,True,True,False,False,False,False,0,1.0,True
-30.750277,552,14.853216,False,False,True,True,False,False,False,False,0,1.0,True
-25.343545,386,16.640177,False,False,True,True,False,False,False,False,0,1.0,True
-27.922836,466,18.798973,False,False,True,True,False,False,False,False,0,1.0,True
-27.306051,475,21.011449,False,False,True,True,False,False,False,False,0,1.0,True
-26.713137,373,22.739148,False,False,True,True,False,False,False,False,0,1.0,True
-29.637333,529,25.170671,False,False,True,True,False,False,False,False,0,1.0,True
-27.068348,413,28.803145,False,False,True,True,False,False,False,False,0,1.0,True
-31.918992,784,37.654311,False,False,True,False,False,False,True,False,0,1.0,True
-29.326814,511,43.162603,False,False,True,True,False,False,False,False,0,1.0,True
-37.322442,1103,55.567884,False,False,True,False,False,False,True,False,0,1.0,True
-39.191686,1070,66.99158,False,False,True,False,False,False,True,False,0,1.0,True
-29.865812,819,76.115644,False,False,True,True,False,False,False,False,0,1.0,True
-30.753257,679,83.63514,False,False,True,False,False,False,True,False,0,1.0,True
-38.214665,1333,98.057986,False,False,True,False,False,False,True,False,0,1.0,True
-31.481845,972,108.644809,False,False,True,True,False,False,False,False,0,1.0,True
-31.085712,967,119.17984,False,False,True,True,False,False,False,False,0,1.0,True
-32.720026,880,128.81252,False,False,True,True,False,False,False,False,0,1.0,True
-26.651909,1007,139.813866,False,False,True,True,False,False,False,False,0,1.0,True
-25.596671,524,145.479171,False,False,True,True,False,False,False,False,0,1.0,True
-27.691253,694,152.972458,False,False,True,True,False,False,False,False,0,1.0,True
-24.558575,424,157.670828,False,False,True,True,False,False,False,False,0,1.0,True
-26.417623,452,162.510322,False,False,True,True,False,False,False,False,0,1.0,True
-31.788458,1236,176.01075,False,False,True,False,False,False,True,False,0,1.0,True
-24.889974,337,179.694114,False,False,True,True,False,False,False,False,0,1.0,True
-31.716524,641,186.645138,False,False,True,True,False,False,False,False,0,1.0,True
-21.392722,246,189.331819,False,False,True,True,False,False,False,False,0,1.0,True
-23.731243,385,193.53641,False,False,True,True,False,False,False,False,0,1.0,True
-23.482319,425,198.157785,False,False,True,True,False,False,False,False,0,1.0,True
-31.343455,796,206.763597,False,False,True,True,False,False,False,False,0,1.0,True
-24.619582,658,213.937225,False,False,True,True,False,False,False,False,0,1.0,True
-30.330604,886,225.648178,False,False,True,True,False,False,False,False,0,1.0,True
-23.894943,439,230.459768,False,False,True,True,False,False,False,False,0,1.0,True
-23.379052,471,235.462925,False,False,True,True,False,False,False,False,0,1.0,True
-26.540371,415,240.009296,False,False,True,True,False,False,False,False,0,1.0,True
-25.020169,694,250.357776,False,False,True,True,False,False,False,False,0,1.0,True
-24.858468,356,254.978321,False,False,True,True,False,False,False,False,0,1.0,True
-23.818462,348,258.815762,False,False,True,True,False,False,False,False,0,1.0,True
-24.837242,673,266.108454,False,False,True,True,False,False,False,False,0,1.0,True
-29.616841,854,275.203641,False,False,True,True,False,False,False,False,0,1.0,True
-26.484234,693,282.682107,False,False,True,True,False,False,False,False,0,1.0,True
-23.758142,372,286.585445,False,False,True,True,False,False,False,False,0,1.0,True
-27.125093,606,293.435966,False,False,True,True,False,False,False,False,0,1.0,True
-25.698139,547,299.234747,False,False,True,True,False,False,False,False,0,1.0,True
-33.562002,895,308.696333,False,False,True,False,False,False,True,False,0,1.0,True
-29.114509,530,314.270585,False,False,True,True,False,False,False,False,0,1.0,True
-24.350967,451,319.085001,False,False,True,True,False,False,False,False,0,1.0,True
-43.510549,1577,335.771284,False,False,True,True,False,False,False,False,0,1.0,True
-35.508495,953,345.977222,False,False,True,False,False,False,True,False,0,1.0,True
-33.656263,721,353.396585,False,False,True,False,False,False,True,False,0,1.0,True
-27.062425,783,361.733197,False,False,True,False,False,False,True,False,0,1.0,True
-25.258101,509,367.205503,False,False,True,False,False,False,True,False,0,1.0,True
-31.277448,954,377.224878,False,False,True,False,False,False,True,False,0,1.0,True
-24.352131,460,382.065642,False,False,True,True,False,False,False,False,0,1.0,True
4.847076,329,385.564522,True,True,True,False,False,False,False,False,0,1.0,True
-43.025255,1607,402.957348,False,False,True,True,False,False,False,False,0,1.0,True
-23.830309,490,407.984422,False,False,True,True,False,False,False,False,0,1.0,True
