#{"t_start": 1787209293.1657703, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-29.726937,554,5.506706,False,False,True,True,False,False,False,False,0,1.0,True
-28.797663,482,7.728073,False,False,True,True,False,False,False,False,0,1.0,True
-28.495438,474,10.073895,False,False,True,True,False,False,False,False,0,1.0,True
-29.495543,503,12.415047,False,False,True,True,False,False,False,False,0,1.0,True
-30.750277,552,14.966637,False,False,True,True,False,False,False,False,0,1.0,True
-25.343545,386,16.80433,False,False,True,True,False,False,False,False,0,1.0,True
-27.922836,466,18.964671,False,False,True,True,False,False,False,False,0,1.0,True
-27.306051,475,21.139455,False,False,True,True,False,False,False,False,0,1.0,True
-26.713137,373,22.847933,False,False,True,True,False,False,False,False,0,1.0,True
-29.637333,529,25.2851,False,False,True,True,False,False,False,False,0,1.0,True
-27.068348,413,28.950156,False,False,True,True,False,False,False,False,0,1.0,True
-31.918992,784,37.744889,False,False,True,False,False,False,True,False,0,1.0,True
-29.326814,511,43.244339,False,False,True,True,False,False,False,False,0,1.0,True
-37.322442,1103,55.230986,False,False,True,False,False,False,True,False,0,1.0,True
-39.191686,1070,67.046102,False,False,True,False,False,False,True,False,0,1.0,True
-29.865812,819,76.115379,False,False,True,True,False,False,False,False,0,1.0,True
-30.753257,679,83.566888,False,False,True,False,False,False,True,False,0,1.0,True
-38.214665,1333,98.389209,False,False,True,False,False,False,True,False,0,1.0,True
-31.481845,972,108.902705,False,False,True,True,False,False,False,False,0,1.0,True
-31.085712,967,119.432965,False,False,True,True,False,False,False,False,0,1.0,True
-32.720026,880,129.191906,False,False,True,True,False,False,False,False,0,1.0,True
-26.651909,1007,140.339854,False,False,True,True,False,False,False,False,0,1.0,True
-25.596671,524,146.07396,False,False,True,True,False,False,False,False,0,1.0,True
-27.691253,694,153.774782,False,False,True,True,False,False,False,False,0,1.0,True
-24.558575,424,158.391186,False,False,True,True,False,False,False,False,0,1.0,True
-26.417623,452,163.204566,False,False,True,True,False,False,False,False,0,1.0,True
-31.788458,1236,176.948555,False,False,True,False,False,False,True,False,0,1.0,True
-24.889974,337,180.589657,False,False,True,True,False,False,False,False,0,1.0,True
-31.716524,641,187.553895,False,False,True,True,False,False,False,False,0,1.0,True
-21.392722,246,190.354919,False,False,True,True,False,False,False,False,0,1.0,True
-23.731243,385,194.57721,False,False,True,True,False,False,False,False,0,1.0,True
-23.482319,425,199.395505,False,False,True,True,False,False,False,False,0,1.0,True
-31.343455,796,208.280827,False,False,True,True,False,False,False,False,0,1.0,True
-24.619582,658,215.583713,False,False,True,True,False,False,False,False,0,1.0,True
-30.330604,886,225.254133,False,False,True,True,False,False,False,False,0,1.0,True
-23.894943,439,230.096757,False,False,True,True,False,False,False,False,0,1.0,True
-23.379052,471,235.38291,False,False,True,True,False,False,False,False,0,1.0,True
-26.540371,415,239.887781,False,False,True,True,False,False,False,False,0,1.0,True
-25.020169,694,249.991841,False,False,True,True,False,False,False,False,0,1.0,True
-24.858468,356,253.952733,False,False,True,True,False,False,False,False,0,1.0,True
-23.818462,348,257.864983,False,False,True,True,False,False,False,False,0,1.0,True
-24.837242,673,265.167868,False,False,True,True,False,False,False,False,0,1.0,True
