#{"t_start": 1787205414.72612, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,phase1_speed_failure,premature_entry_failure,terminal_constraint_failure,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
-29.726937,554,6.062802,False,False,True,True,False,False,False,False,0,1.0,True
-28.797663,482,8.279094,False,False,True,True,False,False,False,False,0,1.0,True
-28.495438,474,10.464978,False,False,True,True,False,False,False,False,0,1.0,True
-29.495543,503,12.769828,False,False,True,True,False,False,False,False,0,1.0,True
-30.750277,552,15.313499,False,False,True,True,False,False,False,False,0,1.0,True
-25.343545,386,17.120232,False,False,True,True,False,False,False,False,0,1.0,True
-27.922836,466,19.249674,False,False,True,True,False,False,False,False,0,1.0,True
-27.306051,475,21.439063,False,False,True,True,False,False,False,False,0,1.0,True
-26.713137,373,23.205239,False,False,True,True,False,False,False,False,0,1.0,True
-29.637333,529,25.624516,False,False,True,True,False,False,False,False,0,1.0,True
-32.941308,701,38.862141,False,False,True,False,False,False,True,False,0,1.0,True
-33.415041,872,59.517548,False,False,True,False,False,False,True,False,0,1.0,True
-27.970835,485,71.069409,False,False,True,True,False,False,False,False,0,1.0,True
-25.947784,370,79.873598,False,False,True,True,False,False,False,False,0,1.0,True
-28.047513,480,91.247581,False,False,True,True,False,False,False,False,0,1.0,True
-26.669935,473,102.49487,False,False,True,False,False,False,True,False,0,1.0,True
-24.244051,417,112.442369,False,False,True,True,False,False,False,False,0,1.0,True
-21.771051,276,119.092543,False,False,True,True,False,False,False,False,0,1.0,True
-23.025571,524,131.550266,False,False,True,True,False,False,False,False,0,1.0,True
-22.517141,306,138.902775,False,False,True,True,False,False,False,False,0,1.0,True
-30.198207,771,157.353628,False,False,True,True,False,False,False,False,0,1.0,True
-24.328861,319,164.912308,False,False,True,True,False,False,False,False,0,1.0,True
-23.827164,273,171.485592,False,False,True,True,False,False,False,False,0,1.0,True
-30.88192,1149,198.983762,False,False,True,True,False,False,False,False,0,1.0,True
-23.223988,239,204.716416,False,False,True,True,False,False,False,False,0,1.0,True
-38.042304,825,224.409707,False,False,True,True,False,False,False,False,0,1.0,True
