#{"t_start": 1786514344.3059127, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-31.992728,997,7.882836,False,False,True,False,False,203,665,592,195,warmup
-42.188524,1383,14.52129,False,False,True,False,False,683,721,794,572,warmup
-34.05226,1015,19.387101,False,False,True,False,False,302,516,671,245,warmup
-36.419703,965,24.057609,False,False,True,False,False,431,732,594,324,warmup
-35.976911,868,32.565102,False,False,True,False,False,672,403,431,362,warmup
-28.466265,829,51.667441,False,False,True,False,False,194,101,519,164,warmup
-27.712044,826,70.081894,False,False,True,False,False,94,165,455,61,warmup
-41.395201,939,91.373003,False,False,True,False,False,510,356,670,435,warmup
-33.882841,299,98.138215,False,False,True,False,False,254,239,261,205,warmup
-30.187104,401,107.113147,False,False,True,False,False,185,184,280,0,warmup
-29.412976,369,115.32535,False,False,True,False,False,0,198,246,0,warmup
-32.711278,560,127.787131,False,False,True,False,False,335,450,397,30,warmup
-28.038675,444,138.013881,False,False,True,False,False,0,304,337,0,warmup
-27.178303,468,148.80059,False,False,True,False,False,295,253,380,0,warmup
-42.98509,934,171.279263,False,False,True,False,False,442,494,863,263,warmup
-34.391246,633,185.35879,False,False,True,False,False,303,464,571,99,warmup
-31.436397,490,196.442075,False,False,True,False,False,0,306,344,0,warmup
-28.263108,470,207.097425,False,False,True,False,False,140,114,381,0,warmup
-27.685679,421,216.626223,False,False,True,False,False,0,0,272,0,warmup
-29.103296,352,224.562748,False,False,True,False,False,0,0,289,0,warmup
-28.865425,349,232.326868,False,False,True,False,False,0,0,270,0,warmup
-25.620199,422,242.091252,False,False,True,False,False,79,0,358,0,warmup
-29.152573,481,253.026827,False,False,True,False,False,172,196,396,0,warmup
-27.798036,321,260.147673,False,False,True,False,False,0,124,269,0,warmup
-25.083772,347,268.465678,False,False,True,False,False,0,11,268,0,warmup
-26.751616,393,277.445201,False,False,True,False,False,0,199,314,0,warmup
-26.959657,364,285.872794,False,False,True,False,False,0,198,302,0,warmup
-29.257193,677,301.667828,False,False,True,False,False,0,454,438,0,warmup
-25.917529,431,311.323769,False,False,True,False,False,0,270,277,0,warmup
-35.890722,885,331.324273,False,False,True,False,False,271,575,593,242,warmup
-50.167031,1088,355.98859,False,False,True,False,False,520,702,751,419,warmup
-26.536046,491,366.889366,False,False,True,False,False,335,34,366,0,warmup
-39.803458,571,379.914809,False,False,True,False,False,334,338,431,268,warmup
-39.821564,478,390.530688,False,False,True,False,False,309,332,328,309,warmup
-35.999739,346,398.547643,False,False,True,False,False,245,236,257,195,warmup
-31.77484,424,408.183148,False,False,True,False,False,151,173,326,125,warmup
-31.905769,495,419.282618,False,False,True,False,False,178,353,382,91,warmup
-38.142987,504,430.640659,False,False,True,False,False,319,290,387,250,warmup
-39.243595,523,442.125453,False,False,True,False,False,335,309,396,263,warmup
-42.626534,574,454.916116,False,False,True,False,False,403,372,484,365,warmup
-53.864297,805,473.222581,False,False,True,False,False,643,504,732,528,warmup
-36.709404,526,485.125469,False,False,True,False,False,251,327,408,191,warmup
-41.946921,570,497.830315,False,False,True,False,False,373,335,447,356,warmup
-43.855423,516,509.40123,False,False,True,False,False,437,374,453,415,warmup
-48.933338,792,527.536307,False,False,True,False,False,656,503,630,461,warmup
-39.787685,802,545.940326,False,False,True,False,False,652,431,620,212,warmup
-47.224245,681,561.390258,False,False,True,False,False,594,436,412,405,warmup
-58.898962,1297,591.415163,False,False,True,False,False,875,881,917,511,warmup
-36.17432,390,600.558351,False,False,True,False,False,349,238,355,197,warmup
-28.910721,427,610.178765,False,False,True,False,False,30,271,352,0,warmup
-30.210756,608,623.952991,False,False,True,False,False,216,368,544,14,warmup
-27.83638,438,633.741471,False,False,True,False,False,0,322,340,0,warmup
-49.110996,885,653.612437,False,False,True,False,False,417,721,704,379,warmup
-30.993432,610,667.119174,False,False,True,False,False,56,389,383,32,warmup
-31.83469,602,680.523517,False,False,True,False,False,128,471,431,64,warmup
-33.899557,631,694.694381,False,False,True,False,False,178,473,522,121,warmup
-28.71549,444,704.554196,False,False,True,False,False,0,270,380,0,warmup
-28.675597,419,713.945992,False,False,True,False,False,17,248,333,0,warmup
-29.158822,518,725.565687,False,False,True,False,False,82,348,402,34,warmup
-35.735325,647,740.406094,False,False,True,False,False,101,436,531,0,warmup
-30.398957,509,751.95063,False,False,True,False,False,0,436,444,0,warmup
-30.408034,567,764.808403,False,False,True,False,False,141,412,472,77,warmup
-33.770967,652,779.949394,False,False,True,False,False,168,457,477,82,warmup
-32.321706,635,794.578517,False,False,True,False,False,177,504,479,104,warmup
-33.515122,704,810.48098,False,False,True,False,False,153,637,529,103,warmup
-30.046245,563,823.449842,False,False,True,False,False,14,374,454,0,warmup
-31.137824,617,837.346282,False,False,True,False,False,40,538,506,41,warmup
-28.789678,556,849.671312,False,False,True,False,False,62,341,445,56,warmup
-30.48053,541,861.775615,False,False,True,False,False,0,356,447,0,warmup
-28.060694,552,874.202319,False,False,True,False,False,57,349,425,5,warmup
-28.954061,581,887.509327,False,False,True,False,False,72,415,460,45,warmup
-31.30757,548,899.788109,False,False,True,False,False,0,331,454,0,warmup
-32.479422,690,915.472588,False,False,True,False,False,157,588,510,130,warmup
-30.994107,587,928.845346,False,False,True,False,False,5,391,479,0,warmup
-33.790711,742,945.646362,False,False,True,False,False,220,609,512,116,warmup
-36.377588,815,963.944804,False,False,True,False,False,343,524,568,265,warmup
-37.644278,856,983.215408,False,False,True,False,False,391,596,576,288,warmup
-36.474983,804,1001.597482,False,False,True,False,False,264,670,612,190,warmup
-54.02321,1175,1028.210565,False,False,True,False,False,809,572,775,361,warmup
-29.123604,653,1043.176226,False,False,True,False,False,130,502,406,0,warmup
-31.671348,722,1114.743456,False,False,True,False,False,143,459,540,87,warmup
-28.400519,688,1130.593066,False,False,True,False,False,148,502,410,0,warmup
-34.292457,736,1148.992762,False,False,True,False,False,122,685,418,23,warmup
-29.21822,678,1164.753971,False,False,True,False,False,0,456,466,0,warmup
-33.340979,827,1183.783161,False,False,True,False,False,297,551,436,134,warmup
-31.310523,716,1199.598912,False,False,True,False,False,152,565,500,76,warmup
-47.373906,1161,1230.160683,False,False,True,False,False,610,690,629,472,warmup
-31.769663,657,1246.042605,False,False,True,False,False,186,389,463,95,warmup
-30.827527,766,1263.771666,False,False,True,False,False,117,513,467,97,warmup
-27.70002,757,1281.14334,False,False,True,False,False,7,313,481,0,warmup
-27.893176,663,1296.231642,False,False,True,False,False,0,398,442,0,warmup
-33.736537,867,1315.872877,False,False,True,False,False,344,520,516,226,warmup
-32.04356,869,1335.465262,False,False,True,False,False,241,507,533,153,warmup
-37.082887,892,1357.341744,False,False,True,False,False,476,369,576,269,warmup
-33.911091,1057,1381.447218,False,False,True,False,False,392,583,542,260,warmup
-34.251183,1013,1404.260432,False,False,True,False,False,225,667,585,210,warmup
-39.584882,1142,1430.067897,False,False,True,False,False,460,694,684,394,warmup
-45.687942,1105,1455.016307,False,False,True,False,False,722,587,568,479,warmup
-36.064703,882,1475.109184,False,False,True,False,False,473,437,446,203,warmup
-43.248465,870,1494.840721,False,False,True,False,False,649,462,359,441,warmup
-68.976013,1771,1536.328186,False,False,True,False,False,1039,801,1366,964,warmup
-28.590381,920,1557.162171,False,False,True,False,False,230,389,510,121,warmup
-35.770759,1006,1579.939697,False,False,True,False,False,329,551,573,202,warmup
-50.469149,983,1602.518714,False,False,True,False,False,865,502,619,659,warmup
-31.763347,830,1621.214946,False,False,True,False,False,279,268,531,214,warmup
-32.301178,872,1641.205642,False,False,True,False,False,281,367,583,231,warmup
-31.413252,848,1660.179106,False,False,True,False,False,257,277,512,200,warmup
-28.606352,676,1675.712449,False,False,True,False,False,0,406,451,0,warmup
-43.175273,1011,1698.815125,False,False,True,False,False,528,727,645,425,warmup
-36.314604,1040,1722.707898,False,False,True,False,False,382,557,781,375,warmup
-47.404398,1404,1754.39091,False,False,True,False,False,776,877,512,536,warmup
-34.551914,1060,1778.190774,False,False,True,False,False,379,401,692,312,warmup
-40.782936,1132,1804.144089,False,False,True,False,False,400,931,752,366,warmup
-43.866036,1086,1828.82604,False,False,True,False,False,413,642,635,312,warmup
-31.221731,850,1847.754759,False,False,True,False,False,276,621,529,169,warmup
-43.033194,1191,1874.859543,False,False,True,False,False,650,582,460,311,warmup
-41.215276,1242,1902.983418,False,False,True,False,False,654,690,712,271,warmup
-37.872168,1104,1927.985613,False,False,True,False,False,554,758,719,392,warmup
-32.255868,913,1948.366637,False,False,True,False,False,205,565,630,146,warmup
-44.529729,902,1971.152941,False,False,True,False,False,693,446,382,274,warmup
-42.792447,996,1993.462093,False,False,True,False,False,472,599,659,330,warmup
-37.31574,829,2012.622718,False,False,True,False,False,381,485,587,301,warmup
-33.793913,887,2033.068046,False,False,True,False,False,324,719,478,199,warmup
-59.918892,2000,2079.46647,False,False,False,True,False,1401,1323,1522,543,warmup
-45.273117,1128,2105.220455,False,False,True,False,False,657,650,740,551,warmup
-61.561741,1533,2139.804966,False,False,True,False,False,875,864,1067,657,warmup
-51.473161,1282,2168.846289,False,False,True,False,False,636,1006,839,565,warmup
-39.493322,845,2188.049114,False,False,True,False,False,754,659,516,148,warmup
-49.53832,1104,2213.231678,False,False,True,False,False,974,630,648,266,warmup
-45.265744,1048,2236.733757,False,False,True,False,False,483,656,645,404,warmup
-37.071034,910,2325.375387,False,False,True,False,False,386,174,648,307,warmup
-27.044585,674,2340.747896,False,False,True,False,False,149,26,424,104,warmup
-67.204339,1780,2381.502114,False,False,True,False,False,1086,1168,1163,969,warmup
-74.660043,1754,2422.409601,False,False,True,False,False,1216,1298,1177,963,warmup
-48.755404,1432,2454.653412,False,False,True,False,False,665,1195,861,543,warmup
-31.997489,726,2472.025302,False,False,True,False,False,291,45,467,210,warmup
-32.114588,816,2490.499358,False,False,True,False,False,190,704,571,147,warmup
-27.71552,778,2508.262761,False,False,True,False,False,163,0,534,113,warmup
-44.955476,1176,2534.755526,False,False,True,False,False,603,753,757,466,warmup
-38.666671,889,2555.049588,False,False,True,False,False,536,395,583,409,warmup
