#{"t_start": 1786518011.4113042, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-31.992728,997,8.168086,False,False,True,False,False,203,665,592,195,warmup
-42.188524,1383,14.915198,False,False,True,False,False,683,721,794,572,warmup
-34.05226,1015,19.854889,False,False,True,False,False,302,516,671,245,warmup
-36.419703,965,24.572426,False,False,True,False,False,431,732,594,324,warmup
-38.383237,965,35.211048,False,False,True,False,False,769,501,528,459,warmup
-33.676661,896,55.648218,False,False,True,False,False,400,485,673,324,warmup
-52.442161,1767,96.830813,False,False,True,False,False,1197,1293,1462,545,warmup
-37.308827,960,118.543376,False,False,True,False,False,595,313,296,414,warmup
-26.848825,627,132.662822,False,False,True,False,False,505,0,430,77,warmup
-29.271015,646,147.598894,False,False,True,False,False,194,178,336,111,warmup
-29.626501,619,161.854968,False,False,True,False,False,301,178,387,145,warmup
-33.694923,728,178.710077,False,False,True,False,False,425,260,340,382,warmup
-33.766474,537,191.251088,False,False,True,False,False,384,359,369,422,warmup
-25.016015,396,200.181346,False,False,True,False,False,0,79,327,0,warmup
-27.696465,460,210.79868,False,False,True,False,False,0,67,376,0,warmup
-40.828456,725,227.05573,False,False,True,False,False,506,458,623,302,warmup
-26.805681,328,234.417054,False,False,True,False,False,249,233,267,0,warmup
-32.915956,524,246.764303,False,False,True,False,False,149,330,466,156,warmup
-39.546179,639,261.815804,False,False,True,False,False,391,384,557,234,warmup
-45.315699,827,281.00472,False,False,True,False,False,466,533,758,371,warmup
-29.395324,558,293.843639,False,False,True,False,False,0,261,468,0,warmup
-31.531491,422,303.335667,False,False,True,False,False,307,277,363,0,warmup
-38.512832,982,325.354276,False,False,True,False,False,706,752,683,213,warmup
-36.907266,526,338.087654,False,False,True,False,False,388,295,439,370,warmup
-28.263707,404,347.237222,False,False,True,False,False,111,99,304,27,warmup
-26.888649,338,355.016615,False,False,True,False,False,0,0,231,0,warmup
-29.361365,410,364.175247,False,False,True,False,False,136,130,314,106,warmup
-26.653449,477,375.003709,False,False,True,False,False,75,187,338,0,warmup
-40.268211,639,389.600457,False,False,True,False,False,531,244,580,92,warmup
