#{"t_start": 1786527599.0895174, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-31.992728,997,10.339766,False,False,True,False,False,203,665,592,195,warmup
-27.852833,987,35.356453,False,False,True,False,False,99,98,503,96,warmup
-37.999036,1010,61.421383,False,False,True,False,False,410,350,753,393,warmup
-30.685485,766,81.719942,False,False,True,False,False,356,487,423,154,warmup
-36.06571,623,97.417432,False,False,True,False,False,422,361,310,297,warmup
-25.01364,660,114.410843,False,False,True,False,False,0,0,287,0,warmup
-40.435712,593,129.635261,False,False,True,False,False,346,369,313,341,warmup
-36.72689,416,140.138079,False,False,True,False,False,298,275,325,203,warmup
-39.687137,422,150.920509,False,False,True,False,False,357,342,313,410,warmup
-35.615271,1383,186.154764,False,False,True,False,False,564,549,1138,385,warmup
-37.385871,575,200.53353,False,False,True,False,False,439,378,478,217,warmup
-39.999875,504,213.308064,False,False,True,False,False,429,329,445,341,warmup
-46.432984,802,233.705579,False,False,True,False,False,652,529,520,353,warmup
-24.493729,338,242.448145,False,False,True,False,False,0,0,277,0,warmup
-41.971452,595,257.399794,False,False,True,False,False,461,453,474,450,warmup
-64.407564,1244,289.223239,False,False,True,False,False,1058,878,999,475,warmup
-40.840289,670,306.882464,False,False,True,False,False,465,377,574,278,warmup
-40.308476,636,323.30602,False,False,True,False,False,527,383,545,365,warmup
-32.331872,460,335.171581,False,False,True,False,False,256,7,350,221,warmup
-35.32121,497,347.971139,False,False,True,False,False,225,292,372,209,warmup
-38.83849,541,361.780374,False,False,True,False,False,363,282,457,276,warmup
-38.59782,567,376.492559,False,False,True,False,False,308,361,363,247,warmup
-37.066759,437,387.728591,False,False,True,False,False,334,285,367,323,warmup
-36.210267,560,402.537664,False,False,True,False,False,421,391,450,196,warmup
-39.271919,622,419.476488,False,False,True,False,False,510,466,520,269,warmup
-42.915504,843,441.066951,False,False,True,False,False,720,637,731,318,warmup
-28.24774,477,453.341982,False,False,True,False,False,0,301,340,0,warmup
-33.300041,564,468.54449,False,False,True,False,False,234,428,454,211,warmup
-33.765997,444,480.109832,False,False,True,False,False,319,240,378,327,warmup
-34.499632,407,490.6843,False,False,True,False,False,279,281,356,298,warmup
-37.878354,535,504.503636,False,False,True,False,False,422,329,472,503,warmup
-27.354247,366,514.053379,False,False,True,False,False,0,113,303,0,warmup
-31.425535,735,533.179578,False,False,True,False,False,186,572,465,32,warmup
-44.538119,904,556.753132,False,False,True,False,False,781,628,824,285,warmup
-37.368449,568,571.523747,False,False,True,False,False,482,363,385,402,warmup
-39.114689,518,584.949225,False,False,True,False,False,383,411,413,455,warmup
-37.088956,519,598.293612,False,False,True,False,False,413,383,440,459,warmup
-48.88418,863,621.057937,False,False,True,False,False,788,546,809,517,warmup
-54.995221,1146,651.460477,False,False,True,False,False,1030,903,942,848,warmup
-37.202049,669,668.303619,False,False,True,False,False,320,387,442,335,warmup
-35.659095,439,679.44157,False,False,True,False,False,322,162,310,369,warmup
-37.22505,547,693.323579,False,False,True,False,False,435,356,297,247,warmup
-39.279895,562,707.727463,False,False,True,False,False,414,264,442,445,warmup
-36.940401,507,720.601545,False,False,True,False,False,450,236,454,491,warmup
-41.31954,985,745.448611,False,False,True,False,False,322,507,713,312,warmup
-34.4478,501,758.2458,False,False,True,False,False,318,260,353,0,warmup
-29.144065,510,771.271866,False,False,True,False,False,0,385,433,0,warmup
-30.421417,357,780.294008,False,False,True,False,False,190,198,264,0,warmup
-32.334901,482,792.578791,False,False,True,False,False,256,201,414,45,warmup
-34.756465,566,806.820379,False,False,True,False,False,416,385,470,31,warmup
-38.692707,608,823.096167,False,False,True,False,False,481,439,436,395,warmup
-44.886048,982,848.424043,False,False,True,False,False,781,586,545,623,warmup
-41.395196,674,865.740716,False,False,True,False,False,469,464,549,411,warmup
-55.889275,1248,897.934116,False,False,True,False,False,1124,500,934,460,warmup
-51.528799,1351,932.843184,False,False,True,False,False,1200,992,809,255,warmup
-30.182418,588,947.899731,False,False,True,False,False,0,374,498,13,warmup
-30.096094,407,958.381345,False,False,True,False,False,292,280,359,146,warmup
-46.485307,848,980.074218,False,False,True,False,False,775,637,607,684,warmup
-34.502155,534,992.187116,False,False,True,False,False,412,277,477,185,warmup
-37.872648,654,1006.898579,False,False,True,False,False,481,362,595,196,warmup
-26.070976,474,1017.49241,False,False,True,False,False,0,280,376,0,warmup
-31.642205,621,1031.456338,False,False,True,False,False,113,394,575,0,warmup
-28.954761,532,1043.527939,False,False,True,False,False,84,0,324,11,warmup
-30.831598,438,1053.699693,False,False,True,False,False,295,217,327,134,warmup
-48.590698,1086,1078.073796,False,False,True,False,False,446,846,1050,303,warmup
-31.175328,480,1089.277969,False,False,True,False,False,262,410,295,50,warmup
-31.113288,367,1097.563868,False,False,True,False,False,301,222,317,174,warmup
-32.751167,665,1112.652309,False,False,True,False,False,150,302,494,0,warmup
-44.020412,710,1129.15906,False,False,True,False,False,606,487,651,500,warmup
-39.79059,672,1144.202407,False,False,True,False,False,340,394,339,166,warmup
-37.093456,596,1157.553639,False,False,True,False,False,410,267,363,134,warmup
-34.636034,508,1168.953368,False,False,True,False,False,430,321,455,355,warmup
-31.787763,385,1177.552469,False,False,True,False,False,295,307,309,161,warmup
-31.594359,455,1187.828736,False,False,True,False,False,311,359,360,114,warmup
-39.762136,576,1200.94891,False,False,True,False,False,522,329,491,259,warmup
-34.727778,562,1214.489616,False,False,True,False,False,366,362,389,231,warmup
-28.764283,433,1224.348234,False,False,True,False,False,0,325,347,0,warmup
-28.368136,440,1234.313025,False,False,True,False,False,0,43,381,0,warmup
-44.950955,664,1294.32438,False,False,True,False,False,541,460,561,567,warmup
-38.072546,559,1307.919417,False,False,True,False,False,469,521,388,463,warmup
-31.877439,476,1318.674237,False,False,True,False,False,199,406,316,0,warmup
-28.149148,387,1327.364487,False,False,True,False,False,273,323,338,0,warmup
-38.723636,534,1339.588038,False,False,True,False,False,433,237,447,447,warmup
-34.52757,442,1349.655026,False,False,True,False,False,377,232,390,203,warmup
-29.660729,463,1359.933631,False,False,True,False,False,271,274,283,53,warmup
-31.777548,501,1371.47042,False,False,True,False,False,176,332,391,0,warmup
-36.67989,541,1384.022201,False,False,True,False,False,446,340,443,293,warmup
-29.118167,393,1393.299314,False,False,True,False,False,253,310,333,0,warmup
-34.309066,547,1405.644795,False,False,True,False,False,412,319,499,232,warmup
-60.395029,1358,1436.910174,False,False,True,False,False,1161,1062,836,639,warmup
-32.913098,409,1445.950905,False,False,True,False,False,301,266,331,225,warmup
-34.584732,539,1458.785989,False,False,True,False,False,298,361,413,0,warmup
-33.603037,626,1473.665126,False,False,True,False,False,196,432,437,56,warmup
-34.059853,411,1483.142196,False,False,True,False,False,304,299,347,142,warmup
-41.368751,803,1509.476792,False,False,True,False,False,0,667,387,0,warmup
-36.326921,607,1523.792098,False,False,True,False,False,278,430,483,15,warmup
-30.143186,401,1532.877698,False,False,True,False,False,290,0,319,189,warmup
-30.348726,494,1544.544361,False,False,True,False,False,364,228,359,0,warmup
-40.444925,647,1559.199697,False,False,True,False,False,556,150,555,398,warmup
-38.99159,790,1577.032427,False,False,True,False,False,678,488,648,294,warmup
-34.288609,560,1589.576223,False,False,True,False,False,478,386,490,212,warmup
-32.847248,595,1603.103819,False,False,True,False,False,324,0,465,0,warmup
-37.261531,667,1618.117957,False,False,True,False,False,485,478,396,284,warmup
-34.819576,460,1629.141825,False,False,True,False,False,389,188,380,379,warmup
-32.653669,492,1640.427753,False,False,True,False,False,301,62,431,150,warmup
