#{"t_start": 1786496135.982428, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-15.657744,965,8.774856,False,False,True,False,False,387,730,584,145,warmup
-1491.325169,1255,14.56253,False,False,True,False,False,621,723,749,522,warmup
-155.515711,984,19.111289,False,False,True,False,False,256,439,622,248,warmup
-1175.180742,852,23.029535,False,False,True,False,False,534,412,683,423,warmup
-1491.379671,899,27.196598,False,False,True,False,False,816,729,553,505,warmup
-7.587397,692,30.393571,False,False,True,False,False,129,116,464,71,warmup
-874.037097,1362,36.683958,False,False,True,False,False,916,1065,840,626,warmup
-433.194858,820,40.45548,False,False,True,False,False,675,379,479,259,warmup
-483.677885,840,44.377635,False,False,True,False,False,780,232,595,264,warmup
-12.389298,760,48.001201,False,False,True,False,False,436,608,467,127,warmup
-1398.851958,1011,52.653922,False,False,True,False,False,658,796,636,526,warmup
-1215.256579,850,56.573293,False,False,True,False,False,676,100,560,463,warmup
-2389.640579,2000,65.805508,False,False,False,True,False,1849,1780,0,1096,warmup
-8.199958,469,67.996132,False,False,True,False,False,0,0,406,0,warmup
-261.525482,645,70.955347,False,False,True,False,False,401,0,492,189,warmup
-1636.685993,973,75.418109,False,False,True,False,False,788,554,654,562,warmup
-1249.19987,1340,81.578186,False,False,True,False,False,1189,722,699,570,warmup
-10.978103,768,85.119051,False,False,True,False,False,150,454,513,117,warmup
-2893.752612,1818,93.629198,False,False,True,False,False,1486,1057,962,753,warmup
-9.383149,666,96.692337,False,False,True,False,False,63,305,503,34,warmup
-771.861825,727,113.267954,False,False,True,False,False,485,444,430,416,warmup
-1126.666835,1159,139.52989,False,False,True,False,False,734,407,759,633,warmup
-442.977702,455,149.826884,False,False,True,False,False,368,379,291,345,warmup
-9.922229,754,166.620813,False,False,True,False,False,0,414,297,0,warmup
-8.919376,445,176.741521,False,False,True,False,False,0,354,282,0,warmup
-8.622985,481,187.437857,False,False,True,False,False,0,254,348,0,warmup
-8.195894,438,197.296536,False,False,True,False,False,0,199,356,0,warmup
-8.374901,538,209.525589,False,False,True,False,False,0,153,415,0,warmup
-10.035995,438,219.502116,False,False,True,False,False,40,286,308,0,warmup
-11.008597,531,237.852877,False,False,True,False,False,348,303,479,0,nominal
-703.020525,690,256.498214,False,False,True,False,False,556,452,601,497,nominal
-11.662066,469,271.205024,False,False,True,False,False,80,209,258,17,nominal
-155.305465,602,287.953887,False,False,True,False,False,266,415,334,156,nominal
-8.987417,341,297.687033,False,False,True,False,False,10,231,293,0,nominal
-11.218304,647,313.690037,False,False,True,False,False,148,497,430,0,nominal
-566.502948,625,329.761151,False,False,True,False,False,475,463,554,419,nominal
-10.375914,491,342.695036,False,False,True,False,False,275,368,321,0,nominal
-15.808803,919,367.752258,False,False,True,False,False,408,734,464,101,nominal
-13.035095,533,382.166088,False,False,True,False,False,246,335,427,122,nominal
-10.032757,512,395.456905,False,False,True,False,False,131,293,308,0,nominal
-10.847543,383,405.360466,False,False,True,False,False,63,315,272,0,nominal
-12.372623,406,415.925901,False,False,True,False,False,38,297,332,0,nominal
-114.108989,482,428.293737,False,False,True,False,False,332,331,405,150,nominal
-9.158693,357,437.475252,False,False,True,False,False,50,194,287,0,nominal
-9.510127,336,445.960124,False,False,True,False,False,0,209,234,0,nominal
-8.578987,397,455.936821,False,False,True,False,False,124,208,273,0,nominal
-9.126861,511,468.766663,False,False,True,False,False,72,135,450,0,nominal
-10.561725,407,479.033527,False,False,True,False,False,0,211,313,0,nominal
-69.100451,634,495.286435,False,False,True,False,False,516,466,362,70,nominal
-11.215578,422,505.803308,False,False,True,False,False,128,330,332,0,nominal
-9.633998,432,516.599208,False,False,True,False,False,0,272,261,0,nominal
-12.753228,488,528.770522,False,False,True,False,False,123,375,366,40,nominal
-18.919488,372,537.173964,False,False,True,False,False,290,321,291,94,nominal
-12.212584,550,549.611768,False,False,True,False,False,0,510,284,0,nominal
-19.796719,514,561.028313,False,False,True,False,False,348,210,469,140,nominal
-16.263998,618,574.87966,False,False,True,False,False,444,517,372,105,nominal
-28.06627,500,586.311727,False,False,True,False,False,334,308,448,109,nominal
-309.980134,683,602.055825,False,False,True,False,False,580,404,660,271,nominal
-77.751608,1025,625.346394,False,False,True,False,False,736,761,738,177,nominal
-663.615968,672,640.503762,False,False,True,False,False,488,446,582,410,nominal
-147.934349,613,654.419072,False,False,True,False,False,512,408,570,249,nominal
-319.9669,619,668.302765,False,False,True,False,False,402,526,422,173,nominal
-10.034543,289,675.003929,False,False,True,False,False,0,233,236,0,nominal
-8.369174,428,684.694471,False,False,True,False,False,0,243,321,0,nominal
-9.018463,395,693.755255,False,False,True,False,False,38,227,277,0,nominal
-338.614625,635,707.765678,False,False,True,False,False,293,356,479,220,nominal
-7.795312,409,716.944465,False,False,True,False,False,0,199,312,0,nominal
-14.73616,508,729.009969,False,False,True,False,False,284,374,440,26,nominal
-17.225061,441,738.89591,False,False,True,False,False,256,314,360,30,nominal
-2140.788388,1222,766.531045,False,False,True,False,False,862,499,992,749,nominal
-710.538399,674,781.882516,False,False,True,False,False,492,609,486,291,nominal
-9.926821,380,790.307758,False,False,True,False,False,188,311,312,0,nominal
-8.757623,439,800.193306,False,False,True,False,False,208,210,245,0,nominal
-19.503213,373,808.490504,False,False,True,False,False,173,198,283,101,nominal
-106.653651,556,820.902644,False,False,True,False,False,285,479,459,254,nominal
-14.525493,536,871.898153,False,False,True,False,False,347,307,314,88,nominal
-364.599233,603,885.963566,False,False,True,False,False,418,486,348,215,nominal
-358.000223,426,895.472166,False,False,True,False,False,300,271,291,210,nominal
-11.796276,737,912.176361,False,False,True,False,False,322,383,521,123,nominal
-11.618985,468,922.775448,False,False,True,False,False,179,190,314,125,nominal
-161.452575,419,932.275913,False,False,True,False,False,353,314,398,220,nominal
-561.486929,531,944.270237,False,False,True,False,False,387,366,476,376,nominal
-7.736223,506,955.852506,False,False,True,False,False,36,152,424,0,nominal
-48.177185,457,966.350084,False,False,True,False,False,355,229,329,184,nominal
-10.445563,383,974.738631,False,False,True,False,False,131,103,280,51,nominal
-915.057565,667,990.152261,False,False,True,False,False,458,384,570,384,nominal
-6.907133,289,996.563954,False,False,True,False,False,0,0,270,0,nominal
-289.676152,960,1019.258341,False,False,True,False,False,878,648,758,329,nominal
-23.913505,435,1029.365734,False,False,True,False,False,238,242,375,123,nominal
-427.512997,492,1040.560099,False,False,True,False,False,338,301,460,366,nominal
-11.260448,772,1057.929054,False,False,True,False,False,98,377,621,0,nominal
-1091.194791,1386,1089.329106,False,False,True,False,False,914,1133,709,488,nominal
-150.88462,430,1098.878158,False,False,True,False,False,328,278,357,182,nominal
-17.233948,536,1111.058574,False,False,True,False,False,186,287,458,110,nominal
-13.834589,617,1125.198364,False,False,True,False,False,190,593,463,134,nominal
-12.157922,496,1136.49911,False,False,True,False,False,247,367,446,0,nominal
-84.25113,496,1148.010422,False,False,True,False,False,325,291,412,104,nominal
-14.681572,737,1164.777035,False,False,True,False,False,270,524,526,45,nominal
-15.488782,550,1177.265203,False,False,True,False,False,291,368,352,49,nominal
-162.381028,962,1199.913881,False,False,True,False,False,643,736,622,354,nominal
-14.335481,368,1208.31416,False,False,True,False,False,185,223,303,71,nominal
-763.745606,533,1220.518411,False,False,True,False,False,426,431,495,400,nominal
