#{"t_start": 1786506397.567929, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-4337.422229,1427,11.615751,False,False,True,False,False,937,1117,417,213,warmup
-3621.081117,2000,21.673918,False,False,False,True,False,1362,1320,101,137,warmup
-5563.893273,1298,28.155226,False,False,True,False,False,831,722,461,257,warmup
-40877.670505,1109,33.676877,False,False,True,False,False,726,839,673,461,warmup
-13283.360847,1156,39.4126,False,False,True,False,False,1087,1048,242,226,warmup
-333.227225,1174,45.234069,False,False,True,False,False,412,687,368,0,warmup
-46261.238206,1750,53.97088,False,False,True,False,False,1577,1149,483,644,warmup
-73390.646328,1256,60.343321,False,False,True,False,False,1127,1129,0,599,warmup
-103722.903358,1711,69.248887,False,False,True,False,False,1660,882,686,678,warmup
-338.673411,910,73.799731,False,False,True,False,False,599,234,334,0,warmup
-115438.199677,2000,83.867178,False,False,False,True,False,1847,1795,440,1175,warmup
-30045.032205,926,88.476211,False,False,True,False,False,785,541,420,368,warmup
-147390.883823,1746,97.262733,False,False,True,False,False,1613,1617,722,1059,warmup
-263.582217,783,101.167567,False,False,True,False,False,0,339,591,0,warmup
-204.084169,792,106.346326,False,False,True,False,False,80,0,544,0,warmup
-15412.813615,361,115.385265,False,False,True,False,False,249,10,292,266,warmup
-14017.453235,526,128.910666,False,False,True,False,False,415,383,376,313,warmup
-22411.19913,474,141.044903,False,False,True,False,False,312,234,292,326,warmup
-7929.50108,872,163.212495,False,False,True,False,False,705,213,590,257,warmup
-272.156826,370,172.677821,False,False,True,False,False,0,0,298,0,warmup
-295.460239,596,188.058989,False,False,True,False,False,282,304,516,0,warmup
-38920.886527,558,202.528796,False,False,True,False,False,323,365,470,308,warmup
-321.657543,387,212.367543,False,False,True,False,False,114,139,348,0,warmup
-401.816882,814,233.986638,False,False,True,False,False,167,457,635,0,warmup
-81356.951839,1510,274.954438,False,False,True,False,False,617,882,772,720,warmup
-50925.999519,1253,306.642024,False,False,True,False,False,642,686,735,500,warmup
-469.468762,932,330.661316,False,False,True,False,False,110,624,837,108,warmup
-492.019389,959,354.957376,False,False,True,False,False,119,607,441,0,warmup
-320.818748,675,372.216539,False,False,True,False,False,45,278,551,12,warmup
-32177.142147,784,392.213249,False,False,True,False,False,555,433,703,385,warmup
-55132.651328,572,406.481351,False,False,True,False,False,478,116,550,549,warmup
-410.607537,700,424.092033,False,False,True,False,False,281,393,368,36,warmup
-347.022497,643,440.054496,False,False,True,False,False,0,461,318,0,warmup
-332.422175,600,455.408148,False,False,True,False,False,0,387,356,0,warmup
-320.014069,631,471.352264,False,False,True,False,False,0,367,472,0,warmup
-14752.460504,440,482.919219,False,False,True,False,False,323,121,347,371,warmup
-511.859631,1056,508.038261,False,False,True,False,False,0,611,366,4,warmup
-46330.298543,563,520.96469,False,False,True,False,False,505,417,469,549,warmup
-63964.555088,1771,566.580265,False,False,True,False,False,1336,980,1595,858,warmup
-25701.389005,524,578.572928,False,False,True,False,False,419,207,484,358,warmup
-77879.131912,911,599.623685,False,False,True,False,False,786,490,698,821,warmup
-358.967048,805,617.966974,False,False,True,False,False,213,461,696,0,warmup
-317.80856,667,632.784825,False,False,True,False,False,509,316,452,0,warmup
-20803.432273,818,651.239238,False,False,True,False,False,741,343,691,243,warmup
-3875.723058,838,670.606223,False,False,True,False,False,413,451,670,171,warmup
-8677.041612,810,689.079683,False,False,True,False,False,588,489,452,236,warmup
-7118.723189,601,702.498122,False,False,True,False,False,303,331,462,184,warmup
-613.894546,692,718.084922,False,False,True,False,False,578,320,450,4,warmup
-33615.679206,686,733.872748,False,False,True,False,False,570,156,380,408,warmup
-5795.916842,880,753.673755,False,False,True,False,False,674,593,681,188,warmup
-266.324657,612,767.582103,False,False,True,False,False,95,128,570,0,warmup
-64121.496273,1309,798.026601,False,False,True,False,False,1228,519,1264,738,warmup
-249890.283281,1941,852.634668,False,False,True,False,False,1673,1178,1273,746,warmup
-13917.685306,1290,888.64803,False,False,True,False,False,937,267,731,280,warmup
-226.667327,637,907.8756,False,False,True,False,False,0,83,406,0,warmup
-228.181388,500,922.58822,False,False,True,False,False,121,104,309,0,warmup
-273.109663,499,935.702332,False,False,True,False,False,174,0,472,0,warmup
-39156.021032,1951,981.83449,False,False,True,False,False,1354,1783,1462,410,warmup
-300.661493,571,997.967026,False,False,True,False,False,172,415,358,0,warmup
-735.200278,678,1018.859804,False,False,True,False,False,573,158,473,116,warmup
-2585.885265,532,1037.545138,False,False,True,False,False,416,233,503,123,warmup
-272.464853,588,1058.706698,False,False,True,False,False,166,269,538,0,warmup
-21081.167819,813,1086.607717,False,False,True,False,False,534,570,540,295,warmup
-13291.280646,726,1106.560626,False,False,True,False,False,545,229,465,233,warmup
-33263.213209,545,1119.713503,False,False,True,False,False,489,407,525,384,warmup
-294.563188,457,1129.848266,False,False,True,False,False,291,363,415,0,warmup
-245.120646,409,1139.274639,False,False,True,False,False,0,96,271,0,warmup
-306.43271,562,1151.933354,False,False,True,False,False,172,281,463,0,warmup
-434.127172,1019,1175.001109,False,False,True,False,False,627,490,639,64,warmup
-426.21489,868,1194.396552,False,False,True,False,False,19,478,455,0,warmup
-242.329248,389,1203.267069,False,False,True,False,False,0,145,365,0,warmup
-453.181247,473,1213.953135,False,False,True,False,False,242,302,389,0,warmup
-16028.839018,514,1225.398002,False,False,True,False,False,354,223,464,212,warmup
-36959.217781,1501,1260.019727,False,False,True,False,False,1083,819,1112,490,warmup
-37770.64261,1082,1285.218305,False,False,True,False,False,1014,373,404,391,warmup
-318.651435,659,1300.152153,False,False,True,False,False,200,58,396,64,warmup
-44109.817896,531,1312.132563,False,False,True,False,False,407,238,477,425,warmup
-65131.886168,1005,1334.602652,False,False,True,False,False,776,427,704,540,warmup
-9209.250859,566,1347.52278,False,False,True,False,False,397,130,420,196,warmup
-13758.228234,545,1359.82507,False,False,True,False,False,473,123,464,243,warmup
-317.26652,549,1372.117926,False,False,True,False,False,101,22,423,0,warmup
-278.727269,575,1384.911367,False,False,True,False,False,327,134,293,0,warmup
-74864.861379,704,1400.723547,False,False,True,False,False,626,446,601,604,warmup
-65675.65968,968,1422.405145,False,False,True,False,False,863,613,957,544,warmup
-45585.295801,1042,1446.153554,False,False,True,False,False,866,464,628,566,warmup
