#{"t_start": 1786503040.2791843, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-4435.328303,1427,10.412437,False,False,True,False,False,937,1117,417,213,warmup
-3685.866359,2000,27.080875,False,False,False,True,False,1362,1320,101,137,warmup
-5669.227649,1298,37.58098,False,False,True,False,False,831,722,461,257,warmup
-41044.338158,1109,46.835026,False,False,True,False,False,726,839,673,461,warmup
-13438.728794,1156,56.632829,False,False,True,False,False,1087,1048,242,226,warmup
-492.241805,1174,65.67573,False,False,True,False,False,412,687,368,0,warmup
-46283.496924,1750,74.215345,False,False,True,False,False,1577,1149,483,644,warmup
-73518.668388,1256,80.268611,False,False,True,False,False,1127,1129,0,599,warmup
-103760.584086,1711,88.775995,False,False,True,False,False,1660,882,686,678,warmup
-542.631507,910,93.163374,False,False,True,False,False,599,234,334,0,warmup
-115503.417102,2000,102.790745,False,False,False,True,False,1847,1795,440,1175,warmup
-30237.54654,926,107.213346,False,False,True,False,False,785,541,420,368,warmup
-147409.288854,1746,115.66742,False,False,True,False,False,1613,1617,722,1059,warmup
-543.187844,783,119.446602,False,False,True,False,False,0,339,591,0,warmup
-409.784708,792,124.618289,False,False,True,False,False,80,0,544,0,warmup
-16940.182266,362,133.29934,False,False,True,False,False,250,12,294,268,warmup
-9330.679761,654,148.794162,False,False,True,False,False,506,513,510,307,warmup
-17274.679507,554,161.828454,False,False,True,False,False,414,281,357,362,warmup
-3214.705859,550,174.934338,False,False,True,False,False,389,310,303,151,warmup
-607.546724,519,186.503818,False,False,True,False,False,0,134,346,0,warmup
-34614.350255,605,200.193474,False,False,True,False,False,443,280,384,495,warmup
-703.712153,678,215.64133,False,False,True,False,False,0,172,278,0,warmup
-63508.24464,711,231.475548,False,False,True,False,False,632,431,569,683,warmup
-22167.384498,831,250.222463,False,False,True,False,False,425,408,520,335,warmup
-25535.067512,722,266.557205,False,False,True,False,False,629,281,527,321,warmup
-19146.108492,993,293.487807,False,False,True,False,False,357,615,404,413,warmup
-714.425894,543,307.604977,False,False,True,False,False,0,284,464,0,warmup
-727.025225,603,322.356602,False,False,True,False,False,0,283,555,0,warmup
-632.428903,536,335.428905,False,False,True,False,False,0,255,488,0,warmup
-595.471315,512,348.171145,False,False,True,False,False,0,359,482,0,warmup
-109711.07289,885,370.352662,False,False,True,False,False,772,382,806,667,warmup
-734.880377,694,387.280785,False,False,True,False,False,15,447,639,140,warmup
-534.253498,945,410.123252,False,False,True,False,False,0,608,568,0,warmup
-572.163762,386,419.436585,False,False,True,False,False,0,66,320,0,warmup
-614.625694,333,427.598377,False,False,True,False,False,0,52,315,0,warmup
-609.719308,331,435.565933,False,False,True,False,False,181,107,300,0,warmup
-649.320634,330,443.546355,False,False,True,False,False,0,89,278,0,warmup
-573.229097,417,453.617017,False,False,True,False,False,159,158,397,0,warmup
-608.849489,432,464.143744,False,False,True,False,False,0,303,327,0,warmup
-15418.389678,438,474.852822,False,False,True,False,False,338,341,407,312,warmup
-545.207162,545,487.5868,False,False,True,False,False,0,430,372,0,warmup
-724.521976,314,494.949898,False,False,True,False,False,70,161,281,0,warmup
-614.23689,399,504.191489,False,False,True,False,False,119,175,322,0,warmup
-1339.016351,530,516.694176,False,False,True,False,False,438,228,354,47,warmup
-614.082669,1134,543.268421,False,False,True,False,False,619,827,626,0,warmup
-2297.518793,933,565.647954,False,False,True,False,False,509,663,567,194,warmup
-27473.737908,766,583.868717,False,False,True,False,False,665,454,557,412,warmup
-583.335904,569,597.396794,False,False,True,False,False,0,277,414,0,warmup
-12643.01633,1065,622.523606,False,False,True,False,False,935,719,879,334,warmup
-57059.696705,1043,646.850532,False,False,True,False,False,677,635,700,703,warmup
-28304.564186,595,661.31164,False,False,True,False,False,383,413,511,323,warmup
-13127.907346,1421,696.347834,False,False,True,False,False,1066,781,917,445,warmup
-10179.992655,380,705.169368,False,False,True,False,False,331,231,348,213,warmup
-664.109214,817,724.435033,False,False,True,False,False,121,573,550,0,warmup
-24816.24168,586,738.219608,False,False,True,False,False,507,295,442,418,warmup
-5047.388072,833,757.931679,False,False,True,False,False,513,464,489,198,warmup
-9125.1204,815,776.989621,False,False,True,False,False,206,467,570,211,warmup
-11853.671756,517,789.156979,False,False,True,False,False,462,304,414,192,warmup
-28655.056782,1603,826.954767,False,False,True,False,False,1160,1104,1165,461,warmup
-41011.218595,998,850.263326,False,False,True,False,False,878,496,469,616,warmup
-569.761966,579,866.038306,False,False,True,False,False,249,329,511,0,warmup
-763.558128,665,881.41855,False,False,True,False,False,104,298,383,114,warmup
-526.712581,759,902.443379,False,False,True,False,False,0,282,562,0,warmup
-575.540878,477,913.504155,False,False,True,False,False,0,268,356,0,warmup
-13377.066042,558,926.249855,False,False,True,False,False,500,451,532,257,warmup
-32415.107157,544,938.789692,False,False,True,False,False,463,271,492,396,warmup
-84522.940898,1181,965.964303,False,False,True,False,False,727,821,960,500,warmup
-4328.446263,824,985.007796,False,False,True,False,False,705,496,625,252,warmup
-947.373506,893,1005.649044,False,False,True,False,False,541,613,575,0,warmup
-669.154003,436,1015.566654,False,False,True,False,False,0,250,334,0,warmup
-745.065837,405,1025.168373,False,False,True,False,False,0,238,358,0,warmup
-12469.903339,699,1040.948498,False,False,True,False,False,522,594,580,164,warmup
-757.397723,496,1052.271616,False,False,True,False,False,178,364,398,46,warmup
-77655.99661,896,1072.756925,False,False,True,False,False,642,413,755,643,warmup
-1785.19747,481,1083.739134,False,False,True,False,False,330,388,344,106,warmup
-617.130292,436,1093.73966,False,False,True,False,False,0,177,347,0,warmup
-689.47932,416,1103.265125,False,False,True,False,False,0,292,332,0,warmup
-570.920037,436,1113.473349,False,False,True,False,False,0,192,362,0,warmup
-7867.380005,1002,1136.374083,False,False,True,False,False,525,759,854,286,warmup
-640.631172,465,1146.816349,False,False,True,False,False,144,304,367,0,warmup
-629.779279,391,1155.550829,False,False,True,False,False,0,164,304,0,warmup
-712.390332,375,1164.018187,False,False,True,False,False,0,170,318,0,warmup
-626.791173,669,1179.288865,False,False,True,False,False,0,468,353,0,warmup
-627.882103,682,1194.722736,False,False,True,False,False,425,412,436,0,warmup
-5870.501868,510,1206.149534,False,False,True,False,False,252,312,402,180,warmup
-817.559976,551,1218.509135,False,False,True,False,False,393,236,461,0,warmup
-12436.952292,561,1231.066933,False,False,True,False,False,405,404,476,220,warmup
-632.38171,454,1241.254613,False,False,True,False,False,0,197,333,0,warmup
-836.620911,1205,1268.607963,False,False,True,False,False,533,392,701,0,warmup
-97670.616456,1003,1291.279218,False,False,True,False,False,835,472,725,692,warmup
-673.370865,527,1303.088969,False,False,True,False,False,0,254,422,0,warmup
-900.606795,460,1313.458986,False,False,True,False,False,310,313,349,39,warmup
-35469.361418,587,1327.348035,False,False,True,False,False,366,325,441,309,warmup
-47692.927601,953,1348.809046,False,False,True,False,False,865,286,721,582,warmup
-4544.049053,489,1359.860197,False,False,True,False,False,403,209,361,191,warmup
-35307.013033,505,1371.070005,False,False,True,False,False,420,273,411,441,warmup
-2507.145609,534,1383.265995,False,False,True,False,False,416,321,508,133,warmup
-16644.7019,604,1397.280048,False,False,True,False,False,477,334,500,330,warmup
-16175.387229,455,1407.433881,False,False,True,False,False,408,347,342,356,warmup
