#{"t_start": 1786504659.3160303, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-150.270732,1427,11.1982,False,False,True,False,False,937,1117,417,213,warmup
-124.854238,2000,21.477424,False,False,False,True,False,1362,1320,101,137,warmup
-191.069323,1298,28.136635,False,False,True,False,False,831,722,461,257,warmup
-1370.442282,1109,34.166586,False,False,True,False,False,726,839,673,461,warmup
-450.213703,1156,40.087437,False,False,True,False,False,1087,1048,242,226,warmup
-18.812287,1174,46.114668,False,False,True,False,False,412,687,368,0,warmup
-1545.150441,1750,55.126673,False,False,True,False,False,1577,1149,483,644,warmup
-2452.911976,1256,61.700948,False,False,True,False,False,1127,1129,0,599,warmup
-3461.342403,1711,70.643609,False,False,True,False,False,1660,882,686,678,warmup
-20.268907,910,75.358464,False,False,True,False,False,599,234,334,0,warmup
-3852.381556,2000,85.694941,False,False,False,True,False,1847,1795,440,1175,warmup
-1010.025329,926,90.511454,False,False,True,False,False,785,541,420,368,warmup
-4915.859106,1746,99.568636,False,False,True,False,False,1613,1617,722,1059,warmup
-20.692749,783,103.625885,False,False,True,False,False,0,339,591,0,warmup
-15.719307,792,108.83933,False,False,True,False,False,80,0,544,0,warmup
-729.184656,781,129.748445,False,False,True,False,False,637,438,449,306,warmup
-35.425954,1859,181.035948,False,False,True,False,False,784,1162,910,201,warmup
-19.674682,591,197.45205,False,False,True,False,False,0,124,511,0,warmup
-18.777557,1315,233.30723,False,False,True,False,False,339,709,513,0,warmup
-26.034438,903,257.814739,False,False,True,False,False,0,620,638,0,warmup
-20.185544,823,280.132651,False,False,True,False,False,0,387,444,0,warmup
-2503.312389,1573,323.531162,False,False,True,False,False,741,976,858,643,warmup
-617.517359,563,338.840048,False,False,True,False,False,479,175,473,279,warmup
-22.779567,738,359.245517,False,False,True,False,False,247,311,474,0,warmup
-24.972529,1082,388.336996,False,False,True,False,False,4,583,794,0,warmup
-51.628389,901,412.479731,False,False,True,False,False,372,480,657,92,warmup
-28.096773,706,431.81188,False,False,True,False,False,617,312,355,41,warmup
-23.113427,669,449.569189,False,False,True,False,False,354,74,380,0,warmup
-21.080826,419,460.817562,False,False,True,False,False,0,0,358,0,warmup
-26.257307,1015,487.999026,False,False,True,False,False,531,384,595,186,warmup
-770.172549,1041,516.312471,False,False,True,False,False,892,669,475,473,warmup
-2064.185996,1311,550.463489,False,False,True,False,False,1222,772,907,662,warmup
-318.089787,941,575.27559,False,False,True,False,False,494,379,658,177,warmup
-21.462452,453,587.01782,False,False,True,False,False,0,149,414,0,warmup
-19.463407,581,602.397954,False,False,True,False,False,132,312,494,0,warmup
-22.267407,394,612.942251,False,False,True,False,False,141,143,342,0,warmup
-2133.183677,1536,651.917258,False,False,True,False,False,1427,494,1248,534,warmup
-565.209851,456,663.753043,False,False,True,False,False,404,139,438,227,warmup
-26.009408,635,680.818029,False,False,True,False,False,442,226,501,0,warmup
-55.353106,815,701.610357,False,False,True,False,False,695,394,470,162,warmup
-25.596276,400,711.942019,False,False,True,False,False,0,69,343,0,warmup
-35.183789,609,727.394447,False,False,True,False,False,563,113,438,0,warmup
-21.169318,824,749.025736,False,False,True,False,False,555,477,472,0,warmup
-3596.316457,1802,796.412372,False,False,True,False,False,1718,1048,1467,694,warmup
-1105.603147,753,816.00582,False,False,True,False,False,671,418,648,412,warmup
-32.479,1265,849.437876,False,False,True,False,False,420,645,1014,90,warmup
-38.551034,774,869.423117,False,False,True,False,False,323,485,385,23,warmup
-25.279188,305,877.191714,False,False,True,False,False,0,54,280,0,warmup
-1940.74341,917,900.997182,False,False,True,False,False,788,728,482,717,warmup
-28.956903,480,913.851956,False,False,True,False,False,45,216,363,0,warmup
-26.244401,663,931.313652,False,False,True,False,False,205,173,609,0,warmup
-7999.493715,2000,983.325961,False,False,False,True,False,1525,1130,1338,994,warmup
-65.774853,959,1007.847273,False,False,True,False,False,522,393,455,244,warmup
-61.845903,512,1020.911487,False,False,True,False,False,411,225,457,0,warmup
-5231.022232,1085,1049.223952,False,False,True,False,False,994,745,852,662,warmup
-23.669713,538,1063.001912,False,False,True,False,False,0,332,406,0,warmup
-22.489592,610,1078.100374,False,False,True,False,False,0,246,357,0,warmup
-53.325689,321,1086.025517,False,False,True,False,False,255,0,280,77,warmup
-3714.987466,902,1108.634047,False,False,True,False,False,858,479,485,853,warmup
-20.534899,563,1123.504254,False,False,True,False,False,442,111,493,0,warmup
-108.316854,2000,1174.796643,False,False,False,True,False,895,1231,1418,231,warmup
-23.615839,690,1192.183937,False,False,True,False,False,0,0,611,0,warmup
-25.07498,620,1208.562306,False,False,True,False,False,0,107,512,0,warmup
-26.253175,407,1219.287333,False,False,True,False,False,0,260,308,0,warmup
-25.075696,725,1237.914243,False,False,True,False,False,128,519,520,0,warmup
-93.490959,998,1263.814271,False,False,True,False,False,688,588,372,186,warmup
-25.573315,324,1272.144958,False,False,True,False,False,0,182,279,0,warmup
-23.244818,533,1286.404147,False,False,True,False,False,89,347,476,0,warmup
-2182.608258,827,1307.015046,False,False,True,False,False,551,526,588,574,warmup
-615.672498,742,1324.923965,False,False,True,False,False,273,532,613,285,warmup
-28.834563,497,1337.185907,False,False,True,False,False,0,318,390,0,warmup
-609.700114,767,1354.988906,False,False,True,False,False,635,293,525,373,warmup
-467.705795,1264,1388.899926,False,False,True,False,False,713,835,1061,279,warmup
-2280.910888,1001,1415.968369,False,False,True,False,False,785,705,570,817,warmup
-1570.531585,770,1436.004544,False,False,True,False,False,707,369,653,494,warmup
-259.596248,709,1454.234057,False,False,True,False,False,201,365,581,187,warmup
-1818.728531,1080,1482.296952,False,False,True,False,False,758,594,876,637,warmup
-27.20933,429,1493.474325,False,False,True,False,False,42,223,276,0,warmup
-234.991726,1430,1531.265504,False,False,True,False,False,521,704,1017,252,warmup
