#{"t_start": 1786467501.3339734, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-15.657744,965,8.178405,False,False,True,False,False,387,730,584,145,warmup
-1491.325169,1255,13.915431,False,False,True,False,False,621,723,749,522,warmup
-155.515711,984,18.523944,False,False,True,False,False,256,439,622,248,warmup
-1175.180742,852,22.417987,False,False,True,False,False,534,412,683,423,warmup
-1491.379671,899,26.531689,False,False,True,False,False,816,729,553,505,warmup
-7.587397,692,29.68477,False,False,True,False,False,129,116,464,71,warmup
-874.037097,1362,35.870906,False,False,True,False,False,916,1065,840,626,warmup
-433.194858,820,39.617296,False,False,True,False,False,675,379,479,259,warmup
-483.677885,840,43.445744,False,False,True,False,False,780,232,595,264,warmup
-12.389298,760,46.908711,False,False,True,False,False,436,608,467,127,warmup
-1398.851958,1011,51.666893,False,False,True,False,False,658,796,636,526,warmup
-1215.256579,850,55.62966,False,False,True,False,False,676,100,560,463,warmup
-2389.640579,2000,65.171727,False,False,False,True,False,1849,1780,0,1096,warmup
-8.199958,469,67.413974,False,False,True,False,False,0,0,406,0,warmup
-261.525482,645,70.526889,False,False,True,False,False,401,0,492,189,warmup
-1636.685993,973,75.002899,False,False,True,False,False,788,554,654,562,warmup
-1249.19987,1340,81.143937,False,False,True,False,False,1189,722,699,570,warmup
-10.978103,768,84.655364,False,False,True,False,False,150,454,513,117,warmup
-2893.752612,1818,92.954713,False,False,True,False,False,1486,1057,962,753,warmup
-9.383149,666,95.98488,False,False,True,False,False,63,305,503,34,warmup
-771.861825,727,112.661618,False,False,True,False,False,485,444,430,416,warmup
-1126.666835,1159,138.552524,False,False,True,False,False,734,407,759,633,warmup
-442.977702,455,149.078213,False,False,True,False,False,368,379,291,345,warmup
-9.922229,754,166.244623,False,False,True,False,False,0,414,297,0,warmup
-8.919376,445,176.531667,False,False,True,False,False,0,354,282,0,warmup
-8.622985,481,188.266417,False,False,True,False,False,0,254,348,0,warmup
-8.195894,438,198.430451,False,False,True,False,False,0,199,356,0,warmup
-8.374901,538,210.633554,False,False,True,False,False,0,153,415,0,warmup
-10.035995,438,220.695237,False,False,True,False,False,40,286,308,0,warmup
-11.008597,531,239.472286,False,False,True,False,False,348,303,479,0,nominal
-703.020525,690,255.454728,False,False,True,False,False,556,452,601,497,nominal
-11.662066,469,266.075012,False,False,True,False,False,80,209,258,17,nominal
-155.305465,602,279.697032,False,False,True,False,False,266,415,334,156,nominal
-8.987417,341,287.524653,False,False,True,False,False,10,231,293,0,nominal
-11.218304,647,302.617429,False,False,True,False,False,148,497,430,0,nominal
-566.502948,625,316.720909,False,False,True,False,False,475,463,554,419,nominal
-10.375914,491,327.718759,False,False,True,False,False,275,368,321,0,nominal
