#{"t_start": 1786501508.9069889, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-150.270732,1427,9.567109,False,False,True,False,False,937,1117,417,213,warmup
-124.854238,2000,18.869965,False,False,False,True,False,1362,1320,101,137,warmup
-191.069323,1298,24.872271,False,False,True,False,False,831,722,461,257,warmup
-1370.442282,1109,29.989291,False,False,True,False,False,726,839,673,461,warmup
-450.213703,1156,35.360275,False,False,True,False,False,1087,1048,242,226,warmup
-18.812287,1174,40.755384,False,False,True,False,False,412,687,368,0,warmup
-1545.150441,1750,48.806832,False,False,True,False,False,1577,1149,483,644,warmup
-2452.911976,1256,54.599797,False,False,True,False,False,1127,1129,0,599,warmup
-3461.342403,1711,62.596569,False,False,True,False,False,1660,882,686,678,warmup
-20.268907,910,66.865263,False,False,True,False,False,599,234,334,0,warmup
-3852.381556,2000,76.097352,False,False,False,True,False,1847,1795,440,1175,warmup
-1010.025329,926,80.373818,False,False,True,False,False,785,541,420,368,warmup
-4915.859106,1746,88.475711,False,False,True,False,False,1613,1617,722,1059,warmup
-20.692749,783,92.084217,False,False,True,False,False,0,339,591,0,warmup
-15.7193,792,96.702934,False,False,True,False,False,80,0,544,0,warmup
-496.00422,752,113.866427,False,False,True,False,False,608,401,428,212,warmup
-45.139515,1763,153.99647,False,False,True,False,False,661,960,354,283,warmup
-21.108639,817,172.980104,False,False,True,False,False,53,317,646,0,warmup
-1493.753535,1473,206.401814,False,False,True,False,False,974,922,341,528,warmup
-30.163447,586,219.906331,False,False,True,False,False,189,78,361,67,warmup
-1467.677497,849,239.00582,False,False,True,False,False,415,489,455,398,warmup
-22.44468,1329,269.108185,False,False,True,False,False,0,986,806,144,warmup
-1728.340031,770,286.286574,False,False,True,False,False,673,541,454,727,warmup
-19.125186,729,302.905055,False,False,True,False,False,451,130,348,0,warmup
-99.355041,704,318.732787,False,False,True,False,False,508,423,374,192,warmup
-20.801762,627,333.128962,False,False,True,False,False,0,318,483,0,warmup
-53.429083,1200,360.797092,False,False,True,False,False,306,718,669,197,warmup
-24.721344,708,377.372133,False,False,True,False,False,195,395,614,0,warmup
-41.353904,796,396.241357,False,False,True,False,False,135,477,486,150,warmup
-918.285962,801,414.899355,False,False,True,False,False,271,120,449,284,warmup
-28.041026,630,429.27432,False,False,True,False,False,225,317,364,120,warmup
-21.002378,534,441.6264,False,False,True,False,False,3,239,359,0,warmup
-24.722988,722,458.015179,False,False,True,False,False,226,209,486,44,warmup
-19.962711,897,478.486807,False,False,True,False,False,75,348,689,122,warmup
