#{"t_start": 1786500024.0283346, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-26.206541,965,7.482299,False,False,True,False,False,387,730,584,145,warmup
-1497.666574,1255,13.267739,False,False,True,False,False,621,723,749,522,warmup
-165.983843,984,18.622497,False,False,True,False,False,256,439,622,248,warmup
-1187.515088,852,22.659114,False,False,True,False,False,534,412,683,423,warmup
-1503.862859,899,26.79758,False,False,True,False,False,816,729,553,505,warmup
-18.152581,692,30.054696,False,False,True,False,False,129,116,464,71,warmup
-880.432058,1362,36.38028,False,False,True,False,False,916,1065,840,626,warmup
-443.504263,820,40.220157,False,False,True,False,False,675,379,479,259,warmup
-494.87613,840,44.104871,False,False,True,False,False,780,232,595,264,warmup
-23.341572,760,47.666689,False,False,True,False,False,436,608,467,127,warmup
-1408.362654,1011,52.327545,False,False,True,False,False,658,796,636,526,warmup
-1228.035471,850,56.24844,False,False,True,False,False,676,100,560,463,warmup
-2389.640579,2000,65.72124,False,False,False,True,False,1849,1780,0,1096,warmup
-21.104958,469,67.904602,False,False,True,False,False,0,0,406,0,warmup
-275.510751,645,71.050831,False,False,True,False,False,401,0,492,189,warmup
-1647.229959,973,75.713892,False,False,True,False,False,788,554,654,562,warmup
-1255.905527,1340,82.870411,False,False,True,False,False,1189,722,699,570,warmup
-21.28107,768,87.043645,False,False,True,False,False,150,454,513,117,warmup
-2895.558687,1818,95.478116,False,False,True,False,False,1486,1057,962,753,warmup
-21.886281,666,98.567172,False,False,True,False,False,63,305,503,34,warmup
-634.210257,684,113.540529,False,False,True,False,False,450,498,404,379,warmup
-718.062944,758,130.118787,False,False,True,False,False,414,472,506,333,warmup
-408.672231,581,143.371954,False,False,True,False,False,476,462,397,313,warmup
-29.549378,891,163.623447,False,False,True,False,False,221,629,497,177,warmup
-481.732872,498,175.067179,False,False,True,False,False,378,269,371,271,warmup
-26.070917,512,186.522062,False,False,True,False,False,164,256,412,0,warmup
-24.003232,367,194.765877,False,False,True,False,False,0,297,314,0,warmup
-25.911459,403,204.122437,False,False,True,False,False,0,194,335,0,warmup
-256.562372,456,214.539531,False,False,True,False,False,220,337,418,198,warmup
-41.076269,364,222.658379,False,False,True,False,False,277,15,328,135,warmup
-221.357413,406,231.670442,False,False,True,False,False,290,109,305,242,warmup
-425.283797,578,244.392223,False,False,True,False,False,475,362,533,224,warmup
-233.913698,498,255.616116,False,False,True,False,False,241,235,374,193,warmup
-28.541057,524,267.348846,False,False,True,False,False,240,368,451,119,warmup
-117.03414,530,278.876678,False,False,True,False,False,290,112,481,157,warmup
-615.794218,570,291.687626,False,False,True,False,False,446,430,527,307,warmup
-300.263781,642,305.950583,False,False,True,False,False,327,452,495,214,warmup
-1189.140406,797,324.009866,False,False,True,False,False,764,459,590,562,warmup
-357.008524,1090,348.916753,False,False,True,False,False,888,800,800,287,warmup
-31.673934,2000,393.196133,False,False,False,True,False,1421,1510,925,72,warmup
-22.858317,358,401.18302,False,False,True,False,False,0,158,292,0,warmup
-446.304602,695,416.752054,False,False,True,False,False,644,499,487,265,warmup
-24.634403,385,425.561718,False,False,True,False,False,0,215,276,0,warmup
-966.253913,990,447.851339,False,False,True,False,False,898,646,762,496,warmup
-129.141785,1060,471.657431,False,False,True,False,False,700,867,834,281,warmup
-749.039852,492,482.604579,False,False,True,False,False,390,387,442,474,warmup
-29.261363,769,499.773879,False,False,True,False,False,317,400,498,120,warmup
-293.273453,865,518.847908,False,False,True,False,False,830,502,506,232,warmup
-27.757107,513,530.248793,False,False,True,False,False,42,267,344,0,warmup
-827.083104,582,543.410713,False,False,True,False,False,514,366,531,558,warmup
-24.702998,421,552.843058,False,False,True,False,False,0,246,348,0,warmup
-1027.746719,1251,581.290733,False,False,True,False,False,1151,952,591,843,warmup
-654.794666,564,593.962568,False,False,True,False,False,504,450,522,298,warmup
-1589.581675,1108,618.806603,False,False,True,False,False,990,647,811,968,warmup
-160.775866,872,638.430042,False,False,True,False,False,777,557,685,332,warmup
-1335.106917,1153,663.887021,False,False,True,False,False,1077,849,755,1056,warmup
-24.478188,550,676.264022,False,False,True,False,False,103,304,508,0,warmup
-1436.953127,1432,708.290255,False,False,True,False,False,1387,898,904,615,warmup
-793.295447,483,718.958174,False,False,True,False,False,433,178,430,378,warmup
-27.388706,545,731.199031,False,False,True,False,False,495,246,319,75,warmup
-28.963195,411,740.382013,False,False,True,False,False,83,248,367,0,warmup
-339.245723,770,757.862078,False,False,True,False,False,597,522,574,298,warmup
-976.453871,987,780.246064,False,False,True,False,False,798,613,801,295,warmup
-38.624486,1056,804.332886,False,False,True,False,False,582,927,805,130,warmup
-39.058817,674,819.527225,False,False,True,False,False,478,466,548,120,warmup
-973.169287,571,832.697459,False,False,True,False,False,458,358,459,377,warmup
-2708.436268,1110,857.851023,False,False,True,False,False,888,895,1068,501,warmup
-30.761174,463,868.300524,False,False,True,False,False,9,336,346,0,warmup
-26.021995,679,883.380172,False,False,True,False,False,273,498,564,0,warmup
-28.964685,468,894.170925,False,False,True,False,False,0,426,358,0,warmup
-29.624391,620,908.769232,False,False,True,False,False,31,450,430,0,warmup
-40.66718,625,923.486702,False,False,True,False,False,212,417,496,197,warmup
-33.120073,614,937.521886,False,False,True,False,False,508,457,333,165,warmup
-931.038799,963,959.031845,False,False,True,False,False,895,669,806,289,warmup
-31.066622,730,975.572644,False,False,True,False,False,373,497,393,0,warmup
-23.822594,510,988.184644,False,False,True,False,False,0,172,336,0,warmup
-193.551737,1007,1011.390125,False,False,True,False,False,680,567,985,502,warmup
-207.273461,1809,1052.631817,False,False,True,False,False,1677,1291,865,395,warmup
-100.491268,647,1067.109271,False,False,True,False,False,514,533,542,91,warmup
-102.504227,879,1087.102555,False,False,True,False,False,827,687,466,192,warmup
