#{"t_start": 1786498518.597476, "env_id": "None"}
r,l,t,completed,constraint_success,distance_failure,time_failure,joint_success,corridor_violation_steps,fov_violation_steps,total_speed_violation_steps,closing_speed_violation_steps,phase2_stage
-15.657744,965,7.393592,False,False,True,False,False,387,730,584,145,warmup
-1491.325169,1255,13.119191,False,False,True,False,False,621,723,749,522,warmup
-155.515711,984,17.602024,False,False,True,False,False,256,439,622,248,warmup
-1175.180742,852,21.466889,False,False,True,False,False,534,412,683,423,warmup
-1491.379671,899,25.567734,False,False,True,False,False,816,729,553,505,warmup
-7.587397,692,28.735757,False,False,True,False,False,129,116,464,71,warmup
-874.037097,1362,34.981469,False,False,True,False,False,916,1065,840,626,warmup
-433.194858,820,38.739087,False,False,True,False,False,675,379,479,259,warmup
-483.677885,840,42.585821,False,False,True,False,False,780,232,595,264,warmup
-12.389298,760,46.063955,False,False,True,False,False,436,608,467,127,warmup
-1398.851958,1011,50.915614,False,False,True,False,False,658,796,636,526,warmup
-1215.256579,850,54.804316,False,False,True,False,False,676,100,560,463,warmup
-2389.640579,2000,63.997286,False,False,False,True,False,1849,1780,0,1096,warmup
-8.199958,469,66.19254,False,False,True,False,False,0,0,406,0,warmup
-261.525482,645,69.151574,False,False,True,False,False,401,0,492,189,warmup
-1636.685993,973,73.608888,False,False,True,False,False,788,554,654,562,warmup
-1249.19987,1340,79.747,False,False,True,False,False,1189,722,699,570,warmup
-10.978103,768,83.26369,False,False,True,False,False,150,454,513,117,warmup
-2893.752612,1818,91.575162,False,False,True,False,False,1486,1057,962,753,warmup
-9.383149,666,94.64489,False,False,True,False,False,63,305,503,34,warmup
-771.861825,727,110.949217,False,False,True,False,False,485,444,430,416,warmup
-1126.666835,1159,137.492606,False,False,True,False,False,734,407,759,633,warmup
-442.977702,455,148.096208,False,False,True,False,False,368,379,291,345,warmup
-9.922229,754,164.898749,False,False,True,False,False,0,414,297,0,warmup
-8.919376,445,174.580346,False,False,True,False,False,0,354,282,0,warmup
-8.622985,481,185.167699,False,False,True,False,False,0,254,348,0,warmup
-8.195894,438,194.964784,False,False,True,False,False,0,199,356,0,warmup
-8.374901,538,206.957775,False,False,True,False,False,0,153,415,0,warmup
-10.035995,438,216.902403,False,False,True,False,False,40,286,308,0,warmup
-27.796044,573,229.741504,False,False,True,False,False,435,337,532,114,warmup
-657.296596,561,242.411943,False,False,True,False,False,424,438,505,541,warmup
-12.12705,658,256.838946,False,False,True,False,False,141,357,457,102,warmup
-1137.022256,878,276.468929,False,False,True,False,False,509,656,665,489,warmup
-12.301104,581,289.668008,False,False,True,False,False,153,437,375,110,warmup
-11.10076,354,297.699152,False,False,True,False,False,73,0,308,0,warmup
-9.006657,382,306.091727,False,False,True,False,False,153,69,332,0,warmup
-8.090907,487,316.878598,False,False,True,False,False,0,0,411,0,warmup
-8.471247,419,326.350938,False,False,True,False,False,0,52,332,0,warmup
-8.024714,496,337.368715,False,False,True,False,False,57,0,242,0,warmup
-314.185847,512,348.89726,False,False,True,False,False,416,366,492,235,warmup
-9.642042,556,361.612949,False,False,True,False,False,0,330,351,0,warmup
-7.670015,352,369.569163,False,False,True,False,False,0,34,295,0,warmup
-337.653934,633,383.740977,False,False,True,False,False,279,467,568,296,warmup
-397.352727,686,399.53367,False,False,True,False,False,591,524,386,329,warmup
-12.494651,588,412.709057,False,False,True,False,False,246,160,411,30,warmup
-515.985419,595,425.90471,False,False,True,False,False,325,218,435,242,warmup
-721.664018,642,440.112212,False,False,True,False,False,314,132,535,268,warmup
-38.352909,575,453.442086,False,False,True,False,False,540,240,452,7,warmup
-222.443791,969,476.364115,False,False,True,False,False,755,370,727,139,warmup
-10.023051,547,488.623735,False,False,True,False,False,288,334,397,34,warmup
-9.697789,416,498.089818,False,False,True,False,False,0,198,371,0,warmup
-274.329405,658,512.449381,False,False,True,False,False,365,412,545,246,warmup
-849.568932,865,531.98637,False,False,True,False,False,805,788,625,584,warmup
-658.115477,838,550.919052,False,False,True,False,False,630,729,608,414,warmup
-152.076452,671,565.520756,False,False,True,False,False,544,459,594,288,warmup
-342.234553,807,584.077232,False,False,True,False,False,753,758,551,343,warmup
-9.688569,346,592.025728,False,False,True,False,False,176,179,277,0,warmup
-8.878916,412,601.206383,False,False,True,False,False,329,358,363,7,warmup
-9.617699,494,612.027798,False,False,True,False,False,405,212,384,102,warmup
-250.711722,520,623.956017,False,False,True,False,False,241,240,327,214,warmup
-8.641077,568,636.721415,False,False,True,False,False,0,369,412,0,warmup
-74.722377,722,652.945442,False,False,True,False,False,496,359,413,165,warmup
-8.175836,465,663.47711,False,False,True,False,False,361,196,378,0,warmup
-8.615263,388,672.267643,False,False,True,False,False,299,0,310,0,warmup
-361.168558,374,680.898325,False,False,True,False,False,317,289,359,284,warmup
-368.634279,529,693.654675,False,False,True,False,False,450,430,454,157,warmup
-487.958549,410,702.759134,False,False,True,False,False,302,304,336,343,warmup
-12.746487,356,710.677025,False,False,True,False,False,259,275,336,0,warmup
-578.882694,509,722.057246,False,False,True,False,False,361,430,425,345,warmup
-16.940746,355,730.12615,False,False,True,False,False,288,270,318,81,warmup
-543.882702,440,740.112259,False,False,True,False,False,329,281,346,383,warmup
-10.948782,526,752.006895,False,False,True,False,False,300,375,446,123,warmup
-29.367928,616,765.965656,False,False,True,False,False,327,521,443,212,warmup
-22.403336,501,777.276773,False,False,True,False,False,322,283,367,131,warmup
-659.852195,918,797.828906,False,False,True,False,False,590,619,790,533,warmup
-9.796084,706,813.631038,False,False,True,False,False,486,318,431,0,warmup
-39.122824,648,827.911983,False,False,True,False,False,607,601,552,213,warmup
-138.711317,590,841.175605,False,False,True,False,False,334,249,463,139,warmup
-24.42357,603,854.620292,False,False,True,False,False,363,334,475,137,warmup
-293.296968,745,871.155507,False,False,True,False,False,692,585,555,328,warmup
-9.130344,283,877.615696,False,False,True,False,False,239,78,244,0,warmup
-8.435372,678,893.287473,False,False,True,False,False,0,430,266,0,warmup
-486.330885,619,907.545222,False,False,True,False,False,320,297,418,255,warmup
-12.336897,539,919.972257,False,False,True,False,False,172,479,278,79,warmup
-211.020177,420,929.554739,False,False,True,False,False,345,311,343,201,warmup
-16.987893,401,938.696237,False,False,True,False,False,321,197,370,130,warmup
-9.783502,592,952.32295,False,False,True,False,False,0,481,459,0,warmup
-11.826648,846,971.2968,False,False,True,False,False,609,671,473,0,warmup
-27.722005,989,993.845705,False,False,True,False,False,547,588,597,159,warmup
-12.390886,780,1011.124777,False,False,True,False,False,220,623,384,0,warmup
-11.390582,650,1025.458637,False,False,True,False,False,120,558,431,0,warmup
-11.182868,619,1039.030464,False,False,True,False,False,0,486,432,0,warmup
-107.365494,898,1059.846563,False,False,True,False,False,839,674,643,323,warmup
-329.32698,596,1073.070305,False,False,True,False,False,441,340,297,286,warmup
-9.559638,439,1082.773789,False,False,True,False,False,0,304,310,0,warmup
-529.177809,950,1103.784897,False,False,True,False,False,458,900,733,213,warmup
-16.262556,733,1120.572442,False,False,True,False,False,632,506,329,0,warmup
-370.463016,904,1140.806731,False,False,True,False,False,417,320,635,362,warmup
-1537.026727,951,1162.32842,False,False,True,False,False,633,792,839,459,warmup
-774.533388,674,1177.149902,False,False,True,False,False,453,406,509,409,warmup
-18.66211,1162,1203.501493,False,False,True,False,False,594,856,669,251,warmup
-95.448634,600,1217.223663,False,False,True,False,False,275,436,482,238,warmup
-653.623533,822,1236.118037,False,False,True,False,False,592,548,570,413,warmup
-14.645322,609,1249.911626,False,False,True,False,False,296,438,337,0,warmup
-13.728053,614,1263.407073,False,False,True,False,False,485,521,452,172,warmup
-10.601438,601,1277.397608,False,False,True,False,False,114,186,502,99,warmup
-99.709021,400,1286.317096,False,False,True,False,False,220,338,323,122,warmup
-10.686652,370,1294.566466,False,False,True,False,False,194,288,318,0,warmup
-22.858761,382,1303.234712,False,False,True,False,False,262,239,291,90,warmup
-9.533212,437,1312.948009,False,False,True,False,False,0,168,400,0,warmup
-10.046106,425,1322.684532,False,False,True,False,False,109,250,332,60,warmup
-92.976957,464,1333.078056,False,False,True,False,False,344,276,406,183,warmup
