#{"t_start": 1789092558.7520568, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-22.847591,46,70.924943,False,False,1,15.353803011089028,15
-21.044149,29,108.882539,False,False,0,10.162400348296924,0
-157.360641,111,240.502814,False,False,1,9.698743254962757,0
-21.6649,47,296.877042,False,False,0,12.0097683749707,0
-22.648922,54,373.782677,False,False,1,5.078808897195759,3
-20.828672,33,429.976332,False,False,0,20.55901599513745,0
-20.79286,56,524.032804,False,False,0,16.301767292245792,0
-25.514028,118,723.606802,False,False,1,6.925893266793096,0
-21.980997,35,779.539989,False,False,1,7.508755060970016,10
-36.162164,21,811.813198,False,False,1,8.720923533895094,2
-20.579331,33,866.311765,False,False,0,4.064346833540968,0
-23.604701,51,949.866671,False,False,1,3.518456476184324,13
-22.124041,84,1090.91854,False,False,0,11.040879297562029,0
-21.11405,83,1225.83032,False,False,1,8.565938461414655,15
-35.708256,27,1269.875247,False,False,1,9.71365213394165,13
-19.533705,121,1473.485564,False,False,1,3.5026650087437776,0
-21.654862,22,1509.128511,False,False,0,18.84405742762228,0
-22.021738,46,1584.933553,False,False,1,13.809472947671958,14
-21.458237,33,1639.513982,False,False,0,5.259714068961249,0
-20.757788,52,1727.727221,False,False,0,12.634885368776057,0
-21.470558,51,1812.641479,False,False,1,8.137452574785895,4
-39.539318,38,1872.787842,False,False,1,16.403321205080864,6
-21.332339,44,1946.964212,False,False,1,7.618436876968275,14
-21.310502,49,2029.834777,False,False,0,8.636763253738867,0
-18.654248,115,2221.324053,False,False,1,4.656564816115644,0
-22.95738,47,2298.967491,False,False,1,8.918882460782202,7
-21.785826,47,2373.593564,False,False,1,4.2594571929962415,5
-21.198172,30,2423.26309,False,False,0,10.404301518211144,0
-21.262008,66,2532.193427,False,False,1,10.127711372363219,13
-31.758376,57,2626.47549,False,False,2,19.70533151206234,9
-21.201495,27,2672.371162,False,False,0,23.243348096591767,0
-21.911393,31,2724.206705,False,False,0,13.93696348050399,0
-21.421172,45,2796.016039,False,False,1,12.28600474241308,7
-22.241465,38,2858.177836,False,False,1,7.6221527465776315,11
-22.00353,66,2967.593066,False,False,1,11.615348809234831,7
-22.369665,32,3018.650602,False,False,1,14.143753642312323,17
-27.995812,38,3082.972451,False,False,1,7.269752348276334,12
-30.835697,16,3108.967551,False,False,1,4.766468590858871,9
-21.541917,48,3186.185777,False,False,1,8.490047886997147,11
-39.972054,26,3228.871942,False,False,1,9.201778769493103,11
-33.147226,53,3321.873215,False,False,1,4.413876594330811,9
-20.310398,53,3416.681054,False,False,0,12.861309802882863,0
-21.039866,96,3593.328602,False,False,0,6.053170750798769,0
-22.402382,31,3646.571909,False,False,1,16.75152728924266,1
-22.943024,24,3688.35032,False,False,1,16.378461953775226,13
-21.591841,25,3732.00403,False,False,0,21.055976092815403,0
-21.476205,37,3794.74174,False,False,1,14.975907802581778,18
-20.793393,69,3916.701213,False,False,0,3.179263851414791,0
-20.400474,52,4010.412937,False,False,0,3.074958892435977,0
0.709301,150,4283.418223,False,False,0,3.1353526694040057,0
-27.211604,56,4385.417391,False,True,0,4.887430662178479,0
-22.359549,43,4457.947367,False,False,1,11.614394928295363,4
2.653231,150,4726.421641,False,False,0,3.58358424670901,0
-48.993651,38,4788.339792,False,False,1,3.813706905874545,17
2.108121,150,5049.62553,False,False,0,3.6964019733079883,0
3.426677,150,5311.401093,False,False,0,3.1201650195562967,0
2.756883,150,5572.879661,False,False,0,4.374287853922926,0
3.687052,150,5832.785789,False,False,0,7.804834036711484,0
-31.988313,67,5950.545957,False,True,0,3.1881435206248043,0
-20.348701,64,6061.797083,False,False,0,3.088920704941248,0
6.229027,150,6322.201014,False,False,1,6.738270347320912,0
-13.038354,150,6583.367318,False,True,0,7.45328110395101,0
1.894759,150,6852.645912,False,False,0,3.1800210433558114,0
