#{"t_start": 1789092558.7520568, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-22.37997,29,45.736874,False,False,1,7.4492396701991845,11
-20.951454,49,111.940913,False,False,0,12.811897934605074,0
-38.363354,80,203.106312,False,False,1,14.591450218262075,2
-20.469139,30,239.51622,False,False,0,8.925204182303963,0
-32.434235,25,268.839545,False,False,1,5.114839559375075,12
-21.784234,67,358.982143,False,False,0,8.58648213284159,0
-21.74012,36,419.639029,False,False,1,5.430155038833617,14
-35.013925,24,456.621732,False,False,1,21.010081171989444,2
-21.186113,36,515.973766,False,False,0,10.6575940566949,0
-40.602264,42,585.519835,False,False,1,16.158251499856394,19
-21.566305,38,650.095595,False,False,0,8.689703245538695,0
-21.080358,61,751.625198,False,False,0,5.58358778228118,0
-31.228745,26,794.217277,False,False,1,20.50178979234956,20
-41.369361,49,874.183255,False,False,1,11.666692497703545,14
-34.3391,23,912.366482,False,False,1,12.85625165674805,11
-20.535126,41,982.103466,False,False,0,4.158324387155115,0
-20.668578,62,1087.099399,False,False,0,3.3728959260707523,0
-21.726854,57,1183.184941,False,False,0,12.718800614857498,8
-20.888295,39,1249.040338,False,False,1,10.43750526936599,19
-21.886434,28,1293.893115,False,False,1,5.080378004409516,8
-21.344728,40,1361.85898,False,False,0,3.5872315376215482,0
-21.824501,67,1474.833741,False,False,1,8.33232413997982,14
-21.113809,25,1516.494128,False,False,0,22.964629910014498,0
-37.040584,26,1561.267355,False,True,0,8.978103592547413,0
-22.20279,38,1624.358981,False,False,0,20.161752547051087,0
-21.689457,44,1697.787131,False,False,0,8.993498344458864,0
-38.075683,28,1742.817276,False,False,1,17.53099774440403,16
-21.365649,44,1817.240387,False,False,1,9.901124079895743,11
-21.068721,89,1968.438787,False,False,0,18.16187962486902,0
-20.686633,64,2077.949979,False,False,1,6.655158547786344,9
-21.745487,17,2105.942577,False,False,1,8.162967806098049,6
-21.342108,45,2183.107037,False,False,0,13.007935479274037,0
-20.861897,49,2266.077813,False,False,1,6.162808000227889,4
-20.935147,47,2344.521392,False,False,0,12.135162864770706,0
-39.610405,53,2427.874243,False,False,1,10.453122995500474,2
-21.20449,29,2477.368718,False,False,0,14.09017926818422,0
-33.057401,17,2503.962796,False,False,1,4.4225171791722415,9
-20.951719,37,2565.646193,False,False,0,6.125192859784138,0
-21.104435,38,2627.966972,False,False,0,24.76107287406922,0
-20.991974,59,2726.555663,False,False,1,5.4056395005984665,1
-32.305931,16,2752.623306,False,False,1,5.251157777140924,16
-36.771306,56,2846.34837,False,False,2,12.014861341189386,17
-21.120952,26,2889.578351,False,False,0,9.78594233225809,0
-21.823863,35,2949.11393,False,False,0,7.677912528924852,0
-34.537978,21,2984.368737,False,False,1,13.166165518963124,18
-20.872997,29,3032.959293,False,False,0,10.863274220840413,0
-23.357526,50,3114.719336,False,False,1,6.256004731750279,1
-22.492026,35,3172.674319,False,False,1,6.107668994468706,2
-22.217929,25,3215.229883,False,False,0,12.59426864534003,0
-20.474052,59,3320.194071,False,False,0,8.109206488415154,0
-20.627554,40,3391.202886,False,False,0,7.054362862032067,0
-21.353854,48,3478.615955,False,False,0,3.207473904040648,0
-20.482293,69,3607.97897,False,False,0,3.619676067568602,0
-21.480994,36,3674.121751,False,False,0,6.243150165758356,0
-29.116265,18,3705.071777,False,False,1,5.970255901133516,7
-20.564769,87,3863.736614,False,False,0,4.587932901709259,0
-20.842691,24,3906.649895,False,False,0,12.959805118338172,0
-22.416936,60,4014.825582,False,False,1,12.906873084132435,16
-0.308353,150,4289.789561,False,False,1,20.17050060921398,0
-14.402923,150,4558.644292,False,True,0,3.480870246887207,0
2.101536,150,4823.689148,False,True,0,3.3363687922017005,0
1.242004,150,5081.890078,False,True,0,3.6974944556174476,0
2.389249,150,5341.566518,False,True,0,3.1889078581556656,0
-50.254607,150,5603.802424,False,True,0,6.584316464548162,0
3.536965,150,5866.748312,False,False,0,3.9325831783555096,0
2.431335,150,6128.76688,False,True,0,3.762632691999384,0
2.913423,150,6394.763166,False,False,0,4.110879335814464,0
-18.551105,117,6591.735457,False,False,1,11.65746453020633,0
-20.758836,68,6709.342837,False,False,0,12.419555897972723,0
-21.524779,25,6752.373426,False,False,0,15.674000787342168,0
-20.617468,36,6818.713114,False,False,0,3.0322636565193113,0
