#{"t_start": 1789261447.5251343, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-75.699679,50,149.773066,True,True,0,3.1061875856204066,0
-80.614607,45,266.418504,True,True,0,3.0010706428167593,0
-39.070475,41,372.597142,True,True,0,3.1397078451000016,0
-47.214706,47,493.483099,True,True,0,3.1119316936019676,0
-37.584693,67,665.534537,True,True,0,3.1255591423916886,0
-16.569959,111,959.960098,True,True,0,3.0467909124820305,0
2.523834,150,1328.917235,False,False,1,3.0083120089219157,0
2.633751,150,1674.127215,False,False,1,3.159846496184676,0
-71.258826,42,1791.749322,True,True,0,3.003926265131062,0
-77.6555,40,1901.406157,True,True,0,3.0651400668044175,0
-83.64048,44,2019.572716,True,True,0,3.0217308486935295,0
-28.397306,55,2169.436443,True,True,0,3.2412759624532685,0
3.314518,150,2562.9884,False,False,1,3.018451227268197,0
-63.740927,39,2646.404795,True,True,0,3.1134116626654853,0
-72.051916,40,2726.586226,True,True,0,3.0875888306192656,0
-39.166968,56,2844.690591,True,True,0,3.216018399180835,0
-16.04374,45,2932.798995,True,True,0,3.1043167030381937,0
-14.330087,54,3047.974952,True,True,0,3.186230883922377,0
3.630308,150,3468.499453,False,False,1,3.000423377359126,0
-84.074897,100,3743.168836,True,True,0,3.0137034655955306,0
-46.694501,45,3863.439007,True,True,0,3.145722170357212,0
3.013833,150,4287.160498,False,False,1,3.076634344890958,0
-22.450917,55,4439.078603,True,True,0,3.2163088791047203,0
6.397243,55,4588.146872,True,True,0,3.096279199938333,0
2.62761,150,5008.120073,False,False,1,3.016167164664016,0
-42.716186,40,5115.501015,True,True,0,3.1444417992230935,0
-9.155266,56,5270.825996,True,True,1,3.1860741553495635,0
-18.555594,54,5423.50454,True,True,0,3.225748881889446,0
-65.390029,43,5543.886465,True,True,0,3.052377343177796,0
-79.429363,36,5643.508043,True,True,0,3.0619738195911976,0
2.386713,150,6084.988399,False,False,1,3.6929130554199223,0
-14.019211,150,6515.427251,False,True,0,4.03024217744929,0
-23.095534,147,6927.6366,True,True,0,3.0801983684140737,0
2.580015,150,7383.262542,False,False,1,3.0530324324897733,0
1.214877,150,7821.60566,False,False,1,3.10603645450734,0
-53.868133,51,7939.652616,True,True,1,3.033941673562191,0
-70.768082,38,8044.078002,True,True,0,3.0542512856196242,0
2.628568,150,8462.479442,False,False,1,3.1385443752286815,0
2.024242,150,8885.644459,False,True,0,6.711322226978916,0
3.489575,150,9314.008225,False,False,1,3.08210066247105,0
3.47432,150,9751.134205,False,False,1,3.2070234583165136,0
-19.463426,48,9893.016255,True,True,1,3.1596662557421893,0
2.562494,150,10334.484014,False,False,1,3.078706738842566,0
-42.019257,68,10529.368184,True,True,0,3.170672320675082,0
2.280256,150,10966.468126,False,False,1,3.5780500793381007,0
3.179229,150,11408.998885,False,False,0,6.960851646465347,0
1.919314,150,11851.102615,False,False,1,3.125261207114935,0
-32.417842,35,11950.846594,False,True,0,5.358173531328648,0
2.711295,150,12390.369718,False,False,1,3.0469576821350066,0
2.992972,150,12825.917329,False,False,1,3.4034874906597015,0
2.222401,150,13255.482138,False,False,0,8.470762899561434,0
2.94438,150,13694.530457,False,False,1,3.078077732834357,0
-35.903693,54,13845.890503,True,True,0,3.091778039932251,0
3.529651,150,14282.346617,False,False,1,3.718166348979303,0
12.75189,67,14464.202744,True,True,0,3.2238266388980783,0
2.219748,150,14889.465772,False,False,1,3.09774135905688,0
-40.46428,44,15008.557602,True,True,0,3.209052399266509,0
-42.831332,53,15153.616195,True,True,0,3.2399378129843264,0
23.85203,114,15464.887281,True,True,1,3.1047198461753336,0
-26.250076,143,15855.790439,True,True,0,3.024035764367288,0
21.028472,85,16090.25722,True,True,0,3.232671948213108,0
2.080877,150,16500.998601,False,True,0,6.056088561652137,0
-82.974662,69,16689.510437,True,True,0,3.0011143387124752,0
-19.817442,51,16826.878596,True,True,0,3.2392274932971037,0
-55.98831,36,16923.916904,True,True,1,3.052060743759592,0
-70.245921,37,17023.040064,True,True,0,3.045958833636306,0
1.233803,150,17433.140531,False,True,1,3.3290571141209675,0
2.147512,150,17840.706537,False,True,0,4.114608717180143,0
-67.606597,35,17937.179726,True,True,0,3.0136082520289245,0
-21.148064,43,18063.15697,False,False,1,5.22819804880351,0
2.197473,150,18483.735148,False,False,1,3.3368178099438057,0
-66.46412,68,18667.097985,True,True,0,3.1426845454369614,0
-64.255703,64,18844.420821,True,True,0,3.1280183913627795,0
-44.489121,150,19249.317744,False,True,0,3.3068301560676687,0
-2.494269,150,19661.762212,False,False,2,3.0900105531348085,0
3.182177,150,20084.732674,False,False,2,3.0510185979632958,0
1.883375,150,20496.823478,False,True,0,5.695372727771552,0
-21.854268,37,20595.803312,False,False,0,11.319151363924762,0
4.44358,150,21009.601547,False,False,1,3.072476092843521,0
-8.441299,150,21415.993481,False,True,0,3.591389831237201,0
2.566252,150,21820.91185,False,False,1,3.0675460418298317,0
-45.790258,37,21926.204337,True,True,0,3.1535256780109084,0
2.998371,150,22334.011776,False,True,0,5.152764797210694,0
-35.237823,150,22746.875738,False,True,1,3.279620535406254,0
5.036692,150,23155.521029,False,False,1,8.06162643432617,0
2.530667,150,23570.346187,False,False,0,9.220517786856776,0
2.165945,150,23988.738557,False,False,3,6.863034179233864,0
2.930749,150,24406.959407,False,False,1,3.037735828722502,0
4.362362,150,24817.574498,False,False,2,7.351268460046219,0
0.020692,150,25232.265234,False,True,0,6.427683591842651,0
3.536417,150,25642.242959,False,True,0,6.423609375953675,0
2.627859,150,26062.969788,False,False,1,3.0404799690355153,0
2.888185,150,26478.659035,False,True,0,4.260765910148621,0
5.245308,150,26888.032529,False,True,0,7.375714421272277,0
2.105033,150,27308.276986,False,False,1,3.256360225934148,0
2.1382,150,27729.233963,False,False,1,3.1234561972762442,0
3.625997,150,28139.725471,False,True,1,3.4159083755405875,0
3.696322,150,28558.205757,False,False,1,3.1686790138328402,0
1.769439,150,28978.956774,False,False,1,3.0624521210915043,0
-22.917901,34,29069.170816,False,False,1,3.487188100814819,0
2.053494,150,29474.356584,False,True,1,5.026100079139112,0
-14.602938,60,29634.257502,True,True,0,3.1772508727799185,0
3.053238,150,30044.751245,False,True,0,4.912318784024315,0
2.791164,150,30463.340946,False,False,1,3.127026162719443,0
3.080594,150,30903.335333,False,False,1,3.121614480533869,0
2.639642,150,31310.237293,False,True,0,4.981991291046141,0
