#{"t_start": 1789261447.7323613, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-22.811394,54,156.573727,False,False,1,24.70164287845972,0
-22.17415,22,211.379051,False,False,0,17.609651698216247,0
-29.583337,37,301.922762,False,False,1,22.11526240587002,0
-22.998714,51,430.873163,False,False,1,25.0,0
-21.155206,18,474.63006,False,False,0,25.000000000000004,0
-21.67552,36,563.119035,False,False,1,25.0,0
-25.672204,92,796.215966,False,False,2,25.000000000000004,0
-22.4191,70,974.357795,False,False,1,25.000000000000004,0
-23.025623,29,1046.863422,False,False,1,25.000000000000004,0
-22.248624,59,1181.019299,False,False,0,25.000000000000004,0
-21.731905,20,1221.860471,False,False,0,24.999999999999996,0
-21.029817,61,1354.101489,False,False,2,25.0,0
-21.856375,36,1424.927332,False,False,1,25.0,0
-21.976726,47,1514.939268,False,False,1,21.891876263533195,0
-22.597908,29,1570.041154,False,False,1,25.000000000000004,0
-22.965184,55,1717.959991,False,False,1,19.834316685884108,0
-23.04775,29,1792.768592,False,False,0,25.0,0
-21.651103,36,1886.359778,False,False,0,25.0,0
-31.568057,48,2011.041792,False,False,1,25.000000000000004,0
-23.025469,36,2104.441342,False,False,1,25.0,0
-21.477644,46,2214.115673,False,False,1,22.89724462287461,0
-23.373529,72,2408.858648,False,False,1,25.0,0
-21.839645,55,2533.833804,False,False,1,18.679120114721346,0
-21.418649,31,2598.891921,False,False,0,25.0,0
-23.588664,29,2658.965861,False,False,1,22.886875098738898,0
-25.877476,24,2705.035506,False,False,1,4.844463245016161,4
-26.274549,30,2760.903574,False,False,1,22.506759597066065,0
-22.235192,51,2865.44615,False,False,0,24.999999999999996,0
-33.314015,105,3081.968929,False,False,2,25.0,0
-26.30973,47,3200.435253,False,False,1,19.180516809697355,0
-22.420742,33,3284.371141,False,False,1,24.999999999999996,0
-18.775823,41,3398.880035,False,False,1,2.76620440438,5
-21.379356,34,3488.054784,False,False,1,24.999999999999993,0
-23.194483,26,3555.193285,False,False,1,25.000000000000004,0
-21.690552,17,3600.145908,False,False,0,25.000000000000004,0
-21.454451,32,3686.216889,False,False,0,19.710715176259786,0
-22.207661,22,3744.198634,False,False,0,24.999999999999996,0
-20.418086,64,3910.189192,False,False,0,24.114295876963467,0
-23.130144,53,4048.961061,False,False,1,24.999999999999996,0
-27.039336,59,4204.631762,False,False,1,6.578035491201425,0
-20.503827,139,4578.023831,False,False,2,24.999999999999996,0
-26.3933,32,4663.904399,False,False,1,15.392232151313292,0
-22.391308,19,4712.458849,False,False,1,24.999999999999996,0
-22.210988,26,4780.771091,False,False,0,25.0,0
-20.377915,87,5012.097672,False,False,1,20.221827549416897,0
-22.290281,42,5124.161603,False,False,0,25.0,0
-22.439772,19,5175.554379,False,False,1,20.354465423181566,0
-21.420485,36,5274.220482,False,False,1,14.982465983361848,0
-21.472762,74,5479.639992,False,False,0,14.803417645405588,0
-22.11991,32,5568.128,False,False,1,16.050381677591147,0
-21.204649,43,5688.065762,False,False,0,17.68778083538791,0
-22.054009,94,5951.805318,False,False,2,16.650334104409044,0
-22.762625,40,6062.910077,False,False,1,15.107562605852475,0
-21.219022,40,6173.066633,False,False,0,24.999999999999996,0
-22.311681,33,6264.584441,False,False,1,25.0,0
-22.394627,16,6308.071124,False,False,1,25.000000000000004,0
-20.940696,47,6436.588078,False,False,1,25.000000000000004,0
-21.633425,73,6639.569905,False,False,1,25.000000000000004,0
-22.606405,13,6673.863359,False,False,1,25.0,0
-21.595194,15,6715.252712,False,False,1,25.0,0
-21.415914,44,6835.047661,False,False,1,25.0,0
-20.65381,73,7045.30966,False,False,1,15.88171752992502,0
-21.879398,25,7117.718848,False,False,1,24.999999999999996,0
-19.709352,114,7446.57997,False,False,1,25.000000000000004,0
-21.903339,63,7627.503444,False,False,1,24.999999999999996,0
-20.081021,22,7682.643881,False,False,1,2.932366968898439,0
-22.334213,86,7906.88565,False,False,1,14.872380183005841,0
-20.598828,44,8019.498767,False,False,1,14.743845792422071,0
-21.686468,124,8357.113192,False,False,1,24.999999999999996,0
-22.530117,41,8460.737194,False,False,1,25.0,0
-22.764174,33,8558.100069,False,False,1,24.999999999999996,0
-23.524829,28,8635.264137,False,False,1,25.000000000000004,0
-22.041199,33,8724.583382,False,False,0,25.0,0
-21.166549,36,8820.599458,False,False,0,22.88745488954726,0
-22.785439,27,8895.40506,False,False,1,25.0,0
-21.460632,22,8955.81705,False,False,0,15.391531809269713,0
-22.213852,24,9021.015801,False,False,1,25.0,0
-20.975728,30,9100.82774,False,False,0,17.491142700082488,0
-22.464185,25,9168.957629,False,False,1,25.0,0
-20.984412,31,9249.29526,False,False,0,16.766770476714182,0
-22.069557,34,9340.883316,False,False,0,24.999999999999996,0
-20.552905,27,9413.481152,False,False,1,3.008228917482076,0
-20.33697,57,9567.309989,False,False,0,16.573146376720253,0
-21.284565,50,9715.270594,False,False,1,14.568500915876907,0
-19.795127,98,10000.250607,False,False,1,15.138574509530992,0
-20.785699,48,10133.353545,False,False,0,25.000000000000004,0
-21.743514,67,10322.3684,False,False,1,25.000000000000004,0
-22.017225,26,10393.862822,False,False,1,25.000000000000004,0
-22.148485,27,10468.807612,False,False,0,24.842201001616385,0
-21.850928,67,10655.836948,False,False,1,14.787296531588986,0
-20.74435,82,10885.361635,False,False,1,14.845248624194479,0
-22.729596,60,11052.560513,False,False,1,25.000000000000004,0
-20.732722,25,11123.109331,False,False,0,24.999999999999996,0
-20.874389,57,11283.761223,False,False,0,14.835612078268266,0
-21.03467,99,11562.345546,False,False,1,25.000000000000004,0
-65.537231,117,11894.655091,False,True,1,17.736949645736214,0
-21.068069,60,12064.902862,False,False,1,25.000000000000004,0
-20.474515,48,12191.780412,False,False,1,14.670921416834785,0
-22.533869,36,12297.433713,False,False,1,25.0,0
-21.188371,28,12379.206913,False,False,0,17.327688308297606,0
-21.913113,24,12448.515807,False,False,0,25.0,0
-20.569336,56,12605.21436,False,False,1,14.663569575227024,0
-21.042106,68,12793.910279,False,False,1,14.583893531249348,0
-21.23638,42,12910.13399,False,False,0,14.752381914320093,0
-19.157751,150,13330.980994,False,True,1,5.893463845664932,0
-19.837697,111,13637.522071,False,False,1,15.315023417256283,0
-19.754932,94,13899.078722,False,False,1,15.16692003056308,0
-20.087982,109,14201.552417,False,False,0,24.999999999999996,0
-20.589063,59,14364.777469,False,False,0,15.052446109622315,0
-20.44162,147,14763.583273,False,False,2,25.0,0
-19.721113,106,15046.501517,False,False,1,14.694020453666026,0
-21.507902,31,15127.0493,False,False,0,25.0,0
-22.227484,121,15452.960841,False,False,2,14.873994487115274,0
-22.120646,37,15552.427337,False,False,1,14.788363437136422,0
-21.583339,30,15633.376805,False,False,1,25.0,0
-20.93418,40,15741.805691,False,False,1,25.0,0
2.260213,150,16145.562963,False,False,1,10.546166502842965,0
-22.244284,48,16276.513067,False,False,0,25.0,0
-21.515107,74,16473.425712,False,False,1,14.786651568333989,0
-22.174838,56,16622.915197,False,False,1,25.0,0
-20.788429,96,16876.83252,False,False,1,25.0,0
-22.156058,44,16994.353709,False,False,1,14.743731214989928,0
-22.826947,27,17067.75491,False,False,1,24.999999999999996,0
-22.013429,28,17143.311878,False,False,1,14.386197775332844,0
-21.398993,29,17220.712474,False,False,1,24.999999999999996,0
-20.960255,110,17517.247004,False,False,1,14.721683334337389,0
-21.725487,50,17652.340402,False,False,1,25.0,0
-20.444459,60,17813.162485,False,False,1,14.610745655427353,0
-20.537736,107,18112.423386,False,False,1,15.898192849548492,0
-19.927125,58,18268.765439,False,False,1,14.786796909900895,0
-19.215131,108,18558.934478,False,False,2,14.921208357319344,0
-21.205336,91,18805.070975,False,False,2,14.640361372126257,0
0.416173,150,19204.003315,False,False,2,8.288413523937923,0
-20.18031,46,19326.346958,False,False,1,14.844276309943321,0
-20.713849,44,19443.188584,False,False,0,16.765871327367567,0
-21.979535,82,19665.242069,False,False,1,14.936354206449371,0
0.92908,150,20069.187234,False,False,3,11.577701639649261,0
3.174882,150,20472.930563,False,False,2,5.7651495067983936,0
-20.621301,47,20599.845201,False,False,1,14.80254140001417,0
-21.797648,35,20694.989493,False,False,1,25.0,0
3.124007,150,21096.192935,False,False,2,3.7111565819905596,0
-22.130782,63,21267.510378,False,False,0,14.58532754131822,0
-23.561135,56,21413.736963,False,False,1,11.259918480868857,0
-21.480221,62,21570.903339,False,False,1,24.999999999999996,0
-20.666499,77,21773.947024,False,False,1,14.59167769417842,0
-20.730002,115,22089.805007,False,False,3,11.007938595148357,0
-18.332005,119,22409.140851,False,False,1,14.819255858402354,0
2.587091,150,22817.715042,False,False,1,9.629456967944288,0
-21.892704,19,22868.177299,False,False,1,7.563588672378263,0
-386.479262,150,23269.683689,False,True,0,9.753588618129466,0
-20.332973,71,23456.801202,False,False,2,25.0,0
-19.902332,128,23800.435161,False,False,0,14.392844270904801,0
3.913508,150,24211.284725,False,False,3,4.355702471457965,0
-20.927377,97,24467.858152,False,False,1,14.577543698145046,0
-22.123076,65,24640.344505,False,False,1,14.871649666418946,0
-21.551504,44,24756.560992,False,False,1,22.37534548486873,0
-20.755954,45,24874.894685,False,False,0,22.69343969311325,0
-22.028122,131,25231.039305,False,False,3,4.395004837640727,0
3.26336,150,25634.464286,False,False,0,6.4634036140781275,0
-20.307062,83,25855.335304,False,False,1,15.341250063744434,0
1.367622,150,26264.196525,False,False,2,5.815720672010243,0
-20.081041,92,26514.462747,False,False,1,14.354765960337241,0
2.896895,150,26920.469385,False,False,0,6.042315859089727,0
-21.170153,54,27066.320586,False,False,1,14.822176103195616,0
-21.587244,17,27110.752989,False,False,0,14.958639512044007,0
-21.042205,40,27216.454497,False,False,0,14.722755245939618,0
-21.907728,56,27364.926942,False,False,0,14.896038088562443,0
3.503332,150,27772.639662,False,False,1,7.466367757127803,0
-20.050867,49,27902.784826,False,False,0,15.5827861764643,0
3.972418,150,28304.624077,False,False,1,6.7941450207784095,0
3.731492,150,28711.584831,False,False,1,10.458197305514487,0
-21.178012,41,28820.970924,False,False,1,17.94368852726937,0
-21.639759,39,28924.925174,False,False,1,14.61049212434819,0
-20.285052,53,29065.577326,False,False,1,14.85128896946165,0
-21.136845,69,29251.405568,False,False,1,14.736596271645704,0
-18.77376,128,29596.753659,False,False,1,14.662443191483542,0
-20.339983,72,29790.952364,False,False,0,14.566379801102126,0
0.988946,150,30196.029985,False,False,1,8.814411291190925,0
-21.305731,58,30351.661968,False,False,1,14.260938830809286,0
-20.619717,58,30509.434617,False,False,1,15.034595128444312,0
0.852472,150,30934.24497,False,False,1,13.071076741415947,0
2.366564,150,31339.242558,False,False,0,7.9865117106473695,0
-21.000821,108,31627.014814,False,False,1,14.862758787195492,0
-21.010759,150,32027.212165,False,False,1,14.83993754126619,0
-20.601903,70,32213.785475,False,False,1,24.999999999999996,0
-22.289429,67,32389.863483,False,False,0,25.000000000000004,0
-20.976764,37,32488.192819,False,False,1,22.667718504995104,0
-106.413123,150,32900.556601,False,True,0,3.5329591359843846,0
-20.613273,88,33135.537823,False,False,2,25.0,0
-22.464326,74,33335.415983,False,False,1,14.52160470094674,0
2.031979,150,33738.131661,False,False,0,8.005991069209472,0
-20.796466,101,34011.734427,False,False,1,14.573132943522163,0
-21.53492,121,34338.288763,False,False,2,14.886409531302922,0
-20.995405,86,34567.133374,False,False,0,14.822417034024344,0
-19.27114,91,34811.982341,False,False,0,14.852803510050453,0
-22.012057,99,35076.134548,False,False,1,20.64500801407319,0
-21.968477,104,35355.199214,False,False,1,24.999999999999996,0
-21.740807,33,35445.693261,False,False,1,25.0,0
1.214274,150,35886.410362,False,False,1,8.515060963811587,0
-21.240848,25,35958.007956,False,False,0,14.46393629464981,0
-21.024361,86,36199.432019,False,False,0,14.71495491363529,0
0.213782,150,36642.739444,False,False,1,24.999999999999996,0
2.374505,150,37085.125425,False,False,1,6.051809336761143,0
-21.326061,70,37287.623058,False,False,1,14.747163108902923,0
3.516729,150,37728.737873,False,False,2,9.730369067922863,0
-20.338374,117,38076.06967,False,False,2,24.999999999999996,0
-20.33882,72,38290.32064,False,False,1,14.887611344059021,0
3.770272,150,38733.753577,False,False,3,5.87576100917152,0
-20.051955,85,38988.540584,False,False,1,14.691711916524426,0
1.719096,150,39436.426501,False,False,1,9.845847791567905,0
2.821526,150,39880.489045,False,False,3,9.562023903983315,0
