#{"t_start": 1789100126.4717782, "env_id": "None"}
r,l,t,completed,terminal_region_active,illegal_terminal_entry_count,hybrid_waypoint_radius_m,hybrid_qp_zero_fallbacks
-32.415698,40,61.938046,False,False,1,8.150424130669494,5
-21.845461,38,112.50818,False,False,1,5.757029150320762,3
-34.245053,22,137.619431,False,False,1,4.656559626242365,4
-20.597574,57,203.255331,False,False,0,11.893628207969728,0
-21.490438,94,311.743894,False,False,1,14.077885992784571,13
-21.97282,31,347.593696,False,False,0,18.17310993584883,0
-22.668541,67,423.280372,False,False,1,21.561007738113407,1
-41.121523,55,482.659725,False,False,1,11.478071464234242,12
-30.295763,75,567.678251,False,False,1,9.018722999172345,4
-58.488049,98,676.376819,False,False,1,13.536963568732219,0
-36.646666,27,704.977247,False,False,1,4.87052926208039,4
-39.686707,50,758.254027,False,False,1,4.700522120292186,6
-21.65907,58,823.502698,False,False,0,7.105049746365585,0
-39.068969,42,868.675508,False,False,1,6.943900709529232,19
-31.567512,16,885.942925,False,False,1,13.170006278067005,16
-21.343538,73,969.56647,False,False,0,9.528915099411485,0
-34.665033,47,1018.976055,False,False,1,8.038596399274802,1
-22.164672,47,1070.231951,False,False,1,9.001774982746383,17
-21.670752,33,1105.710106,False,False,0,10.966066634616007,0
-21.366067,33,1141.398458,False,False,0,11.060004760192593,0
-22.107095,62,1208.306567,False,False,0,6.75533857237793,0
-20.851212,75,1289.572823,False,False,0,10.3874891564821,0
-21.195993,51,1344.695592,False,False,0,11.25775851344134,0
-21.370758,37,1385.21955,False,False,0,11.488847136497494,0
-35.000114,44,1432.685963,False,False,1,7.613370439545246,4
-19.663785,63,1498.457129,False,False,1,20.09389040955404,0
-21.833324,18,1517.904332,False,False,0,6.95266151832145,0
-22.826315,93,1617.906432,False,False,1,8.159456538238164,14
-20.30921,84,1707.163359,False,False,1,7.950025623487954,0
-21.183342,39,1749.274482,False,False,0,12.339097515009485,0
-22.080371,38,1789.18785,False,False,1,6.083933187083308,17
-18.445713,64,1855.438795,False,False,1,14.8362233042717,0
-21.498115,20,1876.470824,False,False,0,22.098004341125492,0
-41.100896,27,1903.534191,False,False,1,3.5268660057620593,10
-20.778778,40,1947.149774,False,False,0,10.46932973634292,0
-36.343289,73,2023.637322,False,False,1,7.2900669474716855,1
-22.247062,50,2077.316003,False,False,1,7.8076750817959555,19
-20.952137,56,2137.445523,False,False,0,15.398298507135172,0
-22.555288,23,2163.003186,False,False,1,5.302674600814247,1
-23.048304,39,2204.315726,False,False,1,12.686789604732551,3
-20.988757,139,2367.9365,False,False,2,20.091353549780038,1
-47.039065,38,2409.953481,False,False,1,24.805821215149308,2
-22.977791,16,2427.786371,False,False,1,23.90519905090332,20
-18.3868,148,2607.665137,False,False,0,21.743568248876578,0
-23.054272,25,2634.760888,False,False,1,22.063655210635478,11
-34.518819,18,2654.568375,False,False,1,24.926670670509335,15
-22.957915,26,2684.476569,False,False,1,22.774385862069,16
-22.022384,21,2708.843242,False,False,1,24.732831358909614,14
-19.077626,113,2839.718559,False,False,2,17.322022416430684,2
3.362236,150,3020.168338,False,False,0,3.33846670603108,0
-39.0768,150,3197.380331,False,True,0,9.02749475572148,0
-17.751985,150,3373.592204,False,True,0,3.1346765476497067,0
3.671055,150,3553.814368,False,False,0,3.452518372593212,0
2.478337,150,3730.298036,False,False,0,4.2936840966775,0
4.132241,150,3909.189032,False,False,0,3.111553134601148,0
2.540796,150,4109.489022,False,False,0,5.067815730911627,0
2.453981,150,4299.264914,False,False,0,3.792059363482792,0
-22.782866,54,4359.264205,False,False,1,5.70532779340253,8
-20.458323,40,4404.025329,False,False,0,3.000762113345887,0
-45.597201,28,4433.472596,False,False,1,4.087168429979257,9
-21.225148,73,4518.995871,False,False,2,11.243693226396422,18
-38.093034,143,4686.220665,False,False,1,8.302601664147657,16
-20.896169,36,4727.441356,False,False,0,4.315459195814731,0
-21.336518,105,4847.941164,False,False,1,23.45327722870291,3
-19.684486,80,4941.097952,False,False,0,3.4519930838497666,0
2.705397,150,5117.923284,False,False,0,3.5201328722372125,0
-19.617134,83,5212.779302,False,False,0,3.0251101027351255,0
0.58677,150,5383.035936,False,False,1,3.6640723043049666,0
3.566247,150,5557.929969,False,False,0,3.3904097193333245,0
1.075127,150,5732.636176,False,False,0,3.0099525778242793,0
1.973405,150,5907.379052,False,False,0,3.3035812232978095,0
1.79053,150,6086.516124,False,False,0,3.615954078171708,0
-38.215326,36,6128.62344,False,False,1,22.75613549091081,6
-21.212691,39,6173.822777,False,False,0,3.0000413774937758,0
-34.315618,94,6279.227024,False,False,2,4.33768338971779,11
-20.676187,104,6398.755956,False,False,0,3.0039200702056825,0
-20.720504,47,6452.597443,False,False,0,3.11024913923058,0
-21.85424,40,6496.889029,False,False,1,3.000103970842625,9
-19.613045,98,6610.493542,False,False,0,3.000026302793968,0
-20.107311,102,6726.431271,False,False,1,24.999532520771027,0
2.576999,150,6901.706936,False,False,0,3.429256836829401,0
-46.775986,42,6947.821132,False,False,1,21.76068009602699,14
1.415961,150,7125.070013,False,False,0,3.307262218055164,0
-19.07691,106,7247.936889,False,False,0,3.0125299588111356,0
-21.25179,29,7282.866673,False,False,0,3.0176868438720703,0
-21.69972,45,7336.700248,False,False,1,14.591068933319782,0
-21.28297,30,7371.419903,False,False,1,3.2935822010040288,9
2.455519,150,7551.735268,False,False,0,3.3418895817469365,0
0.400282,150,7725.292326,False,False,0,3.6169515837703514,0
4.32798,150,7895.28156,False,False,1,3.0033510539161785,0
2.88317,150,8075.054558,False,False,0,3.581270762771178,0
-19.978435,84,8174.695616,False,False,0,3.054354876278245,0
-21.106283,96,8286.622954,False,False,0,24.998336613178253,0
-20.340645,63,8360.133989,False,False,0,3.0021426677703853,0
-22.733336,22,8383.138322,False,False,1,12.424466885731238,15
2.9381,150,8563.200385,False,True,0,3.629426212655665,0
0.50568,150,8739.215516,False,False,0,3.5419464911676206,0
2.669298,150,8914.309889,False,False,0,3.473684852917626,0
3.658081,150,9088.780841,False,False,0,3.8133687947178725,0
-19.131987,133,9244.309228,False,False,0,3.003552504364401,0
3.576073,150,9415.135041,False,False,0,3.171804077936429,0
-21.071292,30,9449.261832,False,False,0,3.0014712810516353,0
2.825733,150,9628.99753,False,False,0,3.2460912424048156,0
4.756314,150,9802.479949,False,False,1,3.680632813335994,0
-31.724181,17,9820.189482,False,False,1,10.274006444341154,14
-21.285455,69,9897.203312,False,False,1,11.45849655064325,12
-41.830316,28,9927.935428,False,False,1,18.12019111355325,2
-55.192433,150,10095.646797,False,False,2,3.5917901164030277,0
-21.80751,52,10153.575574,False,False,1,21.4471935168445,14
3.074624,150,10326.562201,False,True,0,5.7966525481108615,0
2.797889,150,10508.417599,False,False,0,3.8531399083242435,0
4.139358,150,10708.796488,False,False,0,10.125203629478857,0
0.990709,150,10949.088137,False,False,2,3.4344288842189203,0
-21.979621,46,11021.085171,False,False,0,14.890581069281573,0
3.162368,150,11259.50456,False,False,0,7.468935189298892,0
-22.834556,66,11362.089897,False,False,1,22.821068287731027,8
-20.967917,64,11462.314143,False,False,0,17.96274469982281,0
-22.703326,28,11503.662533,False,False,1,3.0000321369241103,14
3.006832,150,11738.720232,False,False,0,4.551205514137253,0
2.731546,150,11973.313555,False,False,0,3.8015982982152825,0
0.641911,150,12211.197232,False,False,0,5.092485131284558,0
2.164053,150,12444.622173,False,False,1,4.44139472455804,0
2.165137,150,12680.568977,False,False,0,3.1715988439765233,0
-21.448822,28,12723.470709,False,False,2,3.011982906989522,6
-27.784773,88,12860.126634,False,False,2,24.996582746505744,0
-20.485711,44,12929.937619,False,False,1,19.64480810947673,0
-32.391966,21,12960.592602,False,False,1,6.6776648609918885,6
3.670329,150,13189.607579,False,False,1,3.4361538513260372,0
2.826307,150,13426.708988,False,False,1,4.189132826749708,0
2.943175,150,13663.325006,False,False,0,3.47621191146137,0
-22.139459,49,13734.86655,False,False,1,3.004888534545898,9
-35.554659,94,13879.520717,False,False,2,24.952701330184933,0
-21.376451,54,13958.831015,False,False,0,12.617511246293384,0
-33.242262,18,13985.195288,False,False,1,12.710916714493687,1
-35.478359,26,14023.100029,False,False,1,24.969944953918457,14
3.483402,150,14258.739653,False,False,0,3.1531768512207976,0
-21.885894,34,14310.915713,False,False,1,3.090676546096802,6
0.974429,150,14547.724297,False,False,0,3.233399444769246,0
-20.190274,85,14681.269335,False,False,0,3.2677378522478593,0
3.055625,150,14916.920791,False,False,0,3.0950847167348843,0
2.834253,150,15155.176496,False,False,0,3.9955049398893383,0
-39.46633,37,15210.001297,False,False,1,5.747376084327699,11
1.371451,150,15456.106326,False,False,0,3.740530743118654,0
1.324752,150,15705.296569,False,False,0,5.452072075388576,0
1.668845,150,15944.396322,False,False,0,3.1451436154593897,0
1.0593,150,16175.575443,False,True,0,7.332375017506208,0
-40.070302,126,16359.123795,False,False,2,8.75059081166511,9
2.453065,150,16594.123305,False,False,0,3.1101401503930313,0
-20.842022,85,16727.31441,False,False,2,14.459204797820458,3
2.57548,150,16961.273652,False,False,0,3.0782180071705856,0
-34.541432,29,17004.576094,False,False,1,24.991993844509125,17
3.228447,150,17241.48043,False,False,0,3.126521012950456,0
-27.42996,57,17333.821017,False,False,1,7.130165772204805,20
1.824136,150,17570.171308,False,False,0,4.7008894274634665,0
2.428535,150,17807.19654,False,False,0,4.879032430537429,0
-72.043431,63,17900.507597,False,False,1,24.943840205669417,17
3.431145,150,18138.664518,False,False,0,3.784320889922527,0
2.429753,150,18372.65728,False,False,0,3.7723900932514445,0
2.529815,150,18612.139814,False,False,0,3.496365808826741,0
4.216241,150,18822.016173,False,False,0,3.7517824874835286,0
-21.56403,45,18896.057451,False,False,1,5.365590895854031,12
3.299807,150,19157.771597,False,False,0,4.973312235442826,0
2.821822,150,19424.311963,False,False,0,3.092272576778077,0
3.188169,150,19692.550991,False,False,0,3.0248692616234227,0
1.874755,150,19957.496205,False,True,0,7.1262987428515485,0
-19.420205,31,20014.682106,False,False,1,17.343363739064294,11
1.998847,150,20288.623475,False,False,0,3.8683438309849816,0
1.943831,150,20558.296874,False,False,0,8.578677056871012,0
-46.951489,45,20630.135768,False,False,1,11.825441909117789,16
-20.04766,114,20831.935027,False,False,0,3.009476157012292,0
-21.858479,39,20902.996444,False,False,1,3.0195698914756965,0
2.643014,150,21169.25267,False,False,0,3.510237166042398,0
2.983196,150,21447.617474,False,False,0,4.190076867245488,0
2.891081,150,21701.450672,False,False,0,3.734050503302916,0
-59.822172,85,21833.405068,False,False,1,24.43802046775818,2
3.144465,150,22081.33407,False,False,0,3.010383029445983,0
3.22939,150,22327.950677,False,False,0,3.2748668420779836,0
2.093881,150,22573.448039,False,True,0,3.178481869349699,0
2.999464,150,22825.816165,False,False,0,3.4605284856272887,0
-22.122259,34,22879.68386,False,False,1,24.602975726127625,4
2.276915,150,23130.108922,False,False,0,4.321655310356606,0
-21.80624,64,23230.677843,False,False,1,23.17195296287536,11
2.809379,150,23482.704268,False,False,1,3.86673489652074,0
-24.19828,150,23731.725196,False,True,0,3.4121859332671325,0
-20.128984,85,23874.826181,False,False,0,3.0246616601943965,0
1.599189,150,24119.096872,False,True,0,3.604750486912727,0
-21.940978,109,24302.543143,False,False,1,3.0007369093306364,13
3.130825,150,24562.402825,False,False,0,3.258684965150909,0
1.473497,150,24821.829736,False,False,0,4.885116068956335,0
-33.780215,22,24857.1124,False,False,1,3.0517728328704825,4
-18.842153,89,25000.746415,False,False,2,3.050495624542236,6
1.483844,150,25260.681957,False,True,0,4.344506414968991,0
1.117203,150,25522.783566,False,False,0,7.474533873092047,0
3.238674,150,25783.927222,False,False,0,4.380678799469183,0
1.675127,150,26043.376792,False,True,0,4.674912850408839,0
2.769397,150,26307.478697,False,False,0,8.720965910306589,0
1.978265,150,26571.005029,False,False,0,3.084104899585965,0
-22.067521,57,26665.759019,False,False,1,24.08519936228524,7
2.598411,150,26926.191277,False,False,0,3.6615206441167323,0
1.962293,150,27189.013739,False,False,0,3.8301522764648515,0
5.008504,150,27452.741054,False,True,1,4.700374829743447,0
-20.044654,119,27659.311545,False,False,0,12.333511548367634,0
-30.882229,20,27691.568744,False,False,1,13.034008337922794,3
-20.565924,121,27900.401809,False,False,0,17.921761100148718,0
3.113752,150,28152.2626,False,False,0,3.06095217529345,0
2.270342,150,28408.316002,False,False,0,3.1424961273419707,0
-21.967085,31,28459.360537,False,False,1,3.018455266952516,14
2.287254,150,28719.081955,False,False,0,3.8846852113402557,0
4.584274,150,28973.748257,False,False,0,3.3842596893782555,0
-1.133707,150,29224.632034,False,False,2,22.163652795875173,20
-36.202572,36,29282.966764,False,False,1,3.3061831782134528,16
-31.965597,19,29314.510399,False,False,1,24.268043482402035,18
-61.232372,119,29514.64488,False,True,0,10.202893622048448,0
-38.607017,22,29550.194933,False,False,1,4.728152165599248,7
-19.668723,69,29666.162828,False,False,0,3.005254822389429,0
2.692349,150,29873.120562,False,False,0,3.21990342434297,0
3.16064,150,30058.54044,False,False,0,5.448369241660207,0
1.887046,150,30248.954198,False,False,0,3.8122350976738715,0
3.030818,150,30434.862606,False,False,0,5.193644251773457,0
-20.978848,62,30511.801912,False,False,0,3.0000072589408937,0
-22.456126,37,30554.167668,False,False,1,3.644150665195965,3
-36.909949,24,30581.575029,False,False,1,3.6936544405022946,11
5.257412,150,30762.04209,False,False,1,5.17872085016098,0
-21.456476,36,30807.472155,False,False,1,3.0075750937950603,0
3.966736,150,31047.324437,False,False,0,5.171974580781225,0
2.019365,150,31301.999207,False,False,0,3.1310102918257448,0
-16.495536,150,31554.42311,False,True,0,3.8707832726297777,0
2.524204,150,31811.837627,False,True,0,3.788970321652848,0
-21.5288,48,31884.084588,False,False,1,13.095581569592117,3
2.127365,150,32124.500729,False,False,0,4.122285537348027,0
1.38181,150,32365.885074,False,False,0,3.26283298944963,0
-29.394799,41,32430.357204,False,False,1,8.420926719298436,14
3.536019,150,32667.203943,False,False,0,4.27211190696339,0
-21.203448,43,32732.946628,False,False,0,3.000056462145317,0
-32.498563,17,32757.327981,False,False,1,6.332126074265224,10
-21.95264,73,32876.763298,False,False,1,24.874427735805508,1
3.04456,150,33130.515566,False,True,0,9.600798178231166,0
-35.968845,31,33177.87563,False,False,1,15.260461072247267,4
-43.840816,36,33231.78573,False,False,1,3.00066503387995,7
-30.451464,36,33288.581277,False,False,1,15.271519738147768,3
-22.210139,39,33348.639799,False,False,1,14.128007220904507,7
-22.442075,105,33522.314648,False,False,0,16.405953739469737,0
1.884126,150,33777.071074,False,False,0,3.7903331745150575,0
-21.086805,86,33920.03405,False,False,1,9.295815394456739,7
3.688132,150,34180.389835,False,False,0,3.842425465572685,0
2.469198,150,34444.531854,False,False,0,3.127801037547127,0
